Surrogate,generation,0,mu,100,lambda,25
	2228.0,3596.0,2064.0,0.019795,0.028431,19.0,184.0,79.0,0.0,fitness,(0.007108902620547095),fitnesses,(14.083510091139962,-0.007125934353981025,690.3348127053057,)
	1395.0,2634.0,4595.0,0.13928,0.050621,44.0,118.0,68.0,1.0,fitness,(0.07100459103938694),fitnesses,(67.59456583302216,0.774407553761508,433.40503312503034,)
	914.0,146.0,2520.0,0.125252,0.186562,46.0,44.0,23.0,2.0,fitness,(0.11439603476273356),fitnesses,(100.20593094797042,2.478883540902391,1059.8731594260769,)
	4486.0,3779.0,3198.0,0.029861,0.175322,92.0,117.0,123.0,3.0,fitness,(0.027335556991631448),fitnesses,(22.733610062546163,1.1222974935433347,662.1028006348059,)
	2736.0,4391.0,2224.0,0.061479,0.062592,77.0,5.0,118.0,4.0,fitness,(0.04932339949174026),fitnesses,(47.95131259489833,0.5667266376183112,429.51794793411887,)
	3199.0,2946.0,1039.0,0.100089,0.131821,22.0,192.0,193.0,5.0,fitness,(0.007013872299782675),fitnesses,(13.461776869288533,0.8560093437491537,1500.7998006997395,)
	4785.0,2985.0,1835.0,0.185079,0.165817,173.0,63.0,60.0,6.0,fitness,(0.011800070284479963),fitnesses,(8.472645756021928,0.8788001889685341,546.0577361227306,)
	4212.0,3117.0,1144.0,0.019509,0.134536,25.0,59.0,169.0,7.0,fitness,(0.04272025814188664),fitnesses,(32.49724511607881,1.2309294819579637,208.6281793771809,)
	2051.0,3000.0,2873.0,0.200552,0.124989,42.0,22.0,196.0,8.0,fitness,(0.04192912385146762),fitnesses,(40.13632348824071,0.1592148869379832,-20.065149384706924,)
	366.0,2661.0,4088.0,0.218251,0.167551,141.0,111.0,166.0,9.0,fitness,(0.06925759803658815),fitnesses,(66.37705465754463,0.8423208287647329,554.2664908603809,)
	680.0,2181.0,2217.0,0.213407,0.103618,49.0,185.0,30.0,10.0,fitness,(0.048220749860059385),fitnesses,(53.65456078832664,-0.1662336343281398,377.1474584985863,)
	4332.0,3124.0,1612.0,0.107205,0.24383,127.0,45.0,170.0,11.0,fitness,(0.032321873862765096),fitnesses,(22.172976366517958,1.1901996862363793,175.30993661166588,)
	4.0,21.0,1022.0,0.146116,0.192868,74.0,129.0,78.0,12.0,fitness,(0.11297261105719518),fitnesses,(99.24689032371909,1.5043414874113705,131.76941406376102,)
