Surrogate,generation,0,mu,100,lambda,25
	3095.0,2787.0,3396.0,0.223092,0.236005,137.0,95.0,58.0,0.0,fitness,(0.009029286501487231),fitnesses,(7.598150063943236,0.8042200034875651,661.1063597331656,)
	1977.0,1942.0,3799.0,0.082535,0.079357,92.0,54.0,66.0,1.0,fitness,(0.1409001234939322),fitnesses,(125.57090468586199,2.20754277392619,674.6208931191709,)
	711.0,3073.0,114.0,0.23588,0.046852,15.0,121.0,117.0,2.0,fitness,(0.018707924712961847),fitnesses,(23.99966226459479,-0.3089163099652352,220.25744519805914,)
	2678.0,2912.0,72.0,0.116963,0.038404,96.0,118.0,159.0,3.0,fitness,(0.025635484627724525),fitnesses,(29.627821583564785,0.09228506289690623,491.51875848093215,)
	3498.0,2166.0,1657.0,0.190847,0.11577,87.0,178.0,68.0,4.0,fitness,(0.02508017199701731),fitnesses,(21.411775671484538,1.0836649115057984,716.8252789525211,)
	451.0,4128.0,2617.0,0.007952,0.105002,112.0,177.0,110.0,5.0,fitness,(0.025620573475043443),fitnesses,(30.59980326702937,-0.08183127926000178,416.09169993859075,)
	3505.0,2239.0,2862.0,0.151133,0.02354,85.0,152.0,27.0,6.0,fitness,(0.07020584482058412),fitnesses,(76.06020474441691,0.977049283777799,1562.4852761610782,)
	2680.0,94.0,1093.0,0.17237,0.065475,15.0,9.0,76.0,7.0,fitness,(0.11548440491399771),fitnesses,(98.59177975570888,1.691245523083939,1.9830072550565088,)
	1816.0,602.0,1016.0,0.092575,0.232942,169.0,97.0,116.0,8.0,fitness,(0.033529130963096336),fitnesses,(28.46675052612104,0.809336511596114,303.09846789858494,)
	414.0,1080.0,3531.0,0.034392,0.012166,0.0,83.0,139.0,9.0,fitness,(0.4087251246344327),fitnesses,(410.88011386858216,0.029538215350004237,245.03713876494803,)
	4036.0,1589.0,2580.0,0.089632,0.051766,28.0,18.0,83.0,10.0,fitness,(0.08256623647907363),fitnesses,(72.60513642606679,1.653763576122892,657.6535708222084,)
	1447.0,943.0,4609.0,0.052022,0.23537,71.0,18.0,166.0,11.0,fitness,(0.06097493987871924),fitnesses,(52.541347845848534,1.8464794586255997,1003.1202553385286,)
	4809.0,656.0,2851.0,0.032683,0.059164,136.0,80.0,112.0,12.0,fitness,(0.07915761853365372),fitnesses,(69.08874167690718,1.1544699598363632,147.58227416170914,)
	2004.0,1145.0,1999.0,0.126845,0.136189,31.0,199.0,129.0,13.0,fitness,(0.031164298613130755),fitnesses,(27.442125227561995,0.9627318350485785,590.5144964917029,)
	3688.0,3895.0,2779.0,1.8e-05,0.242644,28.0,141.0,120.0,14.0,fitness,(0.008748516177665124),fitnesses,(11.985605345989319,0.3289473511926469,652.6562680250664,)
	2767.0,4818.0,1725.0,0.212013,0.06004,16.0,156.0,59.0,15.0,fitness,(0.0008489586355342194),fitnesses,(7.752665084220335,0.018212782174593614,708.5834270432052,)
	3383.0,1174.0,2641.0,0.046741,0.117622,55.0,103.0,60.0,16.0,fitness,(0.04686392013523356),fitnesses,(36.793658242545874,1.0284523144389175,21.42612517014904,)
	3124.0,207.0,4897.0,0.229412,0.035295,7.0,165.0,82.0,17.0,fitness,(0.029496625457048915),fitnesses,(40.99740049248635,1.0681009832388975,2218.1784867826414,)
	326.0,4093.0,1492.0,0.00335,0.228379,66.0,67.0,120.0,18.0,fitness,(0.012685460037462742),fitnesses,(15.59711316070442,0.12190767112427434,413.07298344844236,)
	2388.0,4747.0,267.0,0.085182,0.206342,197.0,121.0,168.0,19.0,fitness,(-0.002947124873478954),fitnesses,(-3.4426163280013156,0.2678629474765496,218.31380202431342,)
	3673.0,1572.0,4457.0,0.067423,0.210759,20.0,57.0,58.0,20.0,fitness,(0.019181719940895136),fitnesses,(16.681056568717835,0.9227471065823906,672.6807693646607,)
	832.0,1797.0,1205.0,0.237894,0.138306,22.0,197.0,42.0,21.0,fitness,(0.03074838352564648),fitnesses,(29.979363371465624,0.19417968307415107,117.27766765606587,)
	453.0,2802.0,2515.0,0.154906,0.019025,89.0,172.0,118.0,22.0,fitness,(0.3046232922497014),fitnesses,(289.5950208176682,1.889931354819968,387.10421161665215,)
	1237.0,4325.0,940.0,0.027562,0.076789,173.0,20.0,76.0,23.0,fitness,(0.010276129737412846),fitnesses,(16.18062171236923,0.09269487165620231,683.1440691518408,)
	2852.0,2373.0,2279.0,0.005716,0.169694,131.0,80.0,134.0,24.0,fitness,(0.03733444419886835),fitnesses,(29.725108991995587,0.8612994164689894,100.3658957817132,)
	4878.0,861.0,955.0,0.230134,0.060271,125.0,55.0,54.0,25.0,fitness,(0.06862737262797207),fitnesses,(62.399301186027664,1.0848652935656833,462.05814937124353,)
	1687.0,4339.0,4900.0,0.015157,0.230446,1.0,126.0,146.0,26.0,fitness,(-0.00885807478455289),fitnesses,(-9.846476994311047,0.2797355268127052,180.8953058368895,)
	7.0,4629.0,458.0,0.0691,0.15351,96.0,94.0,98.0,27.0,fitness,(0.014614553165963926),fitnesses,(19.734016622777403,-0.12298908275452675,388.9572629268207,)
	2733.0,4106.0,4765.0,0.064907,0.076637,6.0,41.0,169.0,28.0,fitness,(0.02027969311806912),fitnesses,(19.745818108766308,0.09848906348042515,45.101562550144074,)
