Surrogate,generation,0,mu,100,lambda,25
	4055.0,3962.0,525.0,0.212629,0.112249,159.0,37.0,134.0,0.0,fitness,(0.014110594807375526),fitnesses,(12.447076227455712,0.4404237198922577,274.07186190027636,)
	306.0,2455.0,957.0,0.07514,0.079168,119.0,0.0,3.0,1.0,fitness,(-0.04646435897941227),fitnesses,(108.74168122322196,1.4787589076963505,16999.362927959774,)
	395.0,3045.0,4052.0,0.182676,0.151213,21.0,176.0,99.0,2.0,fitness,(0.030975362825894387),fitnesses,(33.45713457357296,-0.030769939899104412,217.4072348687528,)
	3058.0,893.0,1607.0,0.177328,0.046587,49.0,111.0,128.0,3.0,fitness,(0.050114609201680156),fitnesses,(44.166521087953114,0.9912234299907658,396.4146186180618,)
	385.0,315.0,1752.0,0.018829,0.010234,86.0,171.0,110.0,4.0,fitness,(0.6132118189017324),fitnesses,(594.0600513163856,2.018436336363401,103.25957782873213,)
	1076.0,49.0,4139.0,0.176611,0.156173,19.0,147.0,7.0,5.0,fitness,(0.0457678780953507),fitnesses,(64.19111512298339,0.7425180681692956,2584.841770932565,)
	1384.0,4090.0,3017.0,0.237665,0.243178,38.0,11.0,109.0,6.0,fitness,(0.0035679997431921715),fitnesses,(-0.31071035552028414,0.721052937346133,333.1819274748874,)
	2044.0,697.0,2479.0,0.065276,0.022366,69.0,105.0,128.0,7.0,fitness,(0.288036710510542),fitnesses,(276.3179657657621,1.381207080245708,209.3326057677167,)
	4584.0,1561.0,735.0,0.1479,0.09613,193.0,19.0,146.0,8.0,fitness,(0.044528974931331095),fitnesses,(37.75070382499222,1.1227144901002621,444.88737946637536,)
	4286.0,3306.0,468.0,0.213454,0.180803,126.0,53.0,171.0,9.0,fitness,(0.018827641428487214),fitnesses,(14.951480420634256,0.9108678330446756,523.2517322593797,)
	773.0,3477.0,3560.0,0.049252,0.21395,135.0,152.0,104.0,10.0,fitness,(0.014876944947131921),fitnesses,(17.99081991053987,-0.20799057590695735,103.3969204338375,)
	2378.0,4185.0,1540.0,0.015806,0.015359,93.0,47.0,16.0,11.0,fitness,(0.08104424404939219),fitnesses,(83.95354201133631,0.08442457330503976,375.3543694994523,)
	3630.0,3289.0,3201.0,0.221972,0.140615,82.0,111.0,17.0,12.0,fitness,(0.0310663544797867),fitnesses,(18.964439984850188,1.0876034401052765,-122.58800938837476,)
	2157.0,1510.0,587.0,0.245553,0.057747,81.0,135.0,69.0,13.0,fitness,(0.01701791824393556),fitnesses,(12.83278289359619,0.9652787824541889,546.765247420252,)
	4448.0,3796.0,3211.0,0.099348,0.002012,160.0,33.0,135.0,14.0,fitness,(0.26247682141289613),fitnesses,(255.3037153124073,1.3362811011700928,618.970491121214,)
	365.0,2644.0,1551.0,0.140316,0.166358,102.0,115.0,172.0,15.0,fitness,(0.05047934430567123),fitnesses,(46.72291129527347,0.3848642498514466,9.220948811671244,)
	2267.0,2060.0,2944.0,0.18152,0.120046,85.0,146.0,66.0,16.0,fitness,(0.02426029294875922),fitnesses,(17.202268310316402,0.8295456050944466,123.7431412501648,)
	4964.0,1889.0,1003.0,0.202702,0.067673,107.0,114.0,115.0,17.0,fitness,(0.0320052555145211),fitnesses,(31.622619740847234,0.8809164930614436,842.6529156940568,)
	1883.0,2687.0,3341.0,0.246567,0.208092,195.0,51.0,154.0,18.0,fitness,(0.02727539042039465),fitnesses,(23.997263028976995,0.6158058391631495,287.9931000213842,)
	2694.0,3576.0,2784.0,0.062412,0.112926,133.0,41.0,166.0,19.0,fitness,(0.04334664536253593),fitnesses,(45.29678261080769,0.14066951658782162,335.6832414149974,)
	1430.0,1941.0,2517.0,0.044587,0.221238,107.0,81.0,153.0,20.0,fitness,(0.033093281183886644),fitnesses,(35.724451428021,0.051792624362328066,314.9096487757639,)
	3050.0,2038.0,3413.0,0.136236,0.225754,94.0,131.0,25.0,21.0,fitness,(0.02952469776938062),fitnesses,(24.901159866167447,1.0591417763793023,596.7879860579848,)
	3497.0,2917.0,3205.0,0.039071,0.133126,64.0,103.0,43.0,22.0,fitness,(0.02892842618397056),fitnesses,(21.126324265745808,0.956263350535088,176.0531587126129,)
