Surrogate,generation,0,mu,100,lambda,25
	4344.0,4971.0,4780.0,0.192022,0.23496,71.0,11.0,41.0,0.0,fitness,(-0.03318138557785574),fitnesses,(9.726414323576849,0.04212812763959192,4332.90811778285,)
	3766.0,2600.0,4180.0,0.01038,0.23039,132.0,72.0,122.0,1.0,fitness,(0.021686617490365923),fitnesses,(15.535485702313425,0.8813818918792009,266.2687130739509,)
	1554.0,1143.0,3655.0,0.111319,0.0676,104.0,42.0,146.0,2.0,fitness,(0.15713860936453505),fitnesses,(139.18434930561682,2.052940992227841,257.51498633601847,)
	699.0,643.0,4628.0,0.007906,0.237124,124.0,78.0,143.0,3.0,fitness,(0.0767707559162552),fitnesses,(75.02573330814197,1.6969902980501754,1522.488037238852,)
	2406.0,945.0,608.0,0.200204,0.178827,86.0,138.0,12.0,4.0,fitness,(0.02947487264057264),fitnesses,(21.46920221961542,0.9625806131155118,162.0135710197898,)
	1368.0,4246.0,2527.0,0.031199,0.070134,40.0,175.0,56.0,5.0,fitness,(0.019954329157309065),fitnesses,(25.77432840019005,-0.07546850720137548,506.5314170867231,)
	881.0,1592.0,4408.0,0.018114,0.185503,199.0,63.0,89.0,6.0,fitness,(0.04301483149884116),fitnesses,(77.12419944940433,0.695343695988747,4106.280491045064,)
	2173.0,1695.0,3888.0,0.034547,0.20058,113.0,185.0,74.0,7.0,fitness,(0.032324285561327576),fitnesses,(30.027727639201387,0.8998517931730741,670.196000960455,)
	3881.0,1001.0,3797.0,0.235259,0.062506,161.0,191.0,62.0,8.0,fitness,(0.0486790667923244),fitnesses,(73.12035984605221,0.8646838524884473,3308.813157861228,)
	4123.0,2656.0,1912.0,0.219713,0.012966,41.0,185.0,87.0,9.0,fitness,(0.036597614771229456),fitnesses,(41.22151248712089,0.8875798232532287,1349.9695948423728,)
	1710.0,4984.0,4871.0,0.118091,0.229616,10.0,58.0,10.0,10.0,fitness,(-0.03885483225398372),fitnesses,(-11.49086149243301,-0.07534978908854158,2661.0472870665294,)
	208.0,315.0,3697.0,0.239706,0.059808,40.0,39.0,199.0,11.0,fitness,(0.02262831519860975),fitnesses,(12.577305006977538,1.8920961270851289,886.9951079219074,)
	2562.0,2953.0,2390.0,0.020272,0.151027,4.0,172.0,103.0,12.0,fitness,(0.014267074880024622),fitnesses,(21.3530859525341,-0.22996554511588518,478.63556213506274,)
	4871.0,2085.0,1606.0,0.210008,0.102226,42.0,51.0,48.0,13.0,fitness,(0.026105827638605625),fitnesses,(19.50235114233997,0.7984413433473642,138.09369372079834,)
	631.0,4570.0,552.0,0.179869,0.041207,141.0,190.0,82.0,14.0,fitness,(0.056466468221101046),fitnesses,(59.7636876253587,0.2594820555742478,589.2039960000129,)
	4045.0,4679.0,3059.0,0.247411,0.146862,61.0,56.0,27.0,15.0,fitness,(0.027841145323012344),fitnesses,(32.65462652326177,0.027062950772035316,508.4110707969777,)
	2095.0,908.0,4772.0,0.135314,0.16775,106.0,51.0,131.0,16.0,fitness,(0.057103189005326814),fitnesses,(47.750386203507595,1.019051313462485,83.77103328056377,)
	3337.0,2312.0,4362.0,0.038496,0.060279,64.0,160.0,9.0,17.0,fitness,(0.04667053525701745),fitnesses,(40.24238262959972,0.9847736427803385,341.9583800385654,)
	4056.0,4454.0,2290.0,0.24368,0.061794,73.0,128.0,149.0,18.0,fitness,(0.012356230054816075),fitnesses,(19.33665842005039,-0.06305967910559146,634.98315741784,)
	4084.0,231.0,2294.0,0.243652,0.22389,97.0,47.0,24.0,19.0,fitness,(0.037215433152404234),fitnesses,(27.938736599740345,1.1064689091833275,178.79925391693922,)
	3942.0,4668.0,3253.0,0.227516,0.148037,93.0,14.0,96.0,20.0,fitness,(0.013034195600022952),fitnesses,(15.585088340097885,0.2092712561906426,464.360530198136,)
	979.0,4647.0,4786.0,0.190847,0.011936,135.0,11.0,44.0,21.0,fitness,(0.6539912842708006),fitnesses,(658.7902045438722,5.504871383667319,5984.763410974479,)
	2593.0,559.0,1936.0,0.04484,0.071905,107.0,188.0,105.0,22.0,fitness,(0.07892168673545415),fitnesses,(74.88082337810792,0.9447142216710471,540.6278859364246,)
	2389.0,374.0,2112.0,0.091207,0.182684,136.0,104.0,109.0,23.0,fitness,(0.039467882603689504),fitnesses,(33.846752577891195,1.126056856403758,563.9438538239269,)
	1782.0,3606.0,1939.0,0.062757,0.160373,24.0,93.0,151.0,24.0,fitness,(0.017251020413345256),fitnesses,(22.11295383490205,-0.22197885531181402,264.2144868438657,)
	3489.0,1608.0,4074.0,0.130859,0.162435,129.0,194.0,112.0,25.0,fitness,(0.02507892944207442),fitnesses,(27.353102013083102,0.8765915449693289,1104.008802070197,)
	482.0,2285.0,3381.0,0.168617,0.016056,38.0,55.0,123.0,26.0,fitness,(0.29753434338912144),fitnesses,(261.13414732165114,4.091512208743048,451.4926019960185,)
	1485.0,734.0,4537.0,0.184287,0.17422,49.0,73.0,31.0,27.0,fitness,(0.06743645348177839),fitnesses,(59.762010219245994,1.0065440178638287,239.09969161058916,)
	4115.0,434.0,414.0,0.17952,0.037923,158.0,112.0,7.0,28.0,fitness,(0.09290811965065267),fitnesses,(109.65263173799157,1.0353643614033743,2709.815570137265,)
	1154.0,4330.0,999.0,0.133231,0.1956,51.0,126.0,41.0,29.0,fitness,(0.021234024327130185),fitnesses,(24.176061564092066,-0.10899859173608553,185.2051319601028,)
	1361.0,1801.0,4209.0,0.110856,0.007341,91.0,181.0,30.0,30.0,fitness,(0.30985442146619224),fitnesses,(325.69746390442145,0.5168318644576422,2101.1361082805597,)
	874.0,4295.0,1590.0,0.0423,0.04175,190.0,58.0,15.0,31.0,fitness,(0.06880038290424527),fitnesses,(137.93649860660193,0.6759513973909358,7589.562967626602,)
	2989.0,3876.0,3472.0,0.066635,0.187726,6.0,139.0,85.0,32.0,fitness,(0.006015489781239172),fitnesses,(12.950154272212545,-0.1515604444212479,541.9060046760894,)
	4554.0,3520.0,3418.0,0.112929,0.184238,7.0,0.0,176.0,33.0,fitness,(0.03211426157873282),fitnesses,(19.43220801267151,1.3808541056520138,112.64874904588287,)
	1940.0,2785.0,2170.0,0.249542,0.021101,151.0,158.0,136.0,34.0,fitness,(0.06840339798199499),fitnesses,(72.06032156643717,0.37819496140874037,743.8873198529584,)
	824.0,4931.0,2262.0,0.027146,0.040347,154.0,93.0,102.0,35.0,fitness,(0.07988932034297568),fitnesses,(80.9984614975947,0.12905824095834595,239.97235642024927,)
	120.0,1256.0,3520.0,0.131171,0.192812,73.0,184.0,119.0,36.0,fitness,(0.052644133865187584),fitnesses,(49.784992153451626,0.6746673157674491,388.75314459385345,)
	2755.0,3571.0,1214.0,0.182238,0.077848,63.0,26.0,172.0,37.0,fitness,(0.04271846200798863),fitnesses,(44.06635635734872,0.04530472326894937,180.09415820495812,)
	4867.0,3879.0,2698.0,0.19907,0.10817,192.0,155.0,6.0,38.0,fitness,(0.010819527755306995),fitnesses,(6.087039633672385,1.1732561034700109,700.0072913065499,)
	3345.0,565.0,1124.0,0.218637,0.224044,192.0,52.0,179.0,39.0,fitness,(0.03061770603984695),fitnesses,(27.67430633236853,0.9071151619004449,612.7751911526033,)
	2678.0,704.0,4691.0,0.183247,0.137166,86.0,90.0,181.0,40.0,fitness,(0.04166959842266976),fitnesses,(39.65617353966618,0.887982947006114,686.6404587057555,)
	1724.0,204.0,1817.0,0.230406,0.246192,81.0,156.0,9.0,41.0,fitness,(0.03531814074142875),fitnesses,(36.04731069654002,0.9066571725839049,979.5741680950325,)
	3956.0,566.0,2228.0,0.231264,0.159932,112.0,2.0,161.0,42.0,fitness,(0.04923254787531131),fitnesses,(44.822853516297904,1.128243967537344,687.2745316360031,)
