Surrogate,generation,0,mu,100,lambda,25
	3057.0,4533.0,3342.0,0.115825,0.236132,47.0,96.0,75.0,0.0,fitness,(0.006027894233567029),fitnesses,(11.28896230926057,-0.194867878834173,331.23892873518105,)
	1228.0,2586.0,3208.0,0.051351,0.083097,183.0,195.0,110.0,1.0,fitness,(0.0552995777966473),fitnesses,(60.75422421278776,-0.11696510689268919,428.4995347213569,)
	693.0,4048.0,3167.0,0.127079,0.127252,134.0,43.0,47.0,2.0,fitness,(0.05069139247760114),fitnesses,(71.04007624065393,0.7523113430065099,2787.1797193117895,)
	3703.0,4293.0,4782.0,0.138773,0.003447,46.0,120.0,31.0,3.0,fitness,(0.05330504127058558),fitnesses,(59.811557413759566,-0.048093406282349996,602.5582080350492,)
	495.0,2097.0,1464.0,0.125614,0.047304,34.0,95.0,17.0,4.0,fitness,(0.29917805093298144),fitnesses,(287.8218622724159,2.0860536180370257,950.434751980474,)
	4690.0,53.0,583.0,0.108672,0.181342,133.0,123.0,112.0,5.0,fitness,(0.03269160607262188),fitnesses,(31.651876286058968,0.9257594592107118,821.7864805544207,)
	817.0,1278.0,216.0,0.14892,0.240556,192.0,22.0,67.0,6.0,fitness,(0.02546230450254964),fitnesses,(33.84021285313497,1.172677761540381,2010.4685965989145,)
	2876.0,74.0,1371.0,0.078561,0.049394,95.0,58.0,82.0,7.0,fitness,(0.26800818657247244),fitnesses,(248.03015523758566,1.8895308209469515,-108.2723125417239,)
	1581.0,718.0,4533.0,0.218841,0.180818,159.0,144.0,147.0,8.0,fitness,(0.0390093265846596),fitnesses,(43.43330383634516,0.9188161557906607,1361.2138809592159,)
	3908.0,4781.0,4953.0,0.062301,0.222792,34.0,112.0,151.0,9.0,fitness,(0.0017284293864680616),fitnesses,(8.728264264401732,-0.1328497143542105,567.1337734391566,)
	2995.0,1327.0,2909.0,0.153593,0.032412,38.0,163.0,7.0,10.0,fitness,(0.08705930727276198),fitnesses,(97.55552579481832,1.0344434206156161,2084.065272821251,)
	4451.0,4026.0,2093.0,0.168139,0.219157,114.0,47.0,112.0,11.0,fitness,(0.02455329937496008),fitnesses,(17.4035447075985,0.9311498457306846,216.17437899452665,)
