Surrogate,generation,0,mu,100,lambda,25
	4311.0,4175.0,2550.0,0.143482,0.158236,147.0,146.0,188.0,0.0,fitness,(-0.001093804220917087),fitnesses,(2.5953551325538546,0.2237144615810326,592.6303969281266,)
	655.0,3918.0,4110.0,0.239594,0.063524,120.0,199.0,44.0,1.0,fitness,(0.05273945989401982),fitnesses,(65.62684937503649,-0.021867534183710652,1266.8714139179565,)
	548.0,2093.0,1847.0,0.134045,0.202225,185.0,45.0,149.0,2.0,fitness,(0.06799073063238165),fitnesses,(63.358030438455486,1.0713813129027696,608.1112935101538,)
	2236.0,2267.0,4953.0,0.033049,0.010406,165.0,47.0,173.0,3.0,fitness,(0.41049249523578757),fitnesses,(404.8057924152767,1.772890936727085,1204.2206546759965,)
	2766.0,942.0,494.0,0.063673,0.054047,53.0,11.0,80.0,4.0,fitness,(0.08357148615075388),fitnesses,(65.12552747470285,1.798822342112751,-45.77352549235209,)
	973.0,3248.0,2124.0,0.217723,0.110591,178.0,89.0,56.0,5.0,fitness,(0.07514776796900423),fitnesses,(72.10554830658965,0.4441811871743322,139.9592209328757,)
	3134.0,4437.0,3832.0,0.132505,0.150069,58.0,196.0,44.0,6.0,fitness,(-0.0023939598002010428),fitnesses,(9.228579074044658,-0.4964432302500662,665.8106571745038,)
	4866.0,4630.0,2527.0,0.126623,0.187845,61.0,153.0,14.0,7.0,fitness,(0.01601354245169299),fitnesses,(18.434957408893236,0.3986643683752308,640.8058640952552,)
	4433.0,4814.0,232.0,0.077675,0.137322,124.0,171.0,120.0,8.0,fitness,(0.022617102059272993),fitnesses,(32.37084702204611,-0.2879208208124735,687.4536754648382,)
	1843.0,1149.0,326.0,0.097838,0.065139,72.0,31.0,138.0,9.0,fitness,(0.058523848045954265),fitnesses,(45.36998395229434,1.3601263527632472,44.739943397255644,)
	1506.0,251.0,3952.0,0.146581,0.122664,65.0,185.0,116.0,10.0,fitness,(0.05473858140456783),fitnesses,(54.44624462312821,1.101529269934073,1072.2955917901104,)
	2238.0,519.0,1664.0,0.204712,0.089002,63.0,142.0,31.0,11.0,fitness,(0.03055479383370991),fitnesses,(33.28674080117337,1.0217542740688192,1294.9489708151655,)
	1570.0,1484.0,3769.0,0.096148,0.232824,125.0,38.0,62.0,12.0,fitness,(0.03776870661480673),fitnesses,(46.58422864224968,0.887830178571816,1769.3823813161105,)
	3572.0,715.0,4779.0,0.191167,0.089764,192.0,13.0,163.0,13.0,fitness,(0.07628270971660928),fitnesses,(71.52434972752664,1.2679892346384563,792.1532357301926,)
	676.0,1217.0,2674.0,0.222197,0.00118,82.0,158.0,140.0,14.0,fitness,(0.10193286051212269),fitnesses,(99.13698394433638,1.2473512567289373,967.7635999503065,)
	44.0,1188.0,880.0,0.158117,0.09462,54.0,10.0,19.0,15.0,fitness,(0.21460824176746662),fitnesses,(207.82243687809614,3.1518060996213624,2473.2256106843142,)
	1451.0,3997.0,4150.0,0.227122,0.087329,51.0,165.0,134.0,16.0,fitness,(0.013825062186492),fitnesses,(19.60459131665441,-0.12649968718100116,451.4532258352402,)
	1166.0,2750.0,3671.0,0.009709,0.034212,146.0,43.0,57.0,17.0,fitness,(0.1845450382395581),fitnesses,(211.95544104263232,0.8880947450240009,3629.135025331424,)
	4195.0,2676.0,4451.0,0.238849,0.141584,192.0,146.0,59.0,18.0,fitness,(0.012862717007704569),fitnesses,(16.89327348830516,0.8991005433021896,1302.1561913622486,)
	3623.0,182.0,2893.0,0.058028,0.183026,37.0,113.0,65.0,19.0,fitness,(0.023766551765423492),fitnesses,(21.466152122380105,0.8554923060412585,625.45234173692,)
	2315.0,494.0,2740.0,0.049806,0.138081,108.0,49.0,126.0,20.0,fitness,(0.13313963388847674),fitnesses,(119.16575963586403,1.7423716623950634,344.98423713379066,)
	3070.0,1068.0,2817.0,0.000876,0.172804,147.0,122.0,83.0,21.0,fitness,(0.026728600597457124),fitnesses,(20.35957658622843,0.8581281016330387,221.22570051016936,)
	915.0,1090.0,2981.0,0.073784,0.067225,199.0,91.0,159.0,22.0,fitness,(0.18282285509095902),fitnesses,(182.81517604272736,0.8297915547329137,829.0236499097505,)
	3370.0,1675.0,3027.0,0.0998,0.086206,36.0,131.0,130.0,23.0,fitness,(0.024976079686491647),fitnesses,(20.232222087583196,0.8779615678542173,403.5758079633725,)
	684.0,2730.0,98.0,0.234704,0.06883,130.0,171.0,143.0,24.0,fitness,(0.020833395076108714),fitnesses,(23.914317480116356,0.10272495225098009,410.8171926517443,)
	2114.0,935.0,3527.0,0.17212,0.240377,129.0,26.0,134.0,25.0,fitness,(0.03581646320396536),fitnesses,(25.720886363206002,1.580273128690446,570.7154446145106,)
	1283.0,2724.0,1521.0,0.118683,0.177847,184.0,0.0,163.0,26.0,fitness,(0.05725700807417148),fitnesses,(53.595298634435665,1.0917901720615002,725.6192280879179,)
	2773.0,4654.0,2050.0,0.149237,0.16709,55.0,161.0,86.0,27.0,fitness,(0.009261173616964626),fitnesses,(15.620374440466527,-0.16960207933764268,466.3180030125474,)
	4391.0,2453.0,3932.0,0.175151,0.049529,173.0,14.0,169.0,28.0,fitness,(0.05782724729046158),fitnesses,(48.552360460134224,1.2350375752926523,307.5488922599169,)
	222.0,2056.0,2086.0,0.119871,0.140488,8.0,105.0,28.0,29.0,fitness,(0.11786665073719675),fitnesses,(111.63808259818234,0.7615930222400684,138.73620833862714,)
	137.0,680.0,3340.0,0.119629,0.134844,45.0,62.0,38.0,30.0,fitness,(0.23265983088391168),fitnesses,(222.62067918973668,2.3767894500114184,1372.8742805939182,)
	4463.0,3024.0,2342.0,0.117551,0.061164,34.0,142.0,15.0,31.0,fitness,(0.010323460556663045),fitnesses,(8.42266013502419,0.9128616505242626,722.7816083603772,)
	1544.0,4546.0,2852.0,0.147671,0.015903,1.0,18.0,75.0,32.0,fitness,(0.13879934707193625),fitnesses,(135.9129215879233,0.35434379830595764,65.70124990466469,)
	4195.0,3647.0,548.0,0.101766,0.165838,184.0,195.0,20.0,33.0,fitness,(0.007879041048974855),fitnesses,(7.609872928527618,0.7461323767033733,719.2155646586496,)
	305.0,403.0,4512.0,0.196354,0.06754,134.0,188.0,187.0,34.0,fitness,(0.0847726712748212),fitnesses,(90.48334298423993,0.9987564134713868,1569.8235844132598,)
	2851.0,236.0,1753.0,0.199809,0.055067,172.0,18.0,186.0,35.0,fitness,(0.05079697070046392),fitnesses,(47.07578490399754,0.7263922977281903,354.273718081552,)
	87.0,2065.0,1342.0,0.122425,0.017296,45.0,33.0,39.0,36.0,fitness,(0.40465252607444985),fitnesses,(389.8240578308058,2.4568816978437216,974.0348734793166,)
	3006.0,153.0,1878.0,0.16971,0.060237,22.0,126.0,94.0,37.0,fitness,(0.02639512467852912),fitnesses,(22.80450083706519,1.1030133650014033,743.9509808550104,)
	762.0,4415.0,4088.0,0.02312,0.032147,184.0,169.0,198.0,38.0,fitness,(0.09092261462708909),fitnesses,(99.48385381146727,-0.39535796762407255,460.76595081374444,)
	3015.0,1574.0,3752.0,0.101222,0.099545,3.0,104.0,15.0,39.0,fitness,(0.013727258425630762),fitnesses,(11.838194146511903,0.7345208904367204,545.6144625248346,)
	4118.0,1874.0,29.0,0.18652,0.04495,140.0,81.0,25.0,40.0,fitness,(0.05817197397101124),fitnesses,(56.899505609358535,0.8136581543617089,686.4113181964387,)
	2710.0,2396.0,4818.0,0.130312,0.170627,176.0,100.0,91.0,41.0,fitness,(0.021489745698872936),fitnesses,(17.495942202737037,0.5987097526085963,199.32940299500615,)
	4548.0,3768.0,3611.0,0.013113,0.179062,45.0,183.0,124.0,42.0,fitness,(0.026809580639300636),fitnesses,(26.21825707533521,0.7405759091365083,681.4435527399656,)
	2722.0,4123.0,2770.0,0.215234,0.226958,2.0,56.0,191.0,43.0,fitness,(-0.0011509510450862406),fitnesses,(2.9776267503596925,-0.2874565517237544,125.4012278208389,)
	182.0,1810.0,4215.0,0.046345,0.09374,12.0,117.0,54.0,44.0,fitness,(0.18757694180038487),fitnesses,(179.74624916379793,1.1688470792615508,385.77781560285956,)
	3083.0,1601.0,140.0,0.228328,0.204423,35.0,89.0,94.0,45.0,fitness,(0.019241350313025953),fitnesses,(12.971671943175712,0.9840862685095317,357.1184315245079,)
	1769.0,2191.0,1163.0,0.186838,0.240049,94.0,70.0,35.0,46.0,fitness,(0.01317667974713164),fitnesses,(11.111399159212105,0.1617923188566182,-44.735739935335175,)
	3428.0,1301.0,4266.0,0.164652,0.183883,80.0,50.0,19.0,47.0,fitness,(0.031732540762330425),fitnesses,(29.268150863229245,1.1435832520216016,897.1442621114837,)
	3900.0,381.0,866.0,0.080329,0.206168,185.0,45.0,21.0,48.0,fitness,(0.014385463936234012),fitnesses,(26.29862401088219,1.242866332646125,2434.182340110943,)
	304.0,4187.0,4729.0,0.149914,0.138322,180.0,100.0,87.0,49.0,fitness,(0.057633221174420726),fitnesses,(64.06475825123259,0.35192830905954503,995.0820167407309,)
	4372.0,1870.0,4105.0,0.151647,0.042707,137.0,82.0,163.0,50.0,fitness,(0.04056346275731795),fitnesses,(40.43911648115673,0.8989028343007709,886.4682066846489,)
	4012.0,1571.0,1073.0,0.139974,0.036565,41.0,39.0,33.0,51.0,fitness,(0.12214411386098366),fitnesses,(106.03948271529673,1.688318117301435,77.85500273274236,)
	337.0,2986.0,2164.0,0.048683,0.209783,25.0,132.0,96.0,52.0,fitness,(0.018539451880516256),fitnesses,(24.55010329137683,-0.3881048908135213,212.96025027253597,)
	1837.0,3785.0,2009.0,0.005248,0.011224,92.0,75.0,63.0,53.0,fitness,(0.11283448549633217),fitnesses,(116.05544163404885,-0.03888285919910345,283.2127545725644,)
	1928.0,625.0,1352.0,0.082524,0.083316,4.0,194.0,178.0,54.0,fitness,(0.0399727299856378),fitnesses,(39.52900677965257,0.7035856896087075,659.2133690101842,)
	1012.0,867.0,2372.0,0.20285,0.025492,192.0,176.0,90.0,55.0,fitness,(0.139529828681467),fitnesses,(141.94512110201515,1.7758112047246866,2017.3404467795028,)
	3493.0,1541.0,2477.0,0.227078,0.201591,175.0,17.0,152.0,56.0,fitness,(0.03785029181301462),fitnesses,(29.421778352087724,1.1054069000241935,262.55555393150354,)
	1947.0,2894.0,4910.0,0.117425,0.046148,180.0,117.0,2.0,57.0,fitness,(0.007190148427454128),fitnesses,(46.610217466218,-0.24444116309685232,3697.565740779535,)
	2374.0,4302.0,4167.0,0.240537,0.191238,79.0,41.0,94.0,58.0,fitness,(0.011769387340419714),fitnesses,(14.220182262734975,-0.2920477377477223,-46.96824551619635,)
	2596.0,3999.0,3638.0,0.083596,0.100139,101.0,80.0,169.0,59.0,fitness,(0.022236499465407993),fitnesses,(27.462700862329964,-0.23213392111332387,290.4862185788732,)
	788.0,118.0,4943.0,0.183709,0.101606,161.0,78.0,17.0,60.0,fitness,(0.017787367713643608),fitnesses,(51.95803790635612,1.0391528549292313,4456.219874200482,)
	4262.0,1204.0,4683.0,0.138671,0.0995,184.0,46.0,108.0,61.0,fitness,(0.05722676036311123),fitnesses,(51.20651524361259,1.0464623643840787,444.43785243421496,)
	2745.0,1398.0,1449.0,0.065661,0.03053,143.0,80.0,124.0,62.0,fitness,(0.22578331778389343),fitnesses,(215.99813473821746,1.2139854335194804,235.46712895188261,)
