Surrogate,generation,0,mu,100,lambda,25
	3411.0,3783.0,1600.0,0.122416,0.118339,58.0,174.0,140.0,0.0,fitness,(0.00296601099195681),fitnesses,(11.028162744352985,-0.1760912760218971,630.1238992177203,)
	2581.0,1637.0,124.0,0.17898,0.112939,99.0,121.0,168.0,1.0,fitness,(0.033848524366469235),fitnesses,(29.466000509900038,0.819091499972473,380.83911431555333,)
	87.0,4298.0,688.0,0.053755,0.115474,147.0,132.0,115.0,2.0,fitness,(0.038039523665585676),fitnesses,(45.442230306061994,-0.33322905949063397,407.0416045569978,)
	3744.0,4993.0,6.0,0.12648,0.091816,8.0,79.0,128.0,3.0,fitness,(0.007732932323781338),fitnesses,(15.5218953259718,-0.44333615914069646,335.56014107834983,)
	3075.0,859.0,528.0,0.157752,0.03549,94.0,78.0,153.0,4.0,fitness,(0.044663134924603595),fitnesses,(36.53850715840624,1.0455931619459415,233.1303853262062,)
	3487.0,4992.0,2508.0,0.105949,0.045643,78.0,34.0,188.0,5.0,fitness,(0.052401729959197396),fitnesses,(56.43563550513651,-0.11841867725904051,284.9718773348713,)
	3216.0,1386.0,1731.0,0.159509,0.249559,109.0,158.0,24.0,6.0,fitness,(0.017499086580055195),fitnesses,(15.880980178162824,0.9200393334187176,758.2286932294804,)
	1455.0,461.0,1088.0,0.133156,0.238968,138.0,70.0,12.0,7.0,fitness,(0.04859742731795988),fitnesses,(53.2440823188717,1.0315309062646416,1496.1964063558232,)
	4840.0,4318.0,709.0,0.143368,0.149916,19.0,113.0,138.0,8.0,fitness,(0.022275915351540658),fitnesses,(21.569553525635424,0.6507235282891627,580.0873456986394,)
	4075.0,4824.0,368.0,0.104318,0.047085,178.0,18.0,47.0,9.0,fitness,(0.030069876917167192),fitnesses,(46.286354081099795,-0.19608160370249414,1425.566112690766,)
	2562.0,2849.0,2675.0,0.110628,0.008891,112.0,102.0,9.0,10.0,fitness,(0.32282576947320085),fitnesses,(327.47209013504227,0.7987150189238441,1263.3470851079853,)
	1298.0,1918.0,116.0,0.190775,0.022438,106.0,154.0,132.0,11.0,fitness,(0.035262431828188584),fitnesses,(35.04152795602349,0.4186363326578198,396.5459454413103,)
