gen	nevals	avg      	std      	min       	max     	p-avg  	p-std  	p-min   	p-max  	s-avg   	s-std  	s-min     	s-max  	t-avg  	t-std  	t-min   	t-max  
33 	25    	0.267253 	0.0953628	0.165904  	0.586337	255.451	80.6803	147.755 	527.41 	3.17346 	2.56618	0.552566  	10.8246	1993.23	1976.77	178.23  	8622.02
34 	25    	0.274199 	0.0957969	0.171333  	0.586337	261.643	80.7361	147.755 	527.41 	3.28389 	2.59713	0.552566  	10.8246	2028.34	1996.85	178.23  	8622.02
35 	25    	0.285512 	0.0944052	0.183569  	0.586337	269.866	79.3764	166.124 	527.41 	3.39599 	2.62886	0.552566  	10.8246	1831.43	1796.98	115.156 	7602.25
36 	25    	0.292322 	0.0937934	0.197488  	0.586337	274.076	79.6689	166.124 	527.41 	3.55665 	2.74019	0.552566  	11.7972	1732.04	1703.31	115.156 	8300.72
37 	25    	0.294691 	0.0924168	0.200737  	0.586337	276.048	78.4593	166.124 	527.41 	3.61476 	2.72316	0.552566  	11.7972	1750.51	1711.57	115.156 	8300.72
38 	25    	0.298934 	0.0949294	0.203839  	0.586337	281.197	80.1072	187.599 	527.41 	3.64717 	2.81715	0.552566  	11.7972	1873.44	1812.75	115.156 	8300.72
39 	25    	0.301031 	0.0938127	0.20931   	0.586337	282.917	79.3713	187.599 	527.41 	3.67821 	2.80586	0.552566  	11.7972	1866.82	1815.48	115.156 	8300.72
40 	25    	0.302172 	0.0931461	0.211933  	0.586337	283.998	78.6872	187.599 	527.41 	3.68129 	2.79639	0.552566  	11.7972	1863.87	1811.4 	199.583 	8300.72
41 	25    	0.306693 	0.091559 	0.21342   	0.586337	287.966	77.3975	187.599 	527.41 	3.74576 	2.76142	0.552566  	11.7972	1873.14	1808.06	199.583 	8300.72
42 	25    	0.310666 	0.0916094	0.216296  	0.586337	291.34 	77.6223	187.599 	527.41 	3.79199 	2.73884	0.552566  	11.7972	1859.31	1813.94	199.583 	8300.72
43 	25    	0.312994 	0.0904016	0.218281  	0.586337	293.804	76.27  	187.599 	527.41 	3.79103 	2.75546	0.552566  	11.7972	1872.05	1809.4 	199.583 	8300.72
44 	25    	0.313618 	0.0898859	0.221291  	0.586337	294.636	75.845 	187.599 	527.41 	3.79248 	2.75061	0.552566  	11.7972	1894.3 	1885.15	199.583 	8300.72
45 	25    	0.323734 	0.0909699	0.222646  	0.586337	302.359	76.7253	187.599 	527.41 	4.0454  	2.76731	1.11421   	11.7972	1907.89	1895.56	-91     	8300.72
46 	25    	0.326161 	0.0913074	0.225353  	0.586337	304.518	76.7436	187.599 	527.41 	4.11922 	2.74797	1.17393   	11.7972	1954.95	1918.71	-91     	8300.72
47 	25    	0.33183  	0.091364 	0.227857  	0.586337	308.595	76.0916	197.452 	527.41 	4.23285 	2.78876	1.17393   	11.7972	1909.32	1876.54	-91     	8300.72
48 	25    	0.338552 	0.0890277	0.234189  	0.586337	313.148	74.8644	194.313 	527.41 	4.33971 	2.84215	1.17393   	11.7972	1799.28	1815.36	155.997 	8300.72
49 	25    	0.345844 	0.0851402	0.250152  	0.586337	318.506	71.849 	194.313 	527.41 	4.41572 	2.90294	0.973678  	11.7972	1681.96	1647.95	155.997 	8300.72
50 	25    	0.350463 	0.0851456	0.255319  	0.586337	323.315	72.4994	194.313 	527.41 	4.47464 	2.89096	0.973678  	11.7972	1759.82	1757.49	155.997 	8300.72
