Surrogate,generation,0,mu,100,lambda,25
	2810.0,2941.0,3908.0,0.106701,0.070671,82.0,71.0,169.0,0.0,fitness,(0.0011995262966579567),fitnesses,(0.0,0.37538695574003816,255.4343260742425,)
	25.0,2630.0,3048.0,0.025526,0.151044,49.0,52.0,33.0,1.0,fitness,(-0.021045207275609303),fitnesses,(0.0,0.5844272143057047,2688.9479418666347,)
	501.0,3199.0,2408.0,0.24722,0.161031,5.0,97.0,186.0,2.0,fitness,(-0.0008405156322733899),fitnesses,(0.0,0.1423429269965163,226.39449022385529,)
	172.0,648.0,4987.0,0.014297,0.18797,145.0,21.0,87.0,3.0,fitness,(-0.05127384013501818),fitnesses,(0.0,1.2784307000671236,6405.8147135689405,)
	4245.0,2782.0,3946.0,0.106301,0.17344,133.0,114.0,33.0,4.0,fitness,(0.009948598770203777),fitnesses,(0.0,1.0158668521123853,21.006975092007703,)
	740.0,2183.0,1741.0,0.237418,0.202459,193.0,86.0,176.0,5.0,fitness,(-0.0011208931815917212),fitnesses,(0.0,0.2562580587264788,368.3473768856509,)
	1821.0,1741.0,61.0,0.150252,0.229945,114.0,103.0,45.0,6.0,fitness,(0.0009950716039087608),fitnesses,(0.0,0.3648600658632666,265.3529054723905,)
	1440.0,2311.0,2686.0,0.151746,0.046066,28.0,140.0,133.0,7.0,fitness,(-0.004124087686854867),fitnesses,(0.0,-0.14692999292545267,265.47877576003395,)
	937.0,755.0,2411.0,0.212429,0.136276,48.0,117.0,41.0,8.0,fitness,(-0.00038893027885836),fitnesses,(0.0,0.5179149139535372,556.8079418393731,)
	1094.0,157.0,3844.0,0.184742,0.063023,138.0,165.0,42.0,9.0,fitness,(-0.016947572779802016),fitnesses,(0.0,1.1037889666345035,2798.546244614705,)
	240.0,2990.0,3297.0,0.140254,0.117837,153.0,88.0,170.0,10.0,fitness,(0.005905725507532615),fitnesses,(0.0,1.136318275271439,545.7457245181773,)
	2262.0,779.0,858.0,0.208735,0.086163,158.0,188.0,63.0,11.0,fitness,(0.0026509457298660496),fitnesses,(0.0,1.3100428301266014,1044.9482571399965,)
	4651.0,3041.0,3706.0,0.040495,0.142678,136.0,85.0,64.0,12.0,fitness,(0.010767493718912296),fitnesses,(0.0,0.9184263316410072,-158.32304025022233,)
	2843.0,4141.0,2732.0,0.048254,0.148681,164.0,48.0,186.0,13.0,fitness,(-0.0010674949029035512),fitnesses,(0.0,0.19414887155712118,300.8983618474763,)
	2294.0,4946.0,3747.0,0.054235,0.068964,90.0,85.0,121.0,14.0,fitness,(-0.002231431074489999),fitnesses,(0.0,0.08278580968268422,305.9289171316841,)
	4046.0,2959.0,3041.0,0.105687,0.004939,104.0,185.0,80.0,15.0,fitness,(-0.002253664132945093),fitnesses,(0.0,0.8688899132823804,1094.2563265768897,)
	3767.0,365.0,4528.0,0.179489,0.069948,114.0,166.0,161.0,16.0,fitness,(-0.006238170884524533),fitnesses,(0.0,0.9636072327014881,1587.4243211539413,)
	3061.0,4454.0,2306.0,0.115952,0.213951,130.0,20.0,68.0,17.0,fitness,(-0.006033922639083955),fitnesses,(0.0,0.0881001077637545,691.4923716721499,)
	565.0,2784.0,4442.0,0.244015,0.128624,45.0,121.0,115.0,18.0,fitness,(8.041878137060848e-05),fitnesses,(0.0,0.46605627850730674,458.0144003702458,)
	22.0,3755.0,2015.0,0.057017,0.159122,61.0,49.0,76.0,19.0,fitness,(0.0058031143739215646),fitnesses,(0.0,0.893247894055612,312.9364566634555,)
	3204.0,2873.0,4049.0,0.087645,0.148649,190.0,13.0,123.0,20.0,fitness,(-0.0013478666866310433),fitnesses,(0.0,1.770485149779178,1905.2718184422822,)
	480.0,579.0,499.0,0.153198,0.162107,27.0,90.0,27.0,21.0,fitness,(0.012967980223058985),fitnesses,(0.0,1.6108322653046492,314.03424299875087,)
	114.0,4343.0,2513.0,0.182044,0.054207,77.0,148.0,116.0,22.0,fitness,(0.013101895924222383),fitnesses,(0.0,1.6739333831433558,363.74379072111765,)
	1895.0,2844.0,2789.0,0.108301,0.067333,67.0,173.0,190.0,23.0,fitness,(-0.00648444972201396),fitnesses,(0.0,-0.20758481027876569,440.86016192263025,)
	4210.0,2518.0,2264.0,0.158927,0.18979,25.0,172.0,175.0,24.0,fitness,(0.002691961965508834),fitnesses,(0.0,0.9317232041956884,662.5270076448049,)
	3208.0,3244.0,949.0,0.111093,0.024165,79.0,185.0,131.0,25.0,fitness,(-0.0030324637424656757),fitnesses,(0.0,0.4262284261013792,729.4748003479467,)
	4870.0,776.0,3936.0,0.048284,0.192422,87.0,92.0,3.0,26.0,fitness,(-0.006736593820649707),fitnesses,(0.0,0.8607197752114517,1534.3791572764223,)
	507.0,3334.0,2168.0,0.123213,0.105837,24.0,48.0,89.0,27.0,fitness,(0.006594757652879448),fitnesses,(0.0,0.8316096283403299,172.13386305238512,)
	3774.0,2806.0,1197.0,0.185784,0.038018,122.0,156.0,54.0,28.0,fitness,(-0.0002894934491800387),fitnesses,(0.0,0.9025894411471008,931.5387860651045,)
	669.0,1007.0,2270.0,0.190552,0.03671,29.0,136.0,105.0,29.0,fitness,(0.004738435751826704),fitnesses,(0.0,0.8317537680669609,357.9101928842905,)
