['undersample', 0.05, 12, 0.6239316239316239, [0.05, 0.6239316239316239]]
['undersample', 0.1, 24, 0.9099099099099099, [0.1, 0.9099099099099099]]
['undersample', 0.25, 61, 0.9135135135135135, [0.25, 0.9135135135135135]]
['undersample', 0.5, 123, 0.8211382113821138, [0.25, 0.9135135135135135]]
['undersample', 0.75, 184, 0.8225806451612904, [0.25, 0.9135135135135135]]
