['undersample', 0.05, 6, 0.48360655737704916, [0.05, 0.48360655737704916]]
['undersample', 0.1, 12, 0.7068965517241379, [0.1, 0.7068965517241379]]
['undersample', 0.25, 32, 0.78125, [0.25, 0.78125]]
['undersample', 0.5, 64, 0.75, [0.25, 0.78125]]
['undersample', 0.75, 96, 0.5625, [0.25, 0.78125]]
