['undersample', 0.05, 31, 0.6902800658978583, [0.05, 0.6902800658978583]]
['undersample', 0.1, 63, 0.7530434782608696, [0.1, 0.7530434782608696]]
['undersample', 0.25, 159, 0.7118997912317327, [0.1, 0.7530434782608696]]
['undersample', 0.5, 319, 0.8934169278996865, [0.5, 0.8934169278996865]]
['undersample', 0.75, 478, 0.85, [0.5, 0.8934169278996865]]
