Surrogate,generation,0,mu,100,lambda,25
	1255.0,2964.0,152.0,0.216008,0.241498,23.0,98.0,31.0,0.0,fitness,(-0.005555334613305912),fitnesses,(-2.0911263410716936,-0.03431183148191616,312.1089957415057,)
	2482.0,2050.0,2261.0,0.099617,0.0729,18.0,81.0,1.0,1.0,fitness,(0.038606982906147044),fitnesses,(37.38127957407144,0.8756804150263638,753.1100818188033,)
	4321.0,4086.0,4557.0,0.104741,0.198308,17.0,142.0,179.0,2.0,fitness,(0.01690265304544799),fitnesses,(12.125276222354081,1.0238803040736455,546.142621764255,)
	1599.0,1752.0,2020.0,0.232521,0.191034,99.0,157.0,148.0,3.0,fitness,(0.012999386313819115),fitnesses,(16.06687708631114,0.01626867236060245,323.0177496098051,)
	4580.0,2924.0,3803.0,0.130889,0.068069,80.0,53.0,185.0,4.0,fitness,(0.012197409372015026),fitnesses,(5.739716452084242,1.0763762003382003,430.6069083451217,)
	2245.0,2757.0,4009.0,0.147791,0.23391,174.0,125.0,56.0,5.0,fitness,(-0.0025302923704667167),fitnesses,(-1.0408838197612407,0.009262039021941143,158.20289409248875,)
	3238.0,1708.0,1556.0,0.176692,0.137201,175.0,184.0,59.0,6.0,fitness,(0.010689340377521705),fitnesses,(11.624054784763189,1.008534372822462,1102.0058135466104,)
	1178.0,1052.0,4497.0,0.032507,0.1958,33.0,144.0,102.0,7.0,fitness,(0.027670745717837272),fitnesses,(22.565164187439066,0.7969353825419658,286.3772295021451,)
	2270.0,3671.0,247.0,0.008246,0.008339,190.0,197.0,37.0,8.0,fitness,(0.04247284939892766),fitnesses,(46.96702904852985,-0.0020415558852876214,447.37640907493153,)
	800.0,2205.0,3253.0,0.173068,0.090449,191.0,162.0,42.0,9.0,fitness,(0.045410919170392736),fitnesses,(54.58061739037759,0.3277182629156601,1244.6880849141455,)
	3038.0,1766.0,3669.0,0.08408,0.047785,106.0,107.0,181.0,10.0,fitness,(0.041539073905567325),fitnesses,(35.11864523492737,1.1776339029205989,535.5910358566035,)
	1588.0,3045.0,2202.0,0.207219,0.196021,33.0,26.0,122.0,11.0,fitness,(0.025933639579004963),fitnesses,(24.44164903636714,0.37393746404081374,224.73840977703097,)
	1521.0,1387.0,4197.0,0.148078,0.124821,81.0,9.0,192.0,12.0,fitness,(0.10315978058109235),fitnesses,(83.3293825759438,2.57836829808385,595.3284975689951,)
	3413.0,1537.0,2282.0,0.022393,0.186816,144.0,171.0,50.0,13.0,fitness,(0.002501003105002935),fitnesses,(-0.892997204973312,1.0275835670318383,688.1835360342135,)
	4170.0,421.0,2174.0,0.110304,0.182908,81.0,51.0,97.0,14.0,fitness,(0.028970867206791272),fitnesses,(23.921278606351784,0.9010980447967316,396.13918475278314,)
	3718.0,1626.0,3936.0,0.093458,0.151123,150.0,194.0,183.0,15.0,fitness,(0.027826584212236126),fitnesses,(24.443725272942075,1.178477518532133,840.1916246027276,)
	582.0,2242.0,1108.0,0.000628,0.125657,198.0,45.0,135.0,16.0,fitness,(0.04569011887737743),fitnesses,(42.25787315762747,0.8439509116288797,500.726339653884,)
