Surrogate,generation,0,mu,100,lambda,25
	2523.0,4604.0,4600.0,0.060208,0.207253,170.0,131.0,98.0,0.0,fitness,(-0.0006078818544619875),fitnesses,(3.9162442729338243,-0.07644724680979673,375.9653659297844,)
	4173.0,2233.0,804.0,0.170737,0.087264,123.0,105.0,130.0,1.0,fitness,(0.0234247178076624),fitnesses,(19.804628960224086,0.8666318898617584,504.6230051179266,)
	3788.0,3462.0,4032.0,0.151842,0.129599,77.0,88.0,161.0,2.0,fitness,(0.021216727657497714),fitnesses,(16.16838296098437,1.0140059763855451,509.1715067342109,)
	1107.0,822.0,4561.0,0.225935,0.070289,130.0,50.0,3.0,3.0,fitness,(-0.03522570006907362),fitnesses,(10.639645151680568,1.2119622638056107,5798.496785881029,)
	3093.0,3016.0,2615.0,0.041725,0.240902,166.0,153.0,69.0,4.0,fitness,(-0.0012631439110532307),fitnesses,(-0.2657489752844807,0.5874789329779535,687.2184265548285,)
	4583.0,4144.0,280.0,0.170396,0.200231,193.0,5.0,124.0,5.0,fitness,(0.022756731548150593),fitnesses,(15.576134590809069,1.039545820127816,321.48612439366383,)
	4343.0,1134.0,2638.0,0.142335,0.047644,134.0,76.0,137.0,6.0,fitness,(0.0514356969194883),fitnesses,(48.6677625755453,0.977042064811223,700.2486304169229,)
	2202.0,3886.0,3926.0,0.026364,0.0199,188.0,128.0,103.0,7.0,fitness,(-0.013356706340839457),fitnesses,(-2.38157397700332,0.054542005149822624,1152.0552415334362,)
	3624.0,2449.0,3151.0,0.106577,0.159754,148.0,87.0,46.0,8.0,fitness,(0.02047105490732029),fitnesses,(7.649173413326707,0.8467723087072637,-435.4158406920943,)
	1807.0,1154.0,1943.0,0.129867,0.191915,103.0,66.0,134.0,9.0,fitness,(0.026044637537286024),fitnesses,(16.154122530586985,1.3231291769676388,334.07767629773485,)
	4275.0,747.0,1430.0,0.159832,0.166323,3.0,164.0,46.0,10.0,fitness,(0.03568914774956583),fitnesses,(34.35195289185895,0.9548172633053119,821.0977775346238,)
	2373.0,4101.0,2913.0,0.069765,0.041344,124.0,67.0,184.0,11.0,fitness,(0.05385902055390052),fitnesses,(52.05086619038683,0.4336667103374975,252.8512739861282,)
	3454.0,1625.0,2944.0,0.188993,0.245621,15.0,69.0,84.0,12.0,fitness,(0.01904324910518456),fitnesses,(12.38797129228952,0.9287348089864605,263.20702769695663,)
	978.0,1354.0,3329.0,0.035627,0.029133,128.0,176.0,167.0,13.0,fitness,(0.272657330976083),fitnesses,(268.95263382970086,0.8754439615662432,504.9742469280224,)
	4654.0,1418.0,3215.0,0.086601,0.10624,184.0,152.0,17.0,14.0,fitness,(0.029166201133442853),fitnesses,(28.883322008138784,0.9943999939622525,966.1120814318458,)
	4819.0,3391.0,218.0,0.216396,0.142759,109.0,126.0,187.0,15.0,fitness,(0.01240451867091011),fitnesses,(12.556876234060256,1.0175308709323418,1032.7666272473564,)
	866.0,1596.0,3291.0,0.048322,0.230643,55.0,91.0,37.0,16.0,fitness,(0.017086668407885877),fitnesses,(21.016621432141847,0.38879905586449204,781.7943582900886,)
	4673.0,263.0,1218.0,0.023303,0.157393,95.0,198.0,141.0,17.0,fitness,(0.0305045707677905),fitnesses,(29.36682918497655,1.1037085344187259,989.9343761373307,)
	4831.0,3051.0,46.0,0.147249,0.204251,11.0,29.0,95.0,18.0,fitness,(0.013419209610959527),fitnesses,(3.955514678107113,1.0569394910741494,110.56999778890803,)
