Surrogate,generation,0,mu,100,lambda,25
	377.0,3974.0,1619.0,0.174647,0.244012,56.0,199.0,25.0,0.0,fitness,(-0.004303640899333059),fitnesses,(0.6169032493710777,0.06257664882782699,554.6310636982405,)
	4905.0,4970.0,3015.0,0.183127,0.123006,17.0,112.0,86.0,1.0,fitness,(0.014854887782710208),fitnesses,(17.68869297836497,0.5400266280340574,823.4071475995333,)
	2920.0,4499.0,1304.0,0.150875,0.23818,9.0,165.0,193.0,2.0,fitness,(0.0077797912971710025),fitnesses,(13.415355447042131,0.12300013442089405,686.5565494080068,)
	3849.0,913.0,24.0,0.199662,0.218984,154.0,40.0,1.0,3.0,fitness,(-0.0073315305868552495),fitnesses,(-5.442877106310402,1.0868981172425967,1275.7634652970814,)
	1076.0,2519.0,1289.0,0.154705,0.151448,117.0,128.0,20.0,4.0,fitness,(0.03113726880585758),fitnesses,(34.628695173232835,0.0283750825746471,377.5177193121729,)
	4220.0,3210.0,1909.0,0.081951,0.162585,159.0,57.0,155.0,5.0,fitness,(0.021715219405711597),fitnesses,(15.541828081259489,0.9648756179043357,347.5364854591251,)
	2505.0,956.0,2364.0,0.119492,0.211082,179.0,119.0,66.0,6.0,fitness,(0.014815262340493164),fitnesses,(10.940113580966425,0.8835892055267386,496.0743295740648,)
	3473.0,4472.0,1056.0,0.06044,0.200084,26.0,198.0,140.0,7.0,fitness,(0.009766032504628784),fitnesses,(15.349340661639697,0.12531470414002208,683.6455198411131,)
	3710.0,4451.0,1795.0,0.204458,0.22933,195.0,168.0,111.0,8.0,fitness,(-0.000571920745656416),fitnesses,(5.946345813232057,0.04652897395361322,698.3556298424604,)
	2891.0,2941.0,3775.0,0.099607,0.091831,118.0,107.0,151.0,9.0,fitness,(0.00584304957016232),fitnesses,(4.108637155479656,0.47736767847433725,303.9264370060709,)
	2435.0,3920.0,752.0,0.027337,0.06128,191.0,38.0,155.0,10.0,fitness,(0.05532240602240393),fitnesses,(53.401371804552944,0.46916473919933466,277.0613174142363,)
	102.0,205.0,2269.0,0.189255,0.162499,94.0,143.0,133.0,11.0,fitness,(0.07257148387905683),fitnesses,(65.08631850191041,1.2666824149829712,518.1658772683298,)
	362.0,3982.0,3226.0,0.085452,0.015105,179.0,169.0,47.0,12.0,fitness,(0.31760988824117936),fitnesses,(313.25167251374006,1.9681951551359103,1532.3735823919826,)
	1043.0,2091.0,4742.0,0.123497,0.003455,167.0,53.0,191.0,13.0,fitness,(0.1779146221547693),fitnesses,(168.73778476551144,2.0195689395781087,1101.885200652321,)
	1397.0,4712.0,559.0,0.163924,0.214139,159.0,132.0,96.0,14.0,fitness,(0.006143386717465096),fitnesses,(7.389427202804747,-0.03171442455272652,92.88962398123856,)
	4769.0,4613.0,3446.0,0.22087,0.236673,180.0,156.0,115.0,15.0,fitness,(0.0013439845194847507),fitnesses,(-2.2373442766454374,0.9567765322521926,598.6436526391738,)
	4362.0,652.0,3268.0,0.192555,0.235109,81.0,71.0,51.0,16.0,fitness,(0.010158335847788469),fitnesses,(7.686815660928501,0.8070866396817558,559.9346209957591,)
	3003.0,1324.0,3307.0,0.07825,0.007275,89.0,13.0,153.0,17.0,fitness,(0.33424145234328173),fitnesses,(319.500681455897,1.9607020750616484,486.624986323173,)
	4462.0,2198.0,4172.0,0.005636,0.076439,77.0,45.0,96.0,18.0,fitness,(0.036853444030366445),fitnesses,(28.70467081450689,1.2871537198856893,472.27639829973407,)
	3786.0,926.0,796.0,0.165407,0.23621,10.0,79.0,7.0,19.0,fitness,(0.019509412821277702),fitnesses,(15.4196606380583,0.7353242501489929,326.34903182705284,)
	1397.0,2425.0,1826.0,0.019432,0.009682,123.0,162.0,140.0,20.0,fitness,(0.14447824336482473),fitnesses,(146.1031089474805,0.11104574247683141,273.53230074240884,)
	3764.0,4779.0,2514.0,0.197824,0.185841,63.0,169.0,173.0,21.0,fitness,(0.0037916943349007443),fitnesses,(12.395286594283906,0.19140283634426056,1051.7620622825768,)
	3814.0,662.0,2042.0,0.083003,0.11109,87.0,97.0,176.0,22.0,fitness,(0.047111487363888066),fitnesses,(41.697906826504244,1.0487112730425314,507.35321930414926,)
	4235.0,2349.0,4464.0,0.035072,0.052121,152.0,173.0,179.0,23.0,fitness,(0.05289465496920386),fitnesses,(48.799979589544385,1.0999043786235319,690.4368406575844,)
	2445.0,716.0,3036.0,0.136253,0.18672,78.0,60.0,188.0,24.0,fitness,(0.0298943196721839),fitnesses,(21.104603854307108,1.0925845607274958,213.61297893981666,)
	2039.0,995.0,2541.0,0.025007,0.238567,36.0,130.0,29.0,25.0,fitness,(0.02291493757662745),fitnesses,(14.112826545905904,0.9402058568820827,59.99475380992795,)
	2909.0,642.0,797.0,0.074329,0.126705,52.0,153.0,199.0,26.0,fitness,(0.0426215456765831),fitnesses,(39.34445844939658,1.036647422397256,708.938699678604,)
	1847.0,3393.0,3957.0,0.105219,0.024339,99.0,117.0,134.0,27.0,fitness,(0.07712027653442344),fitnesses,(76.82862740910335,0.4957032489905464,466.5383364585366,)
	92.0,3617.0,2094.0,0.183374,0.094737,158.0,179.0,140.0,28.0,fitness,(0.0880934308672936),fitnesses,(78.57354037188614,1.2004523352948209,248.46328575407452,)
	2004.0,4745.0,4944.0,0.169515,0.090292,124.0,59.0,166.0,29.0,fitness,(0.037552399557658406),fitnesses,(38.55067740715296,0.6719008500178132,771.7286349672693,)
	1337.0,3689.0,1604.0,0.080476,0.120323,101.0,33.0,87.0,30.0,fitness,(0.03198686144470929),fitnesses,(29.712133953839754,0.6341516823185833,406.67893323163037,)
	1110.0,1263.0,985.0,0.110879,0.09262,124.0,140.0,166.0,31.0,fitness,(0.054650399356001786),fitnesses,(53.09286060810911,0.5689893358030781,413.23546101381083,)
	4880.0,2491.0,4504.0,0.0077,0.160811,139.0,19.0,61.0,32.0,fitness,(0.004287892327010968),fitnesses,(25.51573818203211,1.4477109136466249,3570.4954991487384,)
	1572.0,3922.0,69.0,0.128379,0.115001,149.0,136.0,13.0,33.0,fitness,(-0.00958003581341194),fitnesses,(-5.126852798297236,-0.029074208105009273,416.2440934064611,)
	3196.0,2413.0,3311.0,0.228972,0.001403,80.0,119.0,172.0,34.0,fitness,(0.059288351953716956),fitnesses,(54.14978244355379,1.3049690384231571,791.1120874068406,)
	235.0,696.0,976.0,0.167478,0.234744,81.0,16.0,126.0,35.0,fitness,(0.05991403688432001),fitnesses,(48.89305501387532,1.2478108912287447,145.71270418427588,)
	1429.0,112.0,3686.0,0.199011,0.10742,42.0,60.0,184.0,36.0,fitness,(0.031238143035875944),fitnesses,(22.19429663616623,1.1018219039652162,197.43726399424463,)
	3628.0,3624.0,3361.0,0.180166,0.048593,67.0,31.0,1.0,37.0,fitness,(0.134948525137718),fitnesses,(145.34461802350813,1.6879808924481963,2727.5901810272126,)
	3903.0,3558.0,4104.0,0.065625,0.084478,48.0,26.0,129.0,38.0,fitness,(0.04520256259095516),fitnesses,(37.411628066934924,1.377962356505294,598.8689041032706,)
	3033.0,3381.0,1504.0,0.122219,0.110866,65.0,103.0,22.0,39.0,fitness,(0.022299205064333655),fitnesses,(29.303304758413883,-0.002253462858740063,698.1565065492825,)
	4135.0,1852.0,4531.0,0.169621,0.234826,116.0,147.0,34.0,40.0,fitness,(1.2706527517794552e-05),fitnesses,(-0.8162739059965599,0.8774349053889896,794.5368620375541,)
	2986.0,1063.0,2765.0,0.053491,0.16871,176.0,19.0,77.0,41.0,fitness,(0.052398149565495426),fitnesses,(75.33564147866308,1.5360361342611972,3829.7853255779614,)
	4253.0,2119.0,3665.0,0.023462,0.139846,69.0,28.0,146.0,42.0,fitness,(0.05015603998058045),fitnesses,(37.80941646353744,1.6062032038192113,371.5408521149101,)
	2611.0,2314.0,3204.0,0.214131,0.234363,87.0,143.0,39.0,43.0,fitness,(0.00661510359012804),fitnesses,(4.049471583043209,0.8960852623267224,639.5220616182394,)
	2304.0,2654.0,1848.0,0.204048,0.121413,33.0,78.0,112.0,44.0,fitness,(0.020045887147598033),fitnesses,(20.67943820285938,0.04551844807260702,108.87355359874178,)
	2922.0,689.0,981.0,0.175988,0.06366,32.0,184.0,107.0,45.0,fitness,(0.05069555056912076),fitnesses,(46.10763908718971,1.026381402877386,567.5902546842811,)
	1641.0,2342.0,330.0,0.160689,0.192056,73.0,129.0,18.0,46.0,fitness,(0.011265383247369008),fitnesses,(14.747771916274322,-0.06600254082709847,282.23632606343295,)
