Surrogate,generation,0,mu,100,lambda,25
	1631.0,304.0,4266.0,0.183037,0.12243,192.0,118.0,24.0,0.0,fitness,(-0.0020926371945141145),fitnesses,(15.311635207642247,0.8064616420671976,2546.8888822828335,)
	4554.0,3619.0,1709.0,0.153655,0.021326,194.0,40.0,123.0,1.0,fitness,(0.04744192914006468),fitnesses,(38.86884621277068,1.1091674285500308,251.8591358206299,)
	2671.0,1407.0,1468.0,0.168499,0.183275,182.0,109.0,20.0,2.0,fitness,(0.022586214208100395),fitnesses,(9.875831395520883,0.9003477677980832,-370.69051345986793,)
	3323.0,3056.0,816.0,0.065416,0.067624,90.0,63.0,78.0,3.0,fitness,(0.04303336668224487),fitnesses,(35.43878710010929,0.9643829224234762,204.92496420991836,)
	409.0,3305.0,1997.0,0.117581,0.12724,122.0,11.0,100.0,4.0,fitness,(0.012909281779812966),fitnesses,(13.158994084541343,1.0636957901225819,1088.6670205954194,)
	1193.0,3729.0,4579.0,0.119229,0.004929,99.0,186.0,9.0,5.0,fitness,(0.35959942305107995),fitnesses,(381.4142605734211,0.6507198528984319,2832.2036051325426,)
	1541.0,4255.0,2857.0,0.17589,0.166571,113.0,29.0,78.0,6.0,fitness,(-0.001270650982824353),fitnesses,(5.0464724297986265,0.3494955022967615,981.2078435590594,)
	1960.0,2247.0,62.0,0.137689,0.166478,106.0,126.0,30.0,7.0,fitness,(0.007638262577814632),fitnesses,(10.90383859244848,-0.10958233038140229,216.97527108198244,)
	2976.0,1293.0,1807.0,0.115844,0.159819,178.0,160.0,72.0,8.0,fitness,(0.013874060459799139),fitnesses,(12.171709720303355,0.9903916504728305,820.1565765232522,)
	817.0,4392.0,1827.0,0.202213,0.080606,125.0,19.0,167.0,9.0,fitness,(0.06622532102722145),fitnesses,(57.90473775498638,1.192465864353659,360.4075371301513,)
	2054.0,861.0,2628.0,0.168213,0.112389,100.0,83.0,26.0,10.0,fitness,(0.026844317042947163),fitnesses,(19.023900160866763,0.6789599996317875,-103.08168857625212,)
	1475.0,3215.0,2830.0,0.031569,0.024776,161.0,41.0,134.0,11.0,fitness,(0.18784299570309668),fitnesses,(190.35703412018182,1.3720802080144636,1623.4840497229782,)
	3209.0,4993.0,3449.0,0.001798,0.091507,51.0,87.0,196.0,12.0,fitness,(0.01168775183447004),fitnesses,(12.301916391157945,0.21301144452868745,274.42790019747804,)
	484.0,1655.0,1166.0,0.163609,0.243879,151.0,5.0,0.0,13.0,fitness,(-0.1499617878041015),fitnesses,(46.79851107788149,1.2980243632646973,20974.054251462992,)
