generation,0,mu,100,lambda,25
	4912.0,38.0,2301.0,0.220194,0.216908,144.0,10.0,170.0,0.0,fitness,(0.042366640010000005,),fitnesses,(36.0, 1.0, 363.335999)
	846.0,1424.0,3489.0,0.233265,0.160665,198.0,2.0,50.0,1.0,fitness,(1.1123712793,),fitnesses,(1000.0, 19.0, 7762.872070000001)
	1850.0,4196.0,2227.0,0.06941,0.052563,155.0,92.0,91.0,2.0,fitness,(0.03044276001,),fitnesses,(33.0, 0.0, 255.723999)
	4550.0,4132.0,3349.0,0.201031,0.028451,195.0,165.0,178.0,3.0,fitness,(0.033311080320000006,),fitnesses,(34.0, 1.0, 1068.891968)
	479.0,1704.0,257.0,0.028376,0.095683,91.0,127.0,51.0,4.0,fitness,(0.039139430010000004,),fitnesses,(40.0, 0.0, 86.056999)
	1725.0,1424.0,4449.0,0.148919,0.097823,85.0,123.0,102.0,5.0,fitness,(0.03944436005,),fitnesses,(34.0, 1.0, 455.563995)
	1128.0,4112.0,3331.0,0.215401,0.006349,181.0,102.0,186.0,6.0,fitness,(0.16660258972000003,),fitnesses,(172.0, 0.0, 539.741028)
	3944.0,230.0,2800.0,0.238669,0.16842,55.0,36.0,167.0,7.0,fitness,(0.038197929990000004,),fitnesses,(33.0, 1.0, 480.207001)
	3657.0,4776.0,209.0,0.138613,0.023222,37.0,25.0,83.0,8.0,fitness,(0.02616102997,),fitnesses,(28.0, 0.0, 183.897003)
	3504.0,3976.0,1038.0,0.084184,0.036284,11.0,191.0,145.0,9.0,fitness,(0.029192069699999997,),fitnesses,(37.0, 0.0, 780.79303)
	1496.0,303.0,3622.0,0.18363,0.186002,104.0,75.0,148.0,10.0,fitness,(0.03494153992,),fitnesses,(30.0, 1.0, 505.846008)
	1630.0,3967.0,4339.0,0.075267,0.208018,179.0,27.0,196.0,11.0,fitness,(0.01855826904,),fitnesses,(40.0, 1.0, 3144.173096)
	1119.0,3436.0,259.0,0.213494,0.014477,171.0,101.0,102.0,12.0,fitness,(0.03487460007,),fitnesses,(37.0, 0.0, 212.539993)
	4585.0,1714.0,2469.0,0.192319,0.100072,11.0,158.0,119.0,13.0,fitness,(0.022936800540000003,),fitnesses,(24.0, 1.0, 1106.319946)
	1708.0,4773.0,1405.0,0.131597,0.011345,51.0,170.0,65.0,14.0,fitness,(0.029722959900000002,),fitnesses,(34.0, 0.0, 427.7040099999999)
	439.0,1483.0,3213.0,0.149979,0.009404,110.0,5.0,13.0,15.0,fitness,(0.9938038501,),fitnesses,(1000.0, 3.0, 3619.61499)
	3304.0,3699.0,250.0,0.239546,0.124702,24.0,142.0,171.0,16.0,fitness,(0.00777612976,),fitnesses,(14.0, 0.0, 622.387024)
	376.0,3224.0,2485.0,0.021948,0.13644,51.0,100.0,58.0,17.0,fitness,(0.03006943001,),fitnesses,(31.0, 0.0, 93.056999)
	1227.0,601.0,2610.0,0.139814,0.194486,159.0,160.0,83.0,18.0,fitness,(0.030820239870000002,),fitnesses,(25.0, 1.0, 417.976013)
	2749.0,3063.0,2621.0,0.191674,0.184989,16.0,35.0,139.0,19.0,fitness,(0.01636432007,),fitnesses,(18.0, 0.0, 163.567993)
	1295.0,3086.0,4642.0,0.223035,0.113841,102.0,45.0,91.0,20.0,fitness,(0.13973250976999999,),fitnesses,(128.0, 2.0, 826.749023)
	3871.0,4182.0,2887.0,0.218331,0.11935,179.0,197.0,47.0,21.0,fitness,(0.008342949830000002,),fitnesses,(18.0, 0.0, 965.705017)
	2051.0,4807.0,4180.0,0.182709,0.166155,154.0,171.0,75.0,22.0,fitness,(0.00943352997,),fitnesses,(14.0, 0.0, 456.647003)
	1352.0,4105.0,4690.0,0.189029,0.059997,110.0,195.0,4.0,23.0,fitness,(0.030810629880000003,),fitnesses,(35.0, 0.0, 418.937012)
	1591.0,1720.0,1308.0,0.221506,0.130155,187.0,188.0,17.0,24.0,fitness,(0.02152692993,),fitnesses,(27.0, 0.0, 547.307007)
	4004.0,452.0,3021.0,0.181084,0.174811,174.0,171.0,81.0,25.0,fitness,(0.017527860109999994,),fitnesses,(27.0, 1.0, 1947.2139890000003)
	951.0,1293.0,3769.0,0.01484,0.039897,119.0,180.0,172.0,26.0,fitness,(0.09299485992,),fitnesses,(95.0, 0.0, 200.514008)
	3213.0,3127.0,483.0,0.16071,0.075403,145.0,50.0,115.0,27.0,fitness,(0.030565950010000002,),fitnesses,(23.0, 1.0, 243.404999)
	4944.0,1800.0,2556.0,0.186548,0.085455,66.0,161.0,54.0,28.0,fitness,(0.02672438965,),fitnesses,(30.0, 1.0, 1327.561035)
	2208.0,1250.0,1631.0,0.087584,0.154236,126.0,48.0,64.0,29.0,fitness,(0.03858496994,),fitnesses,(30.0, 1.0, 141.503006)
	3977.0,2189.0,3629.0,0.063722,0.123247,119.0,44.0,47.0,30.0,fitness,(0.03781813004,),fitnesses,(30.0, 1.0, 218.186996)
	271.0,1717.0,548.0,0.241274,0.130316,196.0,114.0,142.0,31.0,fitness,(0.16918292998999998,),fitnesses,(152.0, 2.0, 281.707001)
	4867.0,3114.0,2335.0,0.07391,0.217079,12.0,6.0,24.0,32.0,fitness,(0.05420882004000001,),fitnesses,(35.0, 2.0, 79.117996)
	2231.0,2224.0,1365.0,0.0093,0.22703,64.0,189.0,154.0,33.0,fitness,(0.021700580140000002,),fitnesses,(16.0, 1.0, 429.94198600000004)
	2355.0,2053.0,1490.0,0.205599,0.237044,186.0,161.0,57.0,34.0,fitness,(0.01964913025,),fitnesses,(15.0, 1.0, 535.086975)
	1961.0,4414.0,4808.0,0.044179,0.208023,175.0,176.0,18.0,35.0,fitness,(0.006873349909999999,),fitnesses,(11.0, 0.0, 412.665009)
	2.0,2017.0,1627.0,0.246039,0.179786,161.0,198.0,70.0,36.0,fitness,(0.014633079989999999,),fitnesses,(15.0, 0.0, 36.692001)
	1519.0,165.0,3882.0,0.131093,0.022221,92.0,127.0,139.0,37.0,fitness,(0.10003552979,),fitnesses,(98.0, 1.0, 796.4470209999998)
	3693.0,1504.0,3551.0,0.012098,0.057467,102.0,156.0,46.0,38.0,fitness,(0.04541273987,),fitnesses,(41.0, 1.0, 558.726013)
