generation,0,mu,100,lambda,25
	4209.0,3142.0,2953.0,0.234606,0.200318,52.0,188.0,196.0,0.0,fitness,(0.0128827002,),fitnesses,(13.0, 1.0, 1011.72998)
	4734.0,1888.0,1270.0,0.190495,0.225172,23.0,170.0,67.0,1.0,fitness,(0.01436000977,),fitnesses,(15.0, 1.0, 1063.999023)
	3604.0,3533.0,2730.0,0.135882,0.219626,76.0,143.0,195.0,2.0,fitness,(0.01793072021,),fitnesses,(14.0, 1.0, 606.927979)
	2040.0,4154.0,2712.0,0.201659,0.147092,143.0,188.0,51.0,3.0,fitness,(0.014939379879999999,),fitnesses,(20.0, 0.0, 506.062012)
	3103.0,4638.0,3912.0,0.079181,0.204093,189.0,46.0,32.0,4.0,fitness,(0.01078563004,),fitnesses,(13.0, 0.0, 221.43699599999997)
	4241.0,3592.0,3282.0,0.247357,0.129212,163.0,9.0,48.0,5.0,fitness,(0.040945960010000004,),fitnesses,(32.0, 1.0, 105.403999)
	3114.0,4457.0,109.0,0.212635,0.057474,30.0,52.0,4.0,6.0,fitness,(0.015333940120000002,),fitnesses,(18.0, 0.0, 266.605988)
	1519.0,4902.0,2245.0,0.189221,0.1807,172.0,86.0,101.0,7.0,fitness,(0.015766799930000002,),fitnesses,(18.0, 0.0, 223.32000699999998)
	1157.0,3189.0,1330.0,0.126571,0.185236,113.0,113.0,107.0,8.0,fitness,(0.01800455994,),fitnesses,(20.0, 0.0, 199.544006)
	3905.0,951.0,1299.0,0.082105,0.084403,197.0,59.0,189.0,9.0,fitness,(0.048916700130000004,),fitnesses,(42.0, 1.0, 308.329987)
	1869.0,1152.0,4307.0,0.146333,0.235667,29.0,162.0,90.0,10.0,fitness,(0.02426864014,),fitnesses,(19.0, 1.0, 473.13598599999995)
	1138.0,2092.0,4459.0,0.200182,0.167914,169.0,80.0,132.0,11.0,fitness,(0.02523343002,),fitnesses,(27.0, 0.0, 176.656998)
	679.0,1166.0,1091.0,0.185688,0.130284,118.0,165.0,114.0,12.0,fitness,(0.03348636002,),fitnesses,(36.0, 0.0, 251.363998)
	1463.0,2603.0,4578.0,0.038109,0.025544,78.0,127.0,192.0,13.0,fitness,(0.06339045013,),fitnesses,(66.0, 0.0, 260.954987)
	2237.0,4733.0,2246.0,0.049507,0.039735,54.0,4.0,15.0,14.0,fitness,(0.0005029882799999982,),fitnesses,(51.0, 1.0, 6049.701172)
	4291.0,3824.0,4597.0,0.171405,0.023716,38.0,78.0,64.0,15.0,fitness,(0.04296915009,),fitnesses,(38.0, 1.0, 503.084991)
	915.0,889.0,4190.0,0.076104,0.108943,17.0,171.0,64.0,16.0,fitness,(0.048467640080000006,),fitnesses,(41.0, 1.0, 253.235992)
	2534.0,684.0,164.0,0.071376,0.042295,99.0,0.0,194.0,17.0,fitness,(0.03764384998,),fitnesses,(38.0, 0.0, 35.615002)
	1523.0,2874.0,2251.0,0.046418,0.018034,65.0,19.0,63.0,18.0,fitness,(0.99369260986,),fitnesses,(1000.0, 1.0, 1630.7390140000002)
	1496.0,4707.0,4039.0,0.009692,0.151126,190.0,19.0,109.0,19.0,fitness,(0.01790344002,),fitnesses,(19.0, 0.0, 109.65599799999998)
	1835.0,3276.0,3975.0,0.126481,0.026201,43.0,184.0,68.0,20.0,fitness,(0.04073367981,),fitnesses,(46.0, 0.0, 526.632019)
	3490.0,213.0,2066.0,0.217718,0.02035,80.0,173.0,171.0,21.0,fitness,(0.059607169800000005,),fitnesses,(58.0, 1.0, 839.2830199999999)
	1800.0,3929.0,818.0,0.246275,0.186034,81.0,68.0,12.0,22.0,fitness,(0.00993925995,),fitnesses,(12.0, 0.0, 206.07400500000003)
	3671.0,3265.0,156.0,0.164533,0.248093,194.0,192.0,33.0,23.0,fitness,(0.013878530269999998,),fitnesses,(12.0, 1.0, 812.146973)
	4686.0,4085.0,943.0,0.097474,0.046294,176.0,13.0,34.0,24.0,fitness,(0.07450190917999999,),fitnesses,(92.0, 2.0, 3749.809082)
	1294.0,928.0,3075.0,0.044376,0.192114,29.0,29.0,52.0,25.0,fitness,(0.09260504028000001,),fitnesses,(81.0, 2.0, 839.495972)
	2173.0,3239.0,133.0,0.021018,0.172542,25.0,59.0,65.0,26.0,fitness,(0.01624602005,),fitnesses,(18.0, 0.0, 175.397995)
	4838.0,4096.0,2046.0,0.204306,0.002921,163.0,90.0,99.0,27.0,fitness,(0.05144692993,),fitnesses,(48.0, 1.0, 655.307007)
	4068.0,4312.0,3300.0,0.132644,0.089027,98.0,196.0,54.0,28.0,fitness,(0.00954325989,),fitnesses,(19.0, 0.0, 945.674011)
	1877.0,987.0,3671.0,0.027501,0.025161,154.0,106.0,96.0,29.0,fitness,(0.14243078003,),fitnesses,(135.0, 1.0, 256.921997)
	1414.0,2474.0,4752.0,0.125963,0.226511,45.0,101.0,0.0,30.0,fitness,(0.01592886002,),fitnesses,(18.0, 0.0, 207.11399800000004)
	2455.0,1878.0,836.0,0.117817,0.167404,60.0,193.0,55.0,31.0,fitness,(0.02409169983,),fitnesses,(20.0, 1.0, 590.830017)
	1013.0,2974.0,2621.0,0.127197,0.096443,118.0,27.0,158.0,32.0,fitness,(0.33497023987,),fitnesses,(320.0, 2.0, 502.976013)
	2147.0,1685.0,1902.0,0.095394,0.177545,55.0,187.0,129.0,33.0,fitness,(0.02604544006,),fitnesses,(21.0, 1.0, 495.45599400000003)
	687.0,3120.0,2050.0,0.095547,0.187698,110.0,79.0,13.0,34.0,fitness,(0.02087458,),fitnesses,(22.0, 0.0, 112.54199999999999)
	1658.0,2306.0,1269.0,0.233696,0.181573,17.0,57.0,125.0,35.0,fitness,(0.01831488998,),fitnesses,(20.0, 0.0, 168.511002)
	2320.0,389.0,1889.0,0.244078,0.043418,59.0,126.0,118.0,36.0,fitness,(0.04687275024,),fitnesses,(44.0, 1.0, 712.724976)
	1082.0,169.0,529.0,0.131492,0.03489,102.0,111.0,93.0,37.0,fitness,(1.06743446014,),fitnesses,(1000.0, 7.000000000000001, 256.553986)
	2958.0,1098.0,3022.0,0.18912,0.14587,165.0,117.0,40.0,38.0,fitness,(0.028557659910000005,),fitnesses,(26.0, 1.0, 744.234009)
	2952.0,333.0,1302.0,0.230894,0.071354,37.0,138.0,33.0,39.0,fitness,(0.04090007019,),fitnesses,(37.0, 1.0, 609.992981)
	1241.0,3468.0,2087.0,0.025108,0.204821,54.0,192.0,176.0,40.0,fitness,(0.009112099910000001,),fitnesses,(12.0, 0.0, 288.790009)
	3736.0,3276.0,1715.0,0.166325,0.086106,72.0,59.0,94.0,41.0,fitness,(0.02877020996,),fitnesses,(22.0, 1.0, 322.979004)
	1413.0,1215.0,2806.0,0.098933,0.094476,100.0,198.0,65.0,42.0,fitness,(0.04220773987,),fitnesses,(37.0, 1.0, 479.226013)
	407.0,680.0,3658.0,0.229057,0.002803,155.0,197.0,56.0,43.0,fitness,(0.88359600098,),fitnesses,(773.0, 14.000000000000002, 2940.399902)
	3348.0,711.0,2847.0,0.203707,0.127738,174.0,12.0,81.0,44.0,fitness,(0.04963903,),fitnesses,(41.0, 1.0, 136.097)
	2078.0,993.0,206.0,0.038875,0.176848,133.0,99.0,17.0,45.0,fitness,(0.03192432999,),fitnesses,(24.0, 1.0, 207.567001)
	3618.0,4885.0,805.0,0.247452,0.221485,33.0,122.0,44.0,46.0,fitness,(0.005491879879999999,),fitnesses,(11.0, 0.0, 550.812012)
	4625.0,4686.0,2509.0,0.19923,0.159114,143.0,174.0,13.0,47.0,fitness,(0.001542550049999999,),fitnesses,(11.0, 0.0, 945.7449949999999)
	369.0,2561.0,4621.0,0.031627,0.095344,28.0,13.0,76.0,48.0,fitness,(0.04426094971,),fitnesses,(44.0, 1.0, 973.905029)
	3093.0,4353.0,269.0,0.192884,0.209582,156.0,16.0,53.0,49.0,fitness,(0.009738359989999999,),fitnesses,(11.0, 0.0, 126.164001)
	2242.0,3823.0,2911.0,0.035702,0.188242,117.0,16.0,37.0,50.0,fitness,(0.007782451170000003,),fitnesses,(51.0, 1.0, 5321.754883)
