Surrogate,generation,0,mu,100,lambda,25
	3720.0,833.0,3838.0,0.249924,0.231799,93.0,7.0,51.0,0.0,fitness,(-0.007617784077374528),fitnesses,(0.0,1.3416536114359756,2103.432019173428,)
	1030.0,1592.0,3439.0,0.126773,0.076061,58.0,80.0,58.0,1.0,fitness,(0.023274090344887907),fitnesses,(0.0,2.452985825510291,125.5767910215005,)
	2018.0,1461.0,4679.0,0.204686,0.05972,2.0,113.0,160.0,2.0,fitness,(-0.00015481391719234221),fitnesses,(0.0,0.724873833865362,740.3552255845962,)
	4605.0,1272.0,4765.0,0.184692,0.192022,78.0,164.0,198.0,3.0,fitness,(-0.00464352514296666),fitnesses,(0.0,0.8181383002971663,1282.4908145938323,)
	1221.0,2207.0,2353.0,0.122237,0.133115,161.0,58.0,5.0,4.0,fitness,(-0.03784684092732775),fitnesses,(0.0,1.1496973524970369,4934.381445229811,)
	3784.0,1665.0,3203.0,0.083541,0.003692,136.0,141.0,101.0,5.0,fitness,(0.0007738693420951837),fitnesses,(0.0,1.133843289996287,1056.4563557867684,)
	685.0,131.0,4853.0,0.003589,0.176931,134.0,150.0,128.0,6.0,fitness,(0.004302666406185273),fitnesses,(0.0,1.46812531123927,1037.8586706207427,)
	4177.0,3636.0,2622.0,0.011735,0.172294,19.0,56.0,163.0,7.0,fitness,(0.004741787493525575),fitnesses,(0.0,0.7526700144861308,278.49126513357334,)
	1725.0,4637.0,1715.0,0.086525,0.172119,76.0,10.0,79.0,8.0,fitness,(-0.004337266648019853),fitnesses,(0.0,0.11429157559220457,548.0182403941899,)
	1446.0,2918.0,4492.0,0.210936,0.164937,131.0,197.0,77.0,9.0,fitness,(-0.010744971526643209),fitnesses,(0.0,-0.2928847780156496,781.6123746486711,)
	3864.0,3119.0,3908.0,0.217768,0.057918,124.0,19.0,80.0,10.0,fitness,(0.019111870123986005),fitnesses,(0.0,2.426933853781273,515.7468413826725,)
	4140.0,794.0,3190.0,0.11392,0.05221,193.0,38.0,162.0,11.0,fitness,(1.0074706987491424),fitnesses,(1.0,1.0606377532979545,313.5678783837008,)
	1199.0,3299.0,4812.0,0.156474,0.031569,141.0,179.0,187.0,12.0,fitness,(-0.005100543765502345),fitnesses,(0.0,0.030624830105885462,540.6792066561198,)
	2936.0,1668.0,4837.0,0.156263,0.063154,103.0,144.0,188.0,13.0,fitness,(0.0011953115663284417),fitnesses,(0.0,0.9554668961316682,835.9357394988241,)
	4243.0,4853.0,3909.0,0.089845,0.079175,38.0,180.0,183.0,14.0,fitness,(-0.010784870851254002),fitnesses,(0.0,-0.29451476637952234,783.9723187458777,)
	3931.0,1782.0,188.0,0.175119,0.249082,140.0,192.0,42.0,15.0,fitness,(0.0016564657602209324),fitnesses,(0.0,0.9988899306898662,833.2433546677729,)
	2897.0,3166.0,2032.0,0.125657,0.066298,127.0,156.0,32.0,16.0,fitness,(-0.005932010164729244),fitnesses,(0.0,-0.07025238817111698,522.9486283018074,)
	259.0,3286.0,4179.0,0.17502,0.065614,90.0,18.0,162.0,17.0,fitness,(0.03260187838653752),fitnesses,(0.0,3.855550911052151,595.3630723983991,)
	1850.0,4228.0,3893.0,0.010022,0.050671,48.0,126.0,55.0,18.0,fitness,(-0.005331413998198229),fitnesses,(0.0,-0.29090609656593014,242.2353032538927,)
	1699.0,4109.0,1060.0,0.067919,0.028511,145.0,45.0,28.0,19.0,fitness,(-0.014386623734514575),fitnesses,(0.0,0.47123668387958745,1909.899057331045,)
	1946.0,1477.0,4720.0,0.128317,0.002771,192.0,161.0,18.0,20.0,fitness,(0.972056014280897),fitnesses,(1.0,0.6559626953308341,3450.3612672411296,)
	311.0,3551.0,3045.0,0.020382,0.079099,83.0,160.0,192.0,21.0,fitness,(0.0029955661241828553),fitnesses,(0.0,0.5234329812562338,223.87636883794835,)
