Surrogate,generation,0,mu,100,lambda,25
	1358.0,4244.0,277.0,0.056826,0.201615,191.0,180.0,19.0,0.0,fitness,(-0.01327258402929231),fitnesses,(-8.479242436469535,-0.3111150796247218,168.21907965755568,)
	912.0,3585.0,1008.0,0.209835,0.067167,30.0,47.0,9.0,1.0,fitness,(0.20785117810865722),fitnesses,(192.48109220488826,2.3134566783638744,776.4480879869787,)
	360.0,2560.0,859.0,0.2153,0.152167,85.0,119.0,99.0,2.0,fitness,(0.03455883769994589),fitnesses,(32.93801951814994,0.3198861755793697,157.80435739977557,)
	3178.0,2806.0,3309.0,0.204396,0.207491,107.0,23.0,150.0,3.0,fitness,(0.035807803250367976),fitnesses,(27.202434416738484,1.222394437263414,361.8575539004647,)
	1741.0,246.0,2360.0,0.244007,0.224377,126.0,125.0,128.0,4.0,fitness,(0.025541754103580123),fitnesses,(22.86725209411274,0.9976971180297767,730.2469170830382,)
	1947.0,3518.0,2522.0,0.078481,0.139155,80.0,186.0,128.0,5.0,fitness,(0.000313624519296975),fitnesses,(5.278639556407473,-0.13813519352998388,358.3663101810659,)
	4504.0,754.0,861.0,0.203366,0.119009,85.0,171.0,10.0,6.0,fitness,(0.03297870610410249),fitnesses,(38.3590499597143,0.8237033338419963,1361.7377194031772,)
	1101.0,2898.0,4806.0,0.146212,0.145055,38.0,67.0,86.0,7.0,fitness,(0.07532643063618265),fitnesses,(75.6136072890435,0.3630721637068486,391.7898289929328,)
	1967.0,4672.0,893.0,0.172197,0.020085,166.0,20.0,28.0,8.0,fitness,(0.24711774814718573),fitnesses,(242.38885715963525,3.7124045120132205,3239.515413258171,)
	2567.0,3720.0,3707.0,0.169655,0.240952,111.0,90.0,38.0,9.0,fitness,(0.00985191773403529),fitnesses,(12.597325445720058,-0.19950039768383102,75.04037348464566,)
	4754.0,680.0,4579.0,0.196609,0.216797,25.0,164.0,199.0,10.0,fitness,(0.008364777401392487),fitnesses,(12.221341377360675,0.8692942429829218,1254.9506405797406,)
	1234.0,1831.0,2032.0,0.118782,0.110813,54.0,123.0,118.0,11.0,fitness,(0.028294116108203548),fitnesses,(31.42044203792964,-0.11674641358878611,195.88617938382293,)
	255.0,1450.0,1123.0,0.244962,0.159438,133.0,1.0,50.0,12.0,fitness,(0.09754742693569729),fitnesses,(97.86570357743707,2.7021046488579206,2733.9323130319003,)
	4822.0,1018.0,4521.0,0.087475,0.171546,28.0,198.0,75.0,13.0,fitness,(0.020830051916439322),fitnesses,(23.473626057787115,1.0591252624569818,1323.4826765917612,)
	3154.0,2786.0,3799.0,0.184813,0.237662,87.0,127.0,111.0,14.0,fitness,(0.01261161105630326),fitnesses,(10.619726876422783,0.8008779156145587,601.6894976265106,)
	4168.0,3662.0,4286.0,0.064459,0.185435,127.0,41.0,122.0,15.0,fitness,(0.01995721964682251),fitnesses,(15.971939660820903,0.8219644550804447,423.4364564802841,)
	2592.0,791.0,2289.0,0.016854,0.16755,114.0,198.0,179.0,16.0,fitness,(0.027389857872592446),fitnesses,(19.530305896687008,1.2617357000936513,475.78050250310787,)
