Surrogate,generation,0,mu,100,lambda,25
	1975.0,3456.0,4796.0,0.172967,0.172325,45.0,124.0,43.0,0.0,fitness,(-0.005458310619129579),fitnesses,(-5.594086468394517,-0.14771524219513282,-161.29282712162652,)
	3883.0,1584.0,2319.0,0.179979,0.040908,157.0,196.0,172.0,1.0,fitness,(0.03788651178696294),fitnesses,(40.761870173237355,1.0822313460434883,1369.7671846709302,)
	1489.0,3157.0,1046.0,0.02625,0.090508,132.0,98.0,135.0,2.0,fitness,(0.02180730835286652),fitnesses,(25.485627407941926,-0.11399886192224903,253.8330435852914,)
	3818.0,3163.0,4288.0,0.188665,0.162678,121.0,57.0,199.0,3.0,fitness,(0.01756620900746774),fitnesses,(11.732949849307568,1.0015751432041131,418.24922738809585,)
	2511.0,1196.0,1456.0,0.118523,0.089915,130.0,126.0,60.0,4.0,fitness,(0.04100109164438144),fitnesses,(36.19447976192391,0.9065300646964854,425.8688764507325,)
	4221.0,911.0,2626.0,0.081411,0.240583,167.0,31.0,32.0,5.0,fitness,(-0.01159842617967221),fitnesses,(14.142024015138256,1.695431835013727,4269.476854494773,)
	4212.0,4375.0,254.0,0.168952,0.148308,103.0,56.0,60.0,6.0,fitness,(0.0015419187912042386),fitnesses,(3.080801070471116,0.028453877140343378,182.3421050670311,)
	978.0,190.0,848.0,0.14054,0.087981,53.0,49.0,69.0,7.0,fitness,(0.09101705826038707),fitnesses,(74.68130355950653,1.8211958915044315,187.62042141637707,)
	2659.0,3842.0,4302.0,0.042514,0.05743,155.0,162.0,106.0,8.0,fitness,(-0.003985521560962468),fitnesses,(3.226171587841078,-0.2636361524216226,457.5331624587319,)
	3701.0,4351.0,102.0,0.013502,0.001991,134.0,39.0,175.0,9.0,fitness,(0.04342901215168458),fitnesses,(43.21992795329486,0.3306269734501471,309.7185536111749,)
	948.0,2719.0,4377.0,0.150524,0.202452,28.0,147.0,129.0,10.0,fitness,(0.011451089687799402),fitnesses,(16.27798274575013,-0.116135426444767,366.55387935030603,)
	230.0,4618.0,2208.0,0.034012,0.208405,170.0,48.0,93.0,11.0,fitness,(0.013272607704365611),fitnesses,(20.88006432947788,0.07469515868436434,835.440821195591,)
	4236.0,4749.0,4140.0,0.153685,0.071661,109.0,25.0,186.0,12.0,fitness,(0.045954473031602674),fitnesses,(46.98897262820487,0.3766263508180149,480.0763104782352,)
	3044.0,212.0,747.0,0.041437,0.164601,173.0,133.0,67.0,13.0,fitness,(0.034152749085774994),fitnesses,(25.20656302074605,1.298258889238964,403.6402827360693,)
	3718.0,3707.0,285.0,0.202458,0.102614,198.0,165.0,145.0,14.0,fitness,(0.008600865536541335),fitnesses,(11.276835078125602,0.39092490222147325,658.5218563799001,)
	2295.0,2721.0,4797.0,0.036839,0.178955,108.0,153.0,57.0,15.0,fitness,(0.004812403766280069),fitnesses,(8.504750559948315,-0.02321541610010487,346.01926326671963,)
	3497.0,938.0,4678.0,0.069136,0.191097,39.0,39.0,99.0,16.0,fitness,(0.04060942104136782),fitnesses,(35.362280983823986,1.089235253721091,564.5212479667069,)
	392.0,4243.0,830.0,0.068075,0.093711,12.0,32.0,127.0,17.0,fitness,(0.04021610816776908),fitnesses,(38.39935046764575,0.4722495305890784,290.5737605767464,)
	1946.0,1314.0,3120.0,0.040529,0.221737,174.0,81.0,47.0,18.0,fitness,(0.01733426781826698),fitnesses,(28.17952578340794,1.2507031294115418,2335.228925925638,)
	2787.0,4272.0,4460.0,0.007078,0.167278,40.0,106.0,47.0,19.0,fitness,(0.006237937979040711),fitnesses,(6.6729851713184845,-0.0791742164200437,-35.66949719226635,)
	3140.0,1506.0,1862.0,0.118061,0.029823,7.0,18.0,78.0,20.0,fitness,(0.044236630350611296),fitnesses,(23.525488848068225,2.049892531804646,-21.22161844966144,)
	80.0,3442.0,469.0,0.117361,0.079075,131.0,115.0,54.0,21.0,fitness,(0.08521710222389364),fitnesses,(72.68774572463806,1.5602432922709928,307.30764234543597,)
	4276.0,426.0,311.0,0.063148,0.244954,8.0,16.0,17.0,22.0,fitness,(0.016562312697761723),fitnesses,(9.962653881217724,1.2810545497612142,621.0886681068142,)
	4094.0,448.0,4522.0,0.194988,0.18237,131.0,79.0,136.0,23.0,fitness,(0.026998640589068132),fitnesses,(20.54269061270902,1.1545615103866471,508.96651275073594,)
	140.0,2270.0,4625.0,0.118261,0.035138,123.0,177.0,93.0,24.0,fitness,(0.17704366910609023),fitnesses,(176.24700557222315,1.5008608240919232,1421.1944707052137,)
	383.0,3314.0,678.0,0.072247,0.149761,88.0,19.0,97.0,25.0,fitness,(0.03758626435285159),fitnesses,(31.017539293618928,0.8862319301783073,229.35942425504115,)
