Surrogate,generation,0,mu,100,lambda,25
	584.0,4829.0,795.0,0.150052,0.148251,156.0,102.0,88.0,0.0,fitness,(-0.0034689336841071906),fitnesses,(-1.5254770420710473,0.14452293471114847,338.86859891476274,)
	1126.0,2866.0,988.0,0.093208,0.084378,73.0,198.0,19.0,1.0,fitness,(0.03826948555002421),fitnesses,(40.183809146146594,0.15460047906726204,346.03283867950006,)
	443.0,4876.0,1402.0,0.127228,0.16749,112.0,42.0,75.0,2.0,fitness,(0.012124898764425037),fitnesses,(13.240300973647704,0.12740388433446476,238.94410525673135,)
	243.0,4518.0,283.0,0.191015,0.199241,197.0,189.0,2.0,3.0,fitness,(9.059614794399047e-05),fitnesses,(5.503136771925712,-0.07197828623901874,469.2757761591534,)
	840.0,1649.0,4593.0,0.050144,0.203952,175.0,127.0,4.0,4.0,fitness,(-0.003104829526090244),fitnesses,(42.86027569129069,1.0517068116287762,5648.217333366869,)
	4792.0,66.0,3116.0,0.104537,0.225425,142.0,69.0,132.0,5.0,fitness,(0.0315404908034694),fitnesses,(25.857534014110577,1.1606435664077293,592.3478874718476,)
	4049.0,4500.0,4427.0,0.113202,0.008247,34.0,9.0,84.0,6.0,fitness,(0.262063744656716),fitnesses,(256.73009005102836,1.4294704793650748,896.1050187963114,)
	3324.0,332.0,4006.0,0.090377,0.246841,91.0,89.0,61.0,7.0,fitness,(0.022433166770962885),fitnesses,(17.867464663493614,0.9433763449038929,486.8061341569658,)
	242.0,1168.0,1038.0,0.144502,0.186198,33.0,186.0,24.0,8.0,fitness,(0.06444593915249099),fitnesses,(60.63326814015578,0.6879415010192199,306.6743997856993,)
	2144.0,517.0,3467.0,0.046983,0.244075,187.0,114.0,83.0,9.0,fitness,(0.018301261390828532),fitnesses,(20.74436615284829,1.018548781105463,1262.8592573074386,)
	4341.0,62.0,3267.0,0.08675,0.086397,185.0,195.0,0.0,10.0,fitness,(0.005116964379249869),fitnesses,(37.182032322983204,0.8482539944411515,4054.7607888144844,)
	1109.0,4631.0,4375.0,0.140422,0.006506,40.0,16.0,100.0,11.0,fitness,(0.4700209398053812),fitnesses,(433.16134282543493,4.14899078538709,463.0310873924667,)
	3367.0,887.0,3615.0,0.167013,0.137109,8.0,154.0,99.0,12.0,fitness,(0.02620109338087137),fitnesses,(25.203942527758958,0.9270690364132358,827.3539511019943,)
	3803.0,808.0,2298.0,0.216335,0.170825,23.0,131.0,98.0,13.0,fitness,(0.01666738311528201),fitnesses,(15.92414510765355,0.8185266433432105,744.2028425803642,)
	3091.0,3386.0,3895.0,0.067103,0.241038,162.0,113.0,172.0,14.0,fitness,(-0.003937818652649945),fitnesses,(0.7635304641852638,0.0024558568359982214,472.5907685195191,)
	3598.0,2876.0,3192.0,0.190312,0.182394,154.0,47.0,99.0,15.0,fitness,(0.0326723153085905),fitnesses,(18.684168306848694,1.3548428396670076,-43.97186050717261,)
	4330.0,2405.0,4379.0,0.017142,0.027515,80.0,102.0,12.0,16.0,fitness,(0.06499864478594113),fitnesses,(69.75546510578361,0.6289575885290617,1104.6396205133105,)
	4527.0,1891.0,2164.0,0.212059,0.244206,141.0,34.0,107.0,17.0,fitness,(0.026742214334751893),fitnesses,(15.729215866903317,1.3670457312065902,265.74588442173285,)
	970.0,2269.0,4435.0,0.164558,0.100724,121.0,150.0,103.0,18.0,fitness,(0.036656578440697106),fitnesses,(43.301647993551285,0.1435341550249587,808.0411103103772,)
	4150.0,4399.0,3391.0,0.011501,0.23598,22.0,116.0,155.0,19.0,fitness,(0.006133817314060487),fitnesses,(11.465568805955158,0.07681714101950234,609.9922902089693,)
	1587.0,3560.0,4672.0,0.015233,0.241055,117.0,60.0,89.0,20.0,fitness,(-0.002146140648620249),fitnesses,(7.157316535868623,0.21667278813272184,1147.018506581609,)
	2508.0,3549.0,2109.0,0.079615,0.085778,168.0,154.0,140.0,21.0,fitness,(0.005640055605844831),fitnesses,(10.751959793848885,-0.11364461072453093,397.54580807587445,)
	3609.0,1521.0,532.0,0.149691,0.21215,141.0,13.0,160.0,22.0,fitness,(0.03344073980439718),fitnesses,(20.46368694460673,1.631563795234742,333.8585092556971,)
	1137.0,2776.0,295.0,0.246721,0.148728,112.0,185.0,31.0,23.0,fitness,(0.004556003753624249),fitnesses,(10.469514470749624,-0.22569645781072684,365.65461390181065,)
	331.0,2468.0,4677.0,0.20549,0.029293,29.0,72.0,55.0,24.0,fitness,(0.30285140954929546),fitnesses,(293.43521676141387,1.6768827814143297,735.2635026261737,)
	4401.0,868.0,3157.0,0.003977,0.216998,69.0,42.0,87.0,25.0,fitness,(0.03621658249659684),fitnesses,(27.47772035370085,1.19032829334652,316.44207905692156,)
	1457.0,4560.0,1285.0,0.121656,0.13634,21.0,177.0,140.0,26.0,fitness,(-0.006460735051767023),fitnesses,(-1.1619770600646853,-0.11912684606448058,410.7489531057532,)
	1027.0,3710.0,1903.0,0.015031,0.076285,89.0,164.0,145.0,27.0,fitness,(0.03443623530807229),fitnesses,(40.89612563919308,-0.33164026413457487,314.3487689775038,)
	3570.0,1040.0,3867.0,0.042334,0.062169,165.0,92.0,192.0,28.0,fitness,(0.05044926908563128),fitnesses,(42.02095756791254,1.3827327755880827,539.9016238162088,)
	1849.0,4692.0,3097.0,0.181075,0.199572,144.0,194.0,93.0,29.0,fitness,(0.003398394536158798),fitnesses,(11.313481538137813,-0.12098498724465848,670.5237129532429,)
	611.0,4268.0,2118.0,0.102541,0.185458,47.0,138.0,102.0,30.0,fitness,(0.006326920301733461),fitnesses,(11.234832376708779,-0.16856342503484584,322.2277824626858,)
	2776.0,4074.0,3162.0,0.16025,0.048598,169.0,45.0,179.0,31.0,fitness,(0.08893064028782519),fitnesses,(86.8126988644038,0.5632993270733113,351.5051847311745,)
	2231.0,3552.0,1371.0,0.108371,0.008333,99.0,3.0,183.0,32.0,fitness,(0.12356564040683846),fitnesses,(109.21539486898,1.5946211541231543,159.59660033730842,)
	2584.0,425.0,2903.0,0.219835,0.130345,77.0,174.0,124.0,33.0,fitness,(0.0208803584365459),fitnesses,(20.459601202473806,1.135852095599614,1093.776372192405,)
	4497.0,2766.0,146.0,0.094925,0.124684,4.0,34.0,104.0,34.0,fitness,(0.020542003787506154),fitnesses,(10.753392399773487,1.3049694451789924,326.10830640572556,)
	163.0,4477.0,2019.0,0.104052,0.236639,97.0,137.0,129.0,35.0,fitness,(0.004395525637805876),fitnesses,(8.39886268061007,0.013029402357562185,413.36310663798173,)
	492.0,4706.0,746.0,0.069189,0.061088,78.0,173.0,122.0,36.0,fitness,(0.030267437619332496),fitnesses,(33.83682068686808,-0.030038291922626456,326.90001483093175,)
