Surrogate,generation,0,mu,100,lambda,25
	1145.0,1390.0,466.0,0.137607,0.088246,153.0,55.0,91.0,0.0,fitness,(0.11874991011289712),fitnesses,(111.38854863062438,1.704570332871887,968.4341846446151,)
	910.0,1135.0,4713.0,0.218566,0.170066,65.0,122.0,46.0,1.0,fitness,(0.024855550537011363),fitnesses,(28.949398028696816,0.5482376086511668,957.6223578197125,)
	959.0,4520.0,2622.0,0.069158,0.050996,114.0,93.0,35.0,2.0,fitness,(0.061154042363802535),fitnesses,(70.08351749901605,0.5437882656878691,1436.735779209221,)
	1474.0,4965.0,2298.0,0.214397,0.121995,195.0,51.0,14.0,3.0,fitness,(0.01851843456381009),fitnesses,(31.294056064088235,0.15625713665892038,1433.8192866867346,)
	3277.0,1980.0,3553.0,0.101442,0.159754,102.0,146.0,43.0,4.0,fitness,(0.01834536366786962),fitnesses,(18.861706519207885,0.7077724985600878,759.4067836939146,)
	3963.0,217.0,4077.0,0.224325,0.191488,143.0,113.0,185.0,5.0,fitness,(0.04080651205383864),fitnesses,(37.37557021867161,0.9043929117848655,561.2987282681629,)
	1954.0,514.0,4071.0,0.106763,0.183937,10.0,53.0,137.0,6.0,fitness,(0.05754459751767872),fitnesses,(53.005815701334384,0.9496664500598745,495.7882684254414,)
	3834.0,2081.0,3476.0,0.229327,0.062058,181.0,55.0,120.0,7.0,fitness,(0.03901421331375979),fitnesses,(40.537532271862574,0.8924763102969148,1044.8082061071937,)
	2311.0,2310.0,3330.0,0.175105,0.010923,116.0,65.0,69.0,8.0,fitness,(0.3285723969742254),fitnesses,(312.7793147761745,2.907768394235198,1328.4601744301092,)
	4097.0,323.0,4620.0,0.158211,0.234253,15.0,157.0,153.0,9.0,fitness,(0.026235476146456795),fitnesses,(19.548356610899795,1.0485944576127122,379.88250405701234,)
	4764.0,3996.0,1457.0,0.177409,0.027937,73.0,190.0,112.0,10.0,fitness,(0.03855447244141061),fitnesses,(33.89012503379445,0.8372392262419899,370.8044854803734,)
	4449.0,3281.0,1765.0,0.006502,0.090209,61.0,18.0,127.0,11.0,fitness,(0.03503912177071266),fitnesses,(29.18227984863438,1.1370535419739909,551.3693497661626,)
	1824.0,679.0,129.0,0.08026,0.100936,5.0,13.0,97.0,12.0,fitness,(0.023183407159104715),fitnesses,(19.659226638326462,0.853290812541214,500.87276046338843,)
	647.0,1308.0,2194.0,0.097899,0.007007,140.0,64.0,126.0,13.0,fitness,(0.4798022787915943),fitnesses,(467.29074658376487,2.5965071544185236,1345.3539336355868,)
	1906.0,1384.0,3114.0,0.174957,0.172436,178.0,88.0,169.0,14.0,fitness,(0.02964643372544094),fitnesses,(29.335410228650538,0.6471481677889566,616.0458181099167,)
	1495.0,4294.0,4184.0,0.07088,0.194311,196.0,62.0,164.0,15.0,fitness,(0.010876909997431888),fitnesses,(18.70065387929125,0.19955203720031187,981.926425386248,)
	2311.0,935.0,4638.0,0.162685,0.012969,183.0,13.0,48.0,16.0,fitness,(0.529174265843651),fitnesses,(524.1878546538475,2.859102645764571,2360.4615267842114,)
	2464.0,643.0,4968.0,0.167661,0.140579,22.0,23.0,37.0,17.0,fitness,(0.08175533259518845),fitnesses,(74.7934561055401,1.9456304748778355,1249.442825913,)
	1231.0,3824.0,3456.0,0.026763,0.005754,78.0,184.0,4.0,18.0,fitness,(0.23757491383207138),fitnesses,(251.60839336254065,0.09359676137304679,1496.944714419975,)
	4192.0,2578.0,2420.0,0.209148,0.235474,42.0,136.0,184.0,19.0,fitness,(0.014539749430922152),fitnesses,(6.364678773287495,1.0063051687994027,188.79810303593695,)
	4907.0,4176.0,4829.0,0.054993,0.105636,11.0,59.0,159.0,20.0,fitness,(0.018120623440572713),fitnesses,(14.990846712298199,0.675225387313288,362.2477144858367,)
	4155.0,1872.0,3389.0,0.22323,0.161551,88.0,153.0,174.0,21.0,fitness,(0.032092797292563306),fitnesses,(25.720824759469377,0.9647087817286938,327.51152841930013,)
	2905.0,3345.0,4008.0,0.101034,0.001988,69.0,170.0,105.0,22.0,fitness,(0.09312537286773372),fitnesses,(95.42980299141365,0.504064841437335,734.5078538053284,)
	1606.0,630.0,348.0,0.024724,0.159514,51.0,16.0,122.0,23.0,fitness,(0.03314737223091305),fitnesses,(26.71514724397017,1.2478238792140797,604.601380519792,)
	128.0,10.0,4233.0,0.184534,0.197208,84.0,194.0,21.0,24.0,fitness,(0.04687286504619311),fitnesses,(50.59851171448912,0.6760765208005944,1048.6411876301956,)
	3120.0,3879.0,464.0,0.030382,0.194112,110.0,198.0,190.0,25.0,fitness,(0.021934603432030627),fitnesses,(19.538718372444713,0.332965307283825,93.3768013252338,)
	1905.0,3322.0,1154.0,0.039774,0.223359,99.0,195.0,134.0,26.0,fitness,(0.020010781948895006),fitnesses,(20.66388052457551,0.037345688802519754,102.65554637056994,)
	2374.0,4703.0,3572.0,0.056073,0.243273,65.0,87.0,169.0,27.0,fitness,(-9.799120416024813e-06),fitnesses,(2.864129026647719,-0.07264821236433171,214.74460234204264,)
	2909.0,625.0,2970.0,0.040537,0.158195,5.0,18.0,51.0,28.0,fitness,(0.040529356267848406),fitnesses,(32.99135096196444,1.7006586032096007,946.8580726212043,)
	1076.0,2623.0,1521.0,0.097846,0.110258,25.0,8.0,62.0,29.0,fitness,(0.030919169142056252),fitnesses,(24.50184806347821,1.4952628492461708,853.530741388367,)
	252.0,4089.0,1995.0,0.084672,0.01461,73.0,93.0,20.0,30.0,fitness,(0.3574271207013324),fitnesses,(355.1337176457093,1.6836636518033483,1454.3233462410346,)
	3790.0,3364.0,3371.0,0.168819,0.046533,186.0,190.0,24.0,31.0,fitness,(-0.00573959252377635),fitnesses,(1.3484007930371413,0.49546011243377297,1204.259444115122,)
	2780.0,4700.0,3043.0,0.117235,0.052352,80.0,125.0,196.0,32.0,fitness,(0.024051460005275388),fitnesses,(27.659771627695953,-0.08819984067447645,272.63132156758,)
	151.0,1421.0,312.0,0.030593,0.198984,127.0,151.0,26.0,33.0,fitness,(0.050934320575432686),fitnesses,(55.73467554433123,0.3862468500862916,866.282346976146,)
	1515.0,4126.0,3571.0,0.224564,0.23417,46.0,132.0,84.0,34.0,fitness,(0.0020735054406950198),fitnesses,(5.4710342264322005,-0.12031850840529666,219.43437016842142,)
	3430.0,4787.0,3233.0,0.221194,0.039612,31.0,36.0,37.0,35.0,fitness,(0.0635578548481399),fitnesses,(59.324567728908335,1.207284385123727,783.9556732005707,)
	3209.0,2461.0,1691.0,0.138369,0.027223,22.0,179.0,14.0,36.0,fitness,(0.05320218600833334),fitnesses,(51.87334402739246,0.6915909898811256,558.7067917870382,)
	324.0,3859.0,4665.0,0.102321,0.113974,39.0,107.0,81.0,37.0,fitness,(0.07742824796996027),fitnesses,(83.13440019105342,0.3591310254516634,929.7462475609784,)
	3866.0,1937.0,1339.0,0.025833,0.140172,18.0,139.0,120.0,38.0,fitness,(0.015001598732225676),fitnesses,(8.880822717138162,0.7598438702301822,147.76626872143086,)
	1167.0,1565.0,855.0,0.220454,0.052741,159.0,149.0,38.0,39.0,fitness,(0.060441595772781805),fitnesses,(62.019108450735864,0.8266172157082027,984.3684835036078,)
	2126.0,2155.0,3554.0,0.117203,0.24589,141.0,42.0,193.0,40.0,fitness,(0.041309049824867626),fitnesses,(36.005128549893,1.0012095649471717,470.81743744970936,)
	4261.0,4364.0,3498.0,0.243344,0.242625,196.0,68.0,110.0,41.0,fitness,(-0.002142609471053101),fitnesses,(1.5009651560075938,0.21555559583052325,579.9130585365926,)
	3963.0,3383.0,443.0,0.124665,0.063463,195.0,145.0,38.0,42.0,fitness,(0.0007680956381256286),fitnesses,(5.089841855967066,0.4141401963918684,846.3148181760121,)
