Surrogate,generation,0,mu,100,lambda,25
	4148.0,1916.0,4000.0,0.041391,0.137216,149.0,150.0,16.0,0.0,fitness,(-0.004496572224377526),fitnesses,(-0.06181691972788942,0.8855689861035161,1329.0445165684798,)
	4189.0,4611.0,2653.0,0.020081,0.14328,161.0,119.0,3.0,1.0,fitness,(-0.004727369624332451),fitnesses,(5.651570436028514,0.11056915499109553,1148.463161027192,)
	1189.0,3771.0,3629.0,0.167811,0.002869,41.0,113.0,169.0,2.0,fitness,(0.15137448215723437),fitnesses,(149.54106064315502,0.680385663361249,497.04351195331645,)
	4838.0,4073.0,2994.0,0.224325,0.233512,102.0,158.0,142.0,3.0,fitness,(0.018499101999735708),fitnesses,(12.794287632541163,0.8430577569057419,272.5763201862871,)
	3881.0,1648.0,390.0,0.134342,0.094827,47.0,162.0,13.0,4.0,fitness,(0.043473854785869306),fitnesses,(39.4708348831896,0.8118418774269939,411.5398871590234,)
	4007.0,3314.0,1934.0,0.191253,0.014791,156.0,83.0,45.0,5.0,fitness,(0.12784726467469915),fitnesses,(130.6815786962204,0.801802811579021,1085.2342137311487,)
	2652.0,2249.0,2184.0,0.022382,0.052937,121.0,166.0,93.0,6.0,fitness,(0.0204140306576788),fitnesses,(22.156646260949906,0.6061493604849393,780.4109208120499,)
	3395.0,1766.0,1780.0,0.155205,0.132455,67.0,100.0,138.0,7.0,fitness,(0.02175661795270588),fitnesses,(17.063451892549185,0.630680208568371,161.36360255270145,)
	1839.0,1658.0,2149.0,0.156269,0.049545,143.0,70.0,85.0,8.0,fitness,(0.16807654749768713),fitnesses,(158.44652060204197,2.108312322860996,1145.3096332964803,)
	2250.0,3085.0,4.0,0.097512,0.163062,117.0,91.0,195.0,9.0,fitness,(0.017271970581336265),fitnesses,(15.160239526230583,0.2917254731524715,80.55236764190347,)
	2796.0,296.0,1821.0,0.06237,0.224476,93.0,93.0,72.0,10.0,fitness,(0.02747285022148987),fitnesses,(25.290829594602187,0.844420041670744,626.2179789819754,)
	4513.0,2271.0,3696.0,0.182221,0.081559,8.0,143.0,106.0,11.0,fitness,(0.028205061304041604),fitnesses,(23.073277215970872,0.8771708198825159,363.9924110754426,)
	4834.0,1295.0,108.0,0.112612,0.07782,164.0,116.0,188.0,12.0,fitness,(0.040537863582255605),fitnesses,(32.92520299083393,1.0911692173154381,329.9031581732705,)
	2055.0,2557.0,3421.0,0.218511,0.175169,104.0,121.0,77.0,13.0,fitness,(0.011875520114963557),fitnesses,(13.932671306099799,0.28858004655174835,494.29516566537256,)
	4948.0,2082.0,570.0,0.143839,0.063056,190.0,160.0,186.0,14.0,fitness,(0.03523449708103622),fitnesses,(28.14601558172171,1.1010359474335398,392.187797502089,)
	2778.0,977.0,871.0,0.191439,0.00388,96.0,10.0,121.0,15.0,fitness,(0.14782790778167526),fitnesses,(130.64391295023276,2.484489935865209,766.0904527209577,)
	464.0,589.0,2840.0,0.073989,0.185165,191.0,90.0,90.0,16.0,fitness,(0.09984489804750785),fitnesses,(102.3624561511177,1.161455045749133,1413.2108561101202,)
