Surrogate,generation,0,mu,100,lambda,25
	1851.0,3299.0,3406.0,0.077,0.203628,121.0,176.0,24.0,0.0,fitness,(-0.009366648460868633),fitnesses,(-2.6118724583130994,0.1108795088583741,786.3571091139274,)
	1327.0,2184.0,3207.0,0.214447,0.219539,140.0,143.0,193.0,1.0,fitness,(0.024833349824966783),fitnesses,(23.994738044171882,0.3527671331847741,268.905955105284,)
	1876.0,639.0,3406.0,0.095593,0.168982,154.0,142.0,53.0,2.0,fitness,(0.025607339847301604),fitnesses,(29.84661698113528,0.7602741095085849,1184.2018228919526,)
	4026.0,4131.0,3717.0,0.12603,0.050206,111.0,141.0,157.0,3.0,fitness,(0.032790647955081284),fitnesses,(32.381890275152266,0.46695421916296537,426.07845117006354,)
	3685.0,498.0,3214.0,0.033223,0.214587,111.0,47.0,110.0,4.0,fitness,(0.04372913136739995),fitnesses,(40.9989013902141,1.1290801057759938,856.0571080574088,)
	2653.0,3852.0,3495.0,0.027405,0.082185,76.0,117.0,84.0,5.0,fitness,(0.007763444038962047),fitnesses,(16.42704917609105,-0.056844471780017974,809.5160419328826,)
	2887.0,818.0,1084.0,0.046853,0.057966,56.0,56.0,37.0,6.0,fitness,(0.10719207568969724),fitnesses,(98.48267394195697,1.914480885981859,1043.5407112078328,)
	3526.0,3860.0,3154.0,0.196949,0.008625,133.0,97.0,51.0,7.0,fitness,(0.12187473753374106),fitnesses,(127.23398886930472,0.5773692254539851,1113.2943590103525,)
	3212.0,3401.0,3490.0,0.180393,0.074982,94.0,3.0,64.0,8.0,fitness,(0.08997068483744251),fitnesses,(73.2564015583502,2.783081118224409,1111.6527903151784,)
	4747.0,699.0,3665.0,0.182646,0.058537,154.0,26.0,161.0,9.0,fitness,(0.040573617846583546),fitnesses,(37.21550247273514,1.3172592723044363,981.4477349195954,)
	4477.0,510.0,3543.0,0.240629,0.083082,124.0,76.0,73.0,10.0,fitness,(0.03760872171742053),fitnesses,(36.30813074893232,1.1457915112404886,1015.7324143916671,)
	4664.0,3662.0,2797.0,0.070309,0.143779,196.0,21.0,113.0,11.0,fitness,(0.02311213370663867),fitnesses,(23.205125772971392,1.0105629539417478,1019.8621605750197,)
	3585.0,1245.0,3499.0,0.101368,0.145173,166.0,61.0,197.0,12.0,fitness,(0.03551769138395875),fitnesses,(33.07753534938968,0.8780895220234652,634.0739185665577,)
	821.0,1512.0,3393.0,0.126362,0.067975,174.0,86.0,10.0,13.0,fitness,(0.20590152583237029),fitnesses,(211.7772621736615,1.4741154389864657,2061.6890731155895,)
	4206.0,4192.0,2186.0,0.137478,0.083539,199.0,81.0,162.0,14.0,fitness,(0.04454298267601395),fitnesses,(44.726903876468555,0.5152303831855162,533.6225032309763,)
	3991.0,1414.0,4148.0,0.136221,0.168746,97.0,94.0,85.0,15.0,fitness,(0.02090635622060592),fitnesses,(20.276316170125536,0.7686122981241928,705.6082930761546,)
	634.0,85.0,2906.0,0.023023,0.208595,29.0,162.0,30.0,16.0,fitness,(0.07079661601284928),fitnesses,(68.79759879280051,1.022734362093642,822.8326400887665,)
