Surrogate,generation,0,mu,100,lambda,25
	1315.0,3148.0,624.0,0.010518,0.104113,63.0,13.0,125.0,0.0,fitness,(0.004639590921352405),fitnesses,(7.37518148894269,0.4430832723832409,716.6423291422694,)
	1361.0,3779.0,2865.0,0.092185,0.005353,190.0,117.0,165.0,1.0,fitness,(0.2963595668145483),fitnesses,(295.3738705276112,1.1868180137370863,1088.248385043377,)
	1234.0,28.0,3475.0,0.00182,0.235917,193.0,173.0,72.0,2.0,fitness,(0.04752941260527941),fitnesses,(50.601376179673984,1.0093002929225117,1316.4966503619692,)
	4598.0,1711.0,3318.0,0.048784,0.180355,75.0,180.0,113.0,3.0,fitness,(0.020173733818708982),fitnesses,(14.111298270296182,0.956602279055038,350.3587242137583,)
	333.0,2715.0,1543.0,0.027106,0.028029,101.0,92.0,95.0,4.0,fitness,(0.27298956738894015),fitnesses,(273.7783501839034,1.133444791940047,1212.3230714363735,)
	3157.0,3435.0,631.0,0.004775,0.093547,11.0,23.0,179.0,5.0,fitness,(0.02120046552846828),fitnesses,(17.593464479292038,0.5729023802145111,212.20227529688688,)
	3245.0,3125.0,1012.0,0.197565,0.087875,197.0,52.0,72.0,6.0,fitness,(0.03553133808629062),fitnesses,(40.33678811927132,0.45799868896233203,938.5436922604016,)
	1266.0,1984.0,2914.0,0.038977,0.118376,126.0,6.0,94.0,7.0,fitness,(0.054537062533057755),fitnesses,(49.995699714332936,1.9555831365478062,1501.446854675325,)
	51.0,3885.0,4707.0,0.115947,0.202313,20.0,109.0,155.0,8.0,fitness,(0.019770378282642578),fitnesses,(22.675310134260165,0.06093303869406229,351.4262238558212,)
	2722.0,3847.0,2738.0,0.209268,0.062139,104.0,181.0,170.0,9.0,fitness,(0.0347298386655821),fitnesses,(34.97650488868797,0.2947608016682365,319.4274239788225,)
	1826.0,1090.0,4856.0,0.117341,0.032783,67.0,15.0,78.0,10.0,fitness,(0.4036860294972657),fitnesses,(383.3954888382758,3.706738566011435,1677.6845001124505,)
	635.0,3410.0,4399.0,0.134545,0.112347,79.0,55.0,100.0,11.0,fitness,(0.0886848496951399),fitnesses,(84.9821713702202,1.4515175357199719,1081.2497032280012,)
	1932.0,2158.0,2122.0,0.204542,0.117895,14.0,62.0,111.0,12.0,fitness,(0.04844024252165276),fitnesses,(43.7888180367663,0.6334472505213653,168.3048020327203,)
	1004.0,3318.0,3739.0,0.046158,0.047627,195.0,165.0,14.0,13.0,fitness,(0.06899126023548555),fitnesses,(87.09125131521938,0.17143563370627962,1981.4347416796627,)
	4874.0,1995.0,2380.0,0.069785,0.01626,189.0,79.0,105.0,14.0,fitness,(0.15251869563445064),fitnesses,(150.48941453570788,1.4211614133159487,1218.2333034416736,)
	4917.0,3498.0,2656.0,0.223268,0.241194,30.0,35.0,101.0,15.0,fitness,(0.019120251057504707),fitnesses,(12.331057893658814,0.9258008648096506,246.8815484250614,)
	2724.0,929.0,1659.0,0.23615,0.217835,31.0,77.0,162.0,16.0,fitness,(0.030950111824449754),fitnesses,(25.89338489514064,0.6755467783064234,169.87408537551192,)
	2163.0,3936.0,4744.0,0.229106,0.031733,121.0,22.0,1.0,17.0,fitness,(0.3817973216489486),fitnesses,(370.8889545821222,3.0052174915813237,1914.3807848986874,)
	2821.0,761.0,829.0,0.062519,0.056462,107.0,21.0,11.0,18.0,fitness,(0.2372535341475079),fitnesses,(224.57718918829198,2.7964735528262987,1528.8390569047053,)
	4207.0,327.0,1508.0,0.12131,0.036673,85.0,51.0,28.0,19.0,fitness,(0.18059892380808681),fitnesses,(167.39126035033613,2.490415695846184,1169.6493500711172,)
	4541.0,1338.0,481.0,0.019556,0.094431,86.0,146.0,76.0,20.0,fitness,(0.03266484468117431),fitnesses,(27.70280572867585,0.9243022536221027,428.0983583722569,)
	2124.0,4677.0,782.0,0.241177,0.157253,82.0,73.0,118.0,21.0,fitness,(0.004051594177696858),fitnesses,(8.864848528132145,-0.3167618658726905,164.5635691708383,)
	3951.0,4210.0,3062.0,0.131997,0.107405,15.0,144.0,127.0,22.0,fitness,(0.01223507459596766),fitnesses,(11.511231366948184,0.2567306318842997,184.3463089823522,)
	1416.0,2119.0,4083.0,0.149293,0.243857,61.0,5.0,91.0,23.0,fitness,(0.038080733423101386),fitnesses,(31.943271879131082,1.4393320558411156,825.5859014440849,)
	53.0,2830.0,4585.0,0.190172,0.060511,156.0,33.0,192.0,24.0,fitness,(0.2017328814521227),fitnesses,(191.69238159451737,2.1970413722913227,1192.9913865307904,)
	471.0,500.0,1989.0,0.005386,0.220416,2.0,103.0,148.0,25.0,fitness,(0.04046392059487329),fitnesses,(36.13911786775817,0.7507545260259254,318.27425331441407,)
	3129.0,208.0,7.0,0.105813,0.094376,98.0,37.0,166.0,26.0,fitness,(0.06473300889470177),fitnesses,(57.69796625658474,1.0614361786712603,357.9319148595573,)
	4433.0,3748.0,2183.0,0.22614,0.223946,74.0,90.0,47.0,27.0,fitness,(0.0232401242983062),fitnesses,(20.096195566873774,0.6152214488868486,300.8285757436061,)
	3592.0,4239.0,2066.0,0.089351,0.025433,10.0,18.0,37.0,28.0,fitness,(0.04523322614840757),fitnesses,(46.451123752503584,0.7701159600149089,891.90572042451,)
	1600.0,1960.0,1184.0,0.068731,0.084844,11.0,171.0,80.0,29.0,fitness,(0.03775527828058959),fitnesses,(38.53360097799265,0.2127413339262124,290.5736036665185,)
	849.0,4390.0,3971.0,0.133628,0.118849,121.0,182.0,110.0,30.0,fitness,(0.021684174340535198),fitnesses,(27.30442690628084,0.07140753293366074,633.4327895082247,)
	523.0,1765.0,2674.0,0.128125,0.057855,193.0,152.0,87.0,31.0,fitness,(0.09416562813150217),fitnesses,(100.00746804949667,0.7708446517528541,1355.0286435523044,)
	570.0,3382.0,2489.0,0.025988,0.001404,119.0,189.0,145.0,32.0,fitness,(0.2919187424857079),fitnesses,(292.809532169737,0.802953069424602,892.0320378275079,)
	916.0,3000.0,439.0,0.162017,0.188452,11.0,120.0,78.0,33.0,fitness,(0.009632522164414183),fitnesses,(13.112723466051843,-0.2554598526032496,92.56027756051623,)
	1476.0,902.0,4730.0,0.107566,0.200571,69.0,167.0,95.0,34.0,fitness,(0.03041715504001486),fitnesses,(29.859281835958313,0.6975737111701682,641.7863907645135,)
	2516.0,1573.0,1163.0,0.094224,0.018242,28.0,35.0,47.0,35.0,fitness,(0.16062979139082664),fitnesses,(147.8531636383017,2.2456178629975603,967.9550877450657,)
	4638.0,3314.0,2155.0,0.126877,0.009702,6.0,144.0,157.0,36.0,fitness,(0.029229158526201438),fitnesses,(24.276325247920347,0.7659260166424157,270.6426888143068,)
	1112.0,4743.0,3433.0,0.010245,0.237372,32.0,29.0,53.0,37.0,fitness,(-0.0024422228901292307),fitnesses,(6.069050802019015,0.10920698102759457,960.3343502424191,)
	1845.0,1045.0,846.0,0.23418,0.103473,128.0,179.0,103.0,38.0,fitness,(0.042488468339082056),fitnesses,(39.04455047335808,0.7729750494495672,428.58326287716983,)
	809.0,3178.0,469.0,0.04863,0.062359,157.0,172.0,92.0,39.0,fitness,(0.04049405092652861),fitnesses,(44.97357659884583,0.3453194367772991,793.2720040090218,)
	2413.0,3867.0,2623.0,0.160835,0.059853,119.0,127.0,75.0,40.0,fitness,(0.018072546846446227),fitnesses,(23.573812874572543,0.1613809635667079,711.5075663793394,)
