Surrogate,generation,0,mu,100,lambda,25
	3259.0,4851.0,2360.0,0.079106,0.245202,52.0,144.0,163.0,0.0,fitness,(0.009141980947616288),fitnesses,(9.134801532265401,0.06875439986378173,68.03645832869294,)
	1223.0,632.0,157.0,0.105045,0.062449,169.0,26.0,125.0,1.0,fitness,(0.12082890630014653),fitnesses,(112.2515555521292,1.9768110894636317,1119.0760146618989,)
	3044.0,4333.0,2563.0,0.002106,0.226158,39.0,105.0,114.0,2.0,fitness,(-0.0015190963684574995),fitnesses,(0.3606313415570973,0.027851296792336697,215.82406779379636,)
	2941.0,4852.0,4049.0,0.082323,0.048161,56.0,148.0,191.0,3.0,fitness,(0.022431745826143087),fitnesses,(26.61975325803868,-0.07692108188466261,341.87966130489673,)
	1931.0,2898.0,3968.0,0.074091,0.144854,88.0,27.0,116.0,4.0,fitness,(0.042219784756722625),fitnesses,(39.87412073168916,1.2049939353162953,970.4275328129485,)
	3464.0,1070.0,1102.0,0.188558,0.245754,147.0,28.0,188.0,5.0,fitness,(0.034899654465337326),fitnesses,(26.682824425611017,1.1132931979585885,291.6101939859579,)
	965.0,3429.0,3671.0,0.192623,0.024535,149.0,3.0,163.0,6.0,fitness,(0.3114362167043357),fitnesses,(287.4172988295693,3.6495651070839936,1247.6733196073494,)
	2615.0,1585.0,3582.0,0.068063,0.030221,102.0,44.0,186.0,7.0,fitness,(0.16306908182749985),fitnesses,(157.65241155265065,1.396013896656977,854.3468691720562,)
	1968.0,4235.0,4340.0,0.18645,0.126259,192.0,11.0,81.0,8.0,fitness,(0.04549317760881681),fitnesses,(51.57002048951296,0.9687842915344204,1576.4685796040355,)
	1534.0,1500.0,4221.0,0.025847,0.003041,149.0,6.0,181.0,9.0,fitness,(0.5239497499545696),fitnesses,(513.5687447548571,2.730074822881857,1691.9743029106178,)
	1989.0,3795.0,3201.0,0.120819,0.025282,173.0,75.0,19.0,10.0,fitness,(0.26530384876148916),fitnesses,(271.7587758668497,1.2081633314418194,1853.6560419778752,)
	2774.0,2119.0,4263.0,0.079803,0.206441,66.0,152.0,45.0,11.0,fitness,(0.006844891049065548),fitnesses,(8.67788251482437,0.46169963393563856,644.9987805115209,)
	1240.0,2633.0,2904.0,0.096879,0.183632,43.0,90.0,39.0,12.0,fitness,(0.031393109823920184),fitnesses,(34.02098424225074,0.4345717546455045,697.3591964785609,)
	469.0,3138.0,2593.0,0.075695,0.19494,139.0,105.0,27.0,13.0,fitness,(0.03217478666241),fitnesses,(42.14013262567237,0.21171821667251164,1208.2528129987484,)
	2961.0,1204.0,412.0,0.217126,0.249852,138.0,17.0,164.0,14.0,fitness,(0.03213424615618348),fitnesses,(25.785769873854438,0.9248668355951667,290.01920736226236,)
	2530.0,1461.0,4288.0,0.157647,0.212566,131.0,111.0,110.0,15.0,fitness,(0.01909537514192912),fitnesses,(19.427876856913414,0.6470784933938444,680.328664892274,)
	2062.0,3091.0,1145.0,0.20386,0.085484,125.0,179.0,163.0,16.0,fitness,(0.032887527181742454),fitnesses,(32.21622672410862,0.3168580083581101,249.727962594727,)
	4894.0,4721.0,13.0,0.246409,0.195892,107.0,180.0,105.0,17.0,fitness,(0.018347804912105897),fitnesses,(14.051871947800612,0.6592299431459293,229.63664671540062,)
	640.0,3084.0,2933.0,0.088341,0.214715,171.0,14.0,180.0,18.0,fitness,(0.04731149105556212),fitnesses,(44.401926155894316,1.1645849093007212,873.6284193339412,)
	598.0,2142.0,3854.0,0.19287,0.119939,111.0,131.0,191.0,19.0,fitness,(0.056004548104590816),fitnesses,(54.99071304198472,0.5148933420952277,413.5098358346184,)
	4020.0,188.0,4758.0,0.077125,0.042086,125.0,86.0,52.0,20.0,fitness,(0.1491143201296445),fitnesses,(154.9417398597583,1.178867874575214,1761.6098475865929,)
	712.0,2579.0,4657.0,0.129237,0.102239,88.0,130.0,129.0,21.0,fitness,(0.07807799551291832),fitnesses,(80.05844892616844,0.58742369518902,785.4690365140319,)
	765.0,2604.0,106.0,0.249529,0.217163,31.0,26.0,168.0,22.0,fitness,(0.025109423691608825),fitnesses,(25.857742006107628,0.010501097340714392,85.3329287905945,)
	907.0,928.0,4039.0,0.174743,0.079091,133.0,134.0,41.0,23.0,fitness,(0.04841424847944773),fitnesses,(58.89154836140307,0.4598814065614265,1507.61139475696,)
	684.0,1714.0,3174.0,0.009175,0.147562,180.0,124.0,17.0,24.0,fitness,(0.03690927721983442),fitnesses,(48.49573385779932,0.6936103882408269,1852.256052037317,)
	1839.0,3322.0,4105.0,0.206216,0.124527,3.0,109.0,136.0,25.0,fitness,(0.022586133528965293),fitnesses,(24.806164316980883,-0.012896332538927828,209.10674626263153,)
	2399.0,3379.0,2462.0,0.159342,0.001482,65.0,24.0,173.0,26.0,fitness,(0.09114639196258748),fitnesses,(84.57026870036313,1.191173702087145,533.5613758647099,)
	3822.0,2669.0,2315.0,0.064853,0.221035,80.0,158.0,185.0,27.0,fitness,(0.022332690464859358),fitnesses,(15.480636999639842,0.8249433853524958,139.73803883054447,)
	2446.0,2492.0,98.0,0.019583,0.172725,58.0,152.0,33.0,28.0,fitness,(0.004054439011125311),fitnesses,(5.909629820962847,0.14760917215617617,333.1282531399297,)
	3802.0,2213.0,300.0,0.221567,0.241343,110.0,170.0,194.0,29.0,fitness,(0.012996312093660325),fitnesses,(5.01094907350553,0.9934669250846606,194.930623069181,)
	4156.0,3667.0,1073.0,0.184441,0.111276,56.0,59.0,47.0,30.0,fitness,(0.026393512654312216),fitnesses,(23.228055505184365,0.6302980617881903,313.7523468754048,)
	3182.0,932.0,1405.0,0.007529,0.222481,9.0,155.0,129.0,31.0,fitness,(0.011405187224113027),fitnesses,(4.596962843286253,0.8374385423621095,156.61610427943208,)
	144.0,1768.0,4469.0,0.00803,0.174375,148.0,139.0,15.0,32.0,fitness,(0.04584170496485025),fitnesses,(59.445303327718435,0.49326063570567485,1853.6204719924924,)
	2458.0,602.0,1376.0,0.062131,0.097275,58.0,32.0,177.0,33.0,fitness,(0.06740631023780802),fitnesses,(60.055126185378626,1.1249559948436385,389.83758960069963,)
	2954.0,2343.0,2047.0,0.107725,0.010891,38.0,103.0,76.0,34.0,fitness,(0.13400440560823476),fitnesses,(131.38295972438894,0.9016669316986032,639.522343314019,)
	2326.0,2494.0,821.0,0.043373,0.128276,182.0,83.0,8.0,35.0,fitness,(-0.003256216545827301),fitnesses,(7.012997872530297,0.3937819986039143,1420.7034404396738,)
	4449.0,117.0,76.0,0.244883,0.195891,6.0,49.0,180.0,36.0,fitness,(0.037685176509545865),fitnesses,(29.189490622071975,1.0596178993828167,210.049310635428,)
	254.0,1015.0,311.0,0.025479,0.225324,57.0,192.0,175.0,37.0,fitness,(0.04357886643636662),fitnesses,(39.79729089050537,0.5042947992523733,126.13724466624929,)
	2.0,3389.0,1365.0,0.033,0.157472,146.0,38.0,142.0,38.0,fitness,(0.030247912289358313),fitnesses,(34.392215175333476,0.5481373218020744,962.5676103995904,)
	1682.0,3812.0,4928.0,0.088954,0.010943,67.0,52.0,53.0,39.0,fitness,(0.41681925731869457),fitnesses,(413.79190935101167,1.973024555412713,1670.2897586444217,)
	1563.0,3408.0,2403.0,0.072831,0.196801,195.0,19.0,130.0,40.0,fitness,(0.023504247777170584),fitnesses,(27.351175153970473,0.7033401385655277,1088.0328762455163,)
	1177.0,3285.0,190.0,0.12996,0.225205,48.0,81.0,23.0,41.0,fitness,(0.01409913209147161),fitnesses,(18.280342944601088,-0.07597617417258888,342.14491114035894,)
	4916.0,1554.0,638.0,0.23459,0.223615,92.0,53.0,108.0,42.0,fitness,(0.016304579330574942),fitnesses,(8.933234457097152,1.0524880459471302,315.3535585993509,)
	4973.0,3513.0,3919.0,0.073598,0.047191,137.0,198.0,137.0,43.0,fitness,(0.022903026209170042),fitnesses,(18.852825358356398,0.9902726003727174,585.2525152913526,)
	3504.0,399.0,514.0,0.062001,0.191798,14.0,18.0,29.0,44.0,fitness,(0.04359975943436406),fitnesses,(36.48598624087759,1.3439293504189607,632.5520310703129,)
	2518.0,192.0,4473.0,0.173775,0.209813,47.0,174.0,130.0,45.0,fitness,(0.03233387651466126),fitnesses,(27.033462130267612,0.9649366390454076,434.8952006060427,)
	2329.0,416.0,4544.0,0.210635,0.186487,189.0,3.0,164.0,46.0,fitness,(0.04801592729363731),fitnesses,(48.31354661303027,1.1892968870306428,1219.0588189699386,)
	4113.0,948.0,2068.0,0.016429,0.083297,122.0,34.0,101.0,47.0,fitness,(0.07739580640185623),fitnesses,(70.21860196883743,1.805794951938091,1088.0745086362108,)
	3946.0,177.0,2176.0,0.180461,0.241638,23.0,30.0,47.0,48.0,fitness,(0.030099012663999614),fitnesses,(25.964191141658535,0.9467203738355936,533.2382216014856,)
	4294.0,2669.0,1472.0,0.140795,0.002272,116.0,195.0,141.0,49.0,fitness,(0.05854101848288378),fitnesses,(52.61019245923146,1.0347796548118133,441.69705244658144,)
	1257.0,3763.0,801.0,0.05218,0.18749,63.0,45.0,28.0,50.0,fitness,(0.00864081639104378),fitnesses,(15.430159772914056,0.1112513814943795,790.1857196814069,)
	4097.0,2722.0,4455.0,0.229054,0.054007,68.0,66.0,143.0,51.0,fitness,(0.0264434369059176),fitnesses,(24.594513850039796,0.7315784418506197,546.6861362628395,)
	1650.0,2384.0,4496.0,0.021112,0.206029,13.0,26.0,120.0,52.0,fitness,(0.019688905028586664),fitnesses,(18.73327349832958,0.8693890754726209,773.8259224469123,)
	146.0,4936.0,4066.0,0.093921,0.113354,4.0,34.0,73.0,53.0,fitness,(0.02393788206166176),fitnesses,(31.186316825027326,0.32586377494546154,1050.7072512820182,)
	1680.0,3969.0,3202.0,0.018143,0.193996,157.0,169.0,138.0,54.0,fitness,(0.0062876896308807755),fitnesses,(11.855010760998795,-0.04936382291468698,507.36829009711494,)
	3249.0,4039.0,1857.0,0.080117,0.013253,183.0,105.0,26.0,55.0,fitness,(0.10441291125284514),fitnesses,(117.24225438492358,0.19233027795045674,1475.2645911583015,)
	3260.0,4706.0,4435.0,0.033235,0.051974,92.0,146.0,56.0,56.0,fitness,(-0.005585140579076546),fitnesses,(6.119909679931173,-0.09388676458691576,1076.618261313856,)
	3774.0,3974.0,691.0,0.248976,0.061655,41.0,86.0,136.0,57.0,fitness,(0.008463256461189663),fitnesses,(7.90786328322977,0.23676322192251503,181.22390412652564,)
	1209.0,3190.0,431.0,0.095009,0.126202,33.0,74.0,32.0,58.0,fitness,(0.015544585583353716),fitnesses,(20.742506126840787,0.03243772412800466,552.2297784767119,)
