Surrogate,generation,0,mu,100,lambda,25
	245.0,2498.0,1719.0,0.145459,0.219005,36.0,60.0,10.0,0.0,fitness,(-0.011979295309852468),fitnesses,(0.0,0.5314973824273036,1729.4269134125502,)
	2427.0,932.0,2109.0,0.196095,0.226833,126.0,51.0,179.0,1.0,fitness,(0.003446876176399055),fitnesses,(0.0,0.8917352605043949,547.0476428644894,)
	4361.0,3599.0,3344.0,0.081662,0.14961,60.0,134.0,86.0,2.0,fitness,(0.0002657299202256467),fitnesses,(0.0,0.8273574904142088,800.7844983916441,)
	1254.0,968.0,461.0,0.157423,0.047738,21.0,143.0,168.0,3.0,fitness,(0.005355697699391374),fitnesses,(0.0,0.8051272387869495,269.5574688478121,)
	4918.0,1652.0,3215.0,0.160913,0.052867,149.0,47.0,52.0,4.0,fitness,(1.013807482288916),fitnesses,(1.0,2.3508578897699777,970.109660878377,)
	513.0,2124.0,1251.0,0.221527,0.038989,137.0,87.0,48.0,5.0,fitness,(1.0123697231294437),fitnesses,(1.0,2.006415516757606,769.4432038132201,)
	1030.0,3064.0,1230.0,0.136911,0.002763,152.0,70.0,34.0,6.0,fitness,(1.012867419549464),fitnesses,(1.0,2.23605152186369,949.3095669172714,)
	4227.0,2225.0,4924.0,0.02856,0.13352,168.0,27.0,161.0,7.0,fitness,(1.0030134498208554),fitnesses,(1.0,1.5467185473204343,1245.3735652348948,)
	494.0,2395.0,2514.0,0.219354,0.059032,43.0,168.0,56.0,8.0,fitness,(0.0021664611427659637),fitnesses,(0.0,0.688397979516191,471.75186523959457,)
	1516.0,2041.0,2566.0,0.090469,0.017692,52.0,74.0,5.0,9.0,fitness,(-0.013955040114473063),fitnesses,(0.0,1.2017099376212323,2597.2139490685386,)
	837.0,3837.0,2651.0,0.032202,0.057621,165.0,152.0,198.0,10.0,fitness,(0.9969419541020131),fitnesses,(1.0,0.19467955582256785,500.484145621263,)
	2996.0,3552.0,371.0,0.078541,0.179906,25.0,127.0,101.0,11.0,fitness,(-0.007427050227526466),fitnesses,(0.0,-0.2863000337463024,456.4049890063442,)
	3449.0,3474.0,543.0,0.145965,0.23361,76.0,39.0,6.0,12.0,fitness,(0.0010135454701460408),fitnesses,(0.0,0.3144821432264133,213.12759621180922,)
	4170.0,1215.0,2990.0,0.100057,0.023279,31.0,12.0,132.0,13.0,fitness,(0.00852795392108325),fitnesses,(0.0,1.2457395391649815,392.9441470566565,)
	1134.0,679.0,2129.0,0.153634,0.136554,12.0,162.0,45.0,14.0,fitness,(0.006006465681815117),fitnesses,(0.0,0.885480780348892,284.83421216738026,)
	3108.0,2862.0,2028.0,0.110333,0.171737,134.0,80.0,147.0,15.0,fitness,(0.00394514667858634),fitnesses,(0.0,0.6683360457852325,273.8213779265986,)
	756.0,1417.0,2420.0,0.140134,0.053817,104.0,48.0,135.0,16.0,fitness,(1.0268456409121935),fitnesses,(1.0,2.9866384065557323,302.07431533637134,)
	2761.0,212.0,1866.0,0.147769,0.161421,92.0,195.0,84.0,17.0,fitness,(-0.0029314362073003704),fitnesses,(0.0,0.8183574542270201,1111.5010749570572,)
	373.0,4931.0,4388.0,0.15665,0.2429,72.0,141.0,76.0,18.0,fitness,(-0.0019995369672775),fitnesses,(0.0,-0.07869766833424886,121.25602839350114,)
	3228.0,4593.0,815.0,0.011504,0.210041,66.0,28.0,17.0,19.0,fitness,(-0.008589310045630792),fitnesses,(0.0,-0.12343480704077123,735.4961975223079,)
	3454.0,3466.0,48.0,0.188818,0.016717,135.0,56.0,190.0,20.0,fitness,(0.000652765562019925),fitnesses,(0.0,0.3907848095002865,325.508253298294,)
	1769.0,1530.0,4274.0,0.146187,0.014076,127.0,149.0,4.0,21.0,fitness,(-0.04951195193762972),fitnesses,(0.0,1.6004578071134228,6551.653000876395,)
	1763.0,3100.0,1133.0,0.135484,0.191239,101.0,47.0,198.0,22.0,fitness,(-0.0035905095127892707),fitnesses,(0.0,-0.139783298997873,219.26765228105404,)
	4074.0,1263.0,4152.0,0.091351,0.187307,184.0,139.0,21.0,23.0,fitness,(0.0013411372630417317),fitnesses,(0.0,0.9292788347960051,795.1651084918319,)
	1604.0,2339.0,309.0,0.216389,0.043111,103.0,156.0,174.0,24.0,fitness,(-0.005170388482245864),fitnesses,(0.0,-0.18229952069777355,334.73932752681276,)
	2586.0,1974.0,57.0,0.037253,0.191085,130.0,183.0,49.0,25.0,fitness,(0.006706234982538004),fitnesses,(0.0,0.9554383933956473,284.81489514184676,)
	1454.0,833.0,4908.0,0.151674,0.004013,83.0,187.0,145.0,26.0,fitness,(-0.0009865155695196262),fitnesses,(0.0,1.5938450246818434,1692.4965816338058,)
	120.0,4945.0,4099.0,0.004029,0.178994,130.0,76.0,100.0,27.0,fitness,(-0.001795798314220825),fitnesses,(0.0,-0.16556065161803524,14.019179804047264,)
	3064.0,714.0,1041.0,0.199288,0.168999,21.0,109.0,191.0,28.0,fitness,(0.006332955131130863),fitnesses,(0.0,0.7725161093153381,139.22059620225187,)
	4674.0,2369.0,1394.0,0.205859,0.125081,38.0,108.0,153.0,29.0,fitness,(0.002523965147203755),fitnesses,(0.0,0.7882716181976113,535.8751034772357,)
