Surrogate,generation,0,mu,100,lambda,25
	153.0,625.0,394.0,0.002616,0.113446,14.0,104.0,114.0,0.0,fitness,(-0.003713183336751137),fitnesses,(0.0,-0.4645552512155676,-93.23691754045392,)
	1018.0,3399.0,2351.0,0.163737,0.205877,2.0,63.0,33.0,1.0,fitness,(-0.0027085120082979463),fitnesses,(0.0,0.02903154552103382,299.8827463508284,)
	1046.0,1924.0,2889.0,0.07493,0.196203,104.0,86.0,34.0,2.0,fitness,(-0.012750601604916312),fitnesses,(0.0,0.4610852066498205,1736.1453671414515,)
	2828.0,1315.0,4712.0,0.115246,0.207256,30.0,10.0,160.0,3.0,fitness,(0.006936994929135654),fitnesses,(0.0,1.4024591236547634,708.7596307411981,)
	3714.0,3906.0,3604.0,0.14641,0.042999,53.0,140.0,167.0,4.0,fitness,(-0.005058153479461526),fitnesses,(0.0,0.12048621166100561,626.3015596071582,)
	4704.0,3066.0,3166.0,0.047547,0.156974,106.0,94.0,65.0,5.0,fitness,(0.005935616912412183),fitnesses,(0.0,0.9126487244659057,319.0870332246875,)
	2611.0,4030.0,3235.0,0.212968,0.013748,47.0,152.0,142.0,6.0,fitness,(-0.0047235809852624044),fitnesses,(0.0,0.027206286579847624,499.564385106088,)
	3243.0,1431.0,3457.0,0.184083,0.139414,163.0,121.0,188.0,7.0,fitness,(0.003245338797598015),fitnesses,(0.0,0.8890891575029763,564.5552777431748,)
	617.0,3463.0,3713.0,0.179379,0.101243,54.0,183.0,166.0,8.0,fitness,(-0.002184696934111729),fitnesses,(0.0,-0.026376531240060185,192.09316217111268,)
	2264.0,776.0,4799.0,0.157558,0.218824,1.0,184.0,162.0,9.0,fitness,(0.0018004185748282404),fitnesses,(0.0,0.9389960890249911,758.954231542167,)
	2490.0,3350.0,3424.0,0.148253,0.153857,1.0,0.0,95.0,10.0,fitness,(0.003416811690320445),fitnesses,(0.0,0.6652241803382961,323.5430113062516,)
	2423.0,106.0,526.0,0.146928,0.21015,5.0,123.0,43.0,11.0,fitness,(0.004191362821897095),fitnesses,(0.0,0.8268894835412716,407.753201351562,)
	4114.0,3377.0,753.0,0.078141,0.056292,72.0,193.0,75.0,12.0,fitness,(0.0006312151623693151),fitnesses,(0.0,0.9396799043316351,876.5583880947036,)
	2867.0,2440.0,2190.0,0.13705,0.036164,44.0,191.0,85.0,13.0,fitness,(0.0022215461509877367),fitnesses,(0.0,0.905253984881127,683.0993697823533,)
	4005.0,2124.0,346.0,0.055561,0.167269,43.0,16.0,0.0,14.0,fitness,(-0.011642690837219815),fitnesses,(0.0,1.2391461153481542,2403.4151990701357,)
	1269.0,3232.0,2408.0,0.202343,0.211042,81.0,26.0,101.0,15.0,fitness,(0.0027425950080949323),fitnesses,(0.0,0.8152113443402073,540.951843530714,)
	2855.0,1259.0,4752.0,0.236808,0.128284,195.0,49.0,107.0,16.0,fitness,(0.009481429074089782),fitnesses,(0.0,0.9993557700248089,51.21286261583057,)
	1080.0,1105.0,4824.0,0.006307,0.138431,56.0,122.0,31.0,17.0,fitness,(-0.009846710565373267),fitnesses,(0.0,0.8651609559060743,1849.8320124434008,)
	1769.0,784.0,924.0,0.198935,0.227649,14.0,142.0,51.0,18.0,fitness,(0.003848210799584165),fitnesses,(0.0,0.8241817406385306,439.36066068011405,)
	3473.0,1336.0,1000.0,0.064289,0.079363,79.0,153.0,13.0,19.0,fitness,(0.006201634275692662),fitnesses,(0.0,0.9989997454429131,378.83631787364686,)
	3545.0,3905.0,2324.0,0.206273,0.121284,149.0,199.0,136.0,20.0,fitness,(-0.0073152528378262315),fitnesses,(0.0,0.043833306715474654,775.3585904980977,)
	502.0,4753.0,34.0,0.183319,0.003915,24.0,138.0,130.0,21.0,fitness,(0.0009656587145028023),fitnesses,(0.0,0.30842116128040226,211.85528983012202,)
	847.0,563.0,3412.0,0.204673,0.034315,67.0,39.0,82.0,22.0,fitness,(1.035278954085372),fitnesses,(1.0,4.429386882851696,901.4914743144983,)
	2735.0,1181.0,2508.0,0.126606,0.172434,31.0,33.0,45.0,23.0,fitness,(0.011600133230169642),fitnesses,(0.0,1.656371712430882,496.35838941391785,)
	4029.0,4679.0,1358.0,0.159145,0.002248,78.0,79.0,106.0,24.0,fitness,(-0.006120216248084991),fitnesses,(0.0,0.050859538011515236,662.8811628200143,)
	1568.0,3774.0,4895.0,0.004451,0.061831,27.0,7.0,71.0,25.0,fitness,(0.9885790606383983),fitnesses,(1.0,1.0291578706438491,2171.251806804028,)
	2189.0,1743.0,1809.0,0.245842,0.141414,194.0,4.0,31.0,26.0,fitness,(1.0159306633529877),fitnesses,(1.0,5.352548455515471,3759.482120216702,)
	401.0,1459.0,4132.0,0.06539,0.071388,13.0,114.0,112.0,27.0,fitness,(0.008578550999195411),fitnesses,(0.0,1.265567154103354,407.7120541838127,)
	1243.0,277.0,3728.0,0.06613,0.110647,113.0,58.0,3.0,28.0,fitness,(0.9190108552961995),fitnesses,(1.0,1.8104913708435977,9909.40584122364,)
	1385.0,1271.0,20.0,0.07319,0.243212,187.0,197.0,190.0,29.0,fitness,(0.003879710576051968),fitnesses,(0.0,0.7248250602665339,336.85400266133706,)
	4903.0,4896.0,889.0,0.115719,0.227991,105.0,156.0,84.0,30.0,fitness,(-0.00418526807466584),fitnesses,(0.0,0.47458596084907123,893.1127683156552,)
	2459.0,4863.0,1509.0,0.200869,0.200005,196.0,89.0,194.0,31.0,fitness,(-0.004845061297804113),fitnesses,(0.0,-0.17396446135303284,310.54166842737845,)
	4833.0,4286.0,4007.0,0.197151,0.109741,11.0,128.0,77.0,32.0,fitness,(0.00046465629593940225),fitnesses,(0.0,0.9090569511375161,862.5913215435758,)
	2795.0,4072.0,553.0,0.230945,0.00402,180.0,60.0,148.0,33.0,fitness,(0.9933115461984443),fitnesses,(1.0,-0.010213615775023138,658.6317643805435,)
	4481.0,3406.0,2326.0,0.049466,0.128442,198.0,59.0,127.0,34.0,fitness,(0.007471133432191325),fitnesses,(0.0,0.9236743529888138,176.5610097696814,)
	809.0,1811.0,1071.0,0.141917,0.003522,1.0,195.0,193.0,35.0,fitness,(-0.011999574907915315),fitnesses,(0.0,-0.47346726821350427,726.4902225780271,)
	4212.0,3141.0,2829.0,0.070106,0.03593,71.0,10.0,127.0,36.0,fitness,(0.017364010645632016),fitnesses,(0.0,1.951891890036533,215.4908254733315,)
	2594.0,1027.0,4947.0,0.08122,0.18724,128.0,8.0,126.0,37.0,fitness,(-0.02347251212297935),fitnesses,(0.0,2.144423148721728,4491.674361019663,)
	488.0,299.0,3487.0,0.19594,0.034989,69.0,42.0,169.0,38.0,fitness,(1.0114842039286847),fitnesses,(1.0,1.93434167474494,785.9212818764771,)
	72.0,1812.0,4600.0,0.054096,0.039117,43.0,11.0,74.0,39.0,fitness,(1.0131314056960596),fitnesses,(1.0,4.164532664397714,2851.392094791754,)
	477.0,4036.0,1284.0,0.139969,0.040153,114.0,124.0,108.0,40.0,fitness,(0.012505067192528422),fitnesses,(0.0,1.3408076345808129,90.30091532797054,)
	96.0,2728.0,3333.0,0.170009,0.172307,161.0,127.0,179.0,41.0,fitness,(0.005765938031556238),fitnesses,(0.0,0.9884443834433133,411.8505802876895,)
	1109.0,1570.0,2943.0,0.052643,0.043789,47.0,74.0,102.0,42.0,fitness,(1.0282158724161614),fitnesses,(1.0,3.1010804347360366,279.4931931199035,)
	1090.0,2735.0,1518.0,0.045405,0.029844,76.0,28.0,187.0,43.0,fitness,(1.0128309993398161),fitnesses,(1.0,1.5589337911713723,275.8338571897652,)
	4979.0,32.0,1810.0,0.041223,0.029106,100.0,121.0,5.0,44.0,fitness,(-0.00893400669330806),fitnesses,(0.0,0.8886570909019185,1782.0577602327244,)
	3311.0,2414.0,1368.0,0.140729,0.023495,29.0,0.0,97.0,45.0,fitness,(0.015059633743036437),fitnesses,(0.0,1.7930587454867342,287.0953711830906,)
	304.0,2848.0,2529.0,0.176998,0.107232,16.0,37.0,78.0,46.0,fitness,(0.015925544620543942),fitnesses,(0.0,1.5616010253516464,-30.953436702747698,)
	3752.0,392.0,298.0,0.078531,0.006894,164.0,156.0,30.0,47.0,fitness,(-0.00025959336633186135),fitnesses,(0.0,0.8823881295354093,908.3474661685955,)
	3680.0,4485.0,2793.0,0.06051,0.091605,26.0,21.0,80.0,48.0,fitness,(0.002576500683822791),fitnesses,(0.0,0.21946975859024964,-38.180309792029476,)
	2915.0,495.0,4982.0,0.201237,0.176986,161.0,104.0,74.0,49.0,fitness,(-0.0012735437061300488),fitnesses,(0.0,1.0905965152389354,1217.9508858519403,)
	1565.0,1001.0,3102.0,0.158264,0.017787,134.0,156.0,109.0,50.0,fitness,(0.0010937462177040037),fitnesses,(0.0,1.4259336094083268,1316.5589876379263,)
	1450.0,2024.0,4258.0,0.22095,0.226882,97.0,89.0,69.0,51.0,fitness,(0.0028133641078458374),fitnesses,(0.0,0.20101554330060883,-80.3208674839749,)
	220.0,1880.0,2722.0,0.169626,0.023108,67.0,183.0,54.0,52.0,fitness,(0.01318883901212164),fitnesses,(0.0,2.281063237989784,962.1793367776199,)
	690.0,2336.0,3505.0,0.176261,0.048164,101.0,61.0,62.0,53.0,fitness,(1.026401138839657),fitnesses,(1.0,2.962905078453838,322.7911944881572,)
	1793.0,3442.0,3559.0,0.006003,0.026667,166.0,165.0,113.0,54.0,fitness,(0.9891885896546332),fitnesses,(1.0,-0.40824656011970706,672.89447441697,)
	700.0,4992.0,3254.0,0.090071,0.064741,129.0,164.0,131.0,55.0,fitness,(0.0007391761980192766),fitnesses,(0.0,0.6022375838219015,528.3199640199738,)
	791.0,1611.0,3793.0,0.176242,0.041152,129.0,86.0,187.0,56.0,fitness,(-0.0005243428834344806),fitnesses,(0.0,0.8006291275168566,853.0634158603045,)
	1599.0,4739.0,358.0,0.230128,0.242445,55.0,61.0,4.0,57.0,fitness,(-0.003545848540287869),fitnesses,(0.0,0.09599524143177986,450.5800954605667,)
	847.0,2682.0,2557.0,0.04835,0.151225,60.0,36.0,152.0,58.0,fitness,(0.006317509555568455),fitnesses,(0.0,0.9797000139494016,347.94905839255625,)
	3455.0,4506.0,144.0,0.133366,0.181433,19.0,33.0,181.0,59.0,fitness,(-0.0055876829224546015),fitnesses,(0.0,-0.30011216820368086,258.65612404177926,)
	923.0,2757.0,2056.0,0.204704,0.000724,31.0,7.0,118.0,60.0,fitness,(1.0174487452267407),fitnesses,(1.0,1.851404871193854,106.5303485198012,)
	331.0,2751.0,821.0,0.236828,0.114972,158.0,165.0,126.0,61.0,fitness,(0.0007397897049050645),fitnesses,(0.0,0.23567844387672607,161.6994733862196,)
	3992.0,4768.0,1440.0,0.056436,0.091803,31.0,20.0,126.0,62.0,fitness,(-0.0017931170671572282),fitnesses,(0.0,-0.03440253453741628,144.90917217830653,)
	4376.0,2333.0,636.0,0.222866,0.074751,8.0,136.0,162.0,63.0,fitness,(0.0012334562169392833),fitnesses,(0.0,0.9051910596246755,781.845437930747,)
	2193.0,2436.0,3988.0,0.054249,0.101689,93.0,123.0,129.0,64.0,fitness,(-0.006203439970187467),fitnesses,(0.0,-0.15037658495008877,469.96741206865784,)
	2977.0,863.0,4816.0,0.185679,0.0747,110.0,130.0,95.0,65.0,fitness,(-0.00844341049100477),fitnesses,(0.0,1.0731132879357934,1917.4543370362703,)
	206.0,1731.0,1533.0,0.224033,0.085064,23.0,84.0,27.0,66.0,fitness,(0.012289305649734442),fitnesses,(0.0,2.0767357931095667,847.8052281361223,)
	1537.0,221.0,3611.0,0.231998,0.189917,186.0,160.0,150.0,67.0,fitness,(-0.010059697956275771),fitnesses,(0.0,0.8409756279457078,1846.9454235732849,)
	3127.0,1613.0,793.0,0.097416,0.021083,196.0,142.0,44.0,68.0,fitness,(1.0070709463581478),fitnesses,(1.0,1.0298889254149042,322.7942896001405,)
	2507.0,987.0,1750.0,0.150289,0.050119,128.0,184.0,37.0,69.0,fitness,(-0.000570067423552997),fitnesses,(0.0,1.0282228324435057,1085.2295747988053,)
	4784.0,4596.0,4823.0,0.128773,0.144393,30.0,56.0,30.0,70.0,fitness,(0.007531154513171479),fitnesses,(0.0,0.8841444783561815,131.02902703903356,)
	3011.0,338.0,3661.0,0.200525,0.229836,22.0,138.0,48.0,71.0,fitness,(0.0025998379742303603),fitnesses,(0.0,0.9082017412923349,648.2179438692989,)
	4614.0,2413.0,371.0,0.149217,0.026509,35.0,143.0,59.0,72.0,fitness,(0.0010195088072498786),fitnesses,(0.0,0.8824399155610307,780.4890348360428,)
	2317.0,4720.0,275.0,0.027448,0.054215,190.0,56.0,44.0,73.0,fitness,(-0.0006124977012666715),fitnesses,(0.0,-0.2549274542484661,-193.6776841217989,)
	4575.0,1934.0,4018.0,0.063814,0.15696,14.0,192.0,134.0,74.0,fitness,(7.101744599899602e-05),fitnesses,(0.0,0.8908941384187834,883.7923938188837,)
	171.0,4947.0,1567.0,0.128826,0.004207,13.0,110.0,137.0,75.0,fitness,(0.006518586978041385),fitnesses,(0.0,0.7626020399393558,110.74334213521732,)
	4961.0,206.0,3516.0,0.190535,0.060061,137.0,14.0,74.0,76.0,fitness,(0.9963206030921937),fitnesses,(1.0,3.2492083042854834,3617.14799506611,)
	4519.0,1507.0,3195.0,0.118457,0.108579,8.0,100.0,128.0,77.0,fitness,(0.0035931410854022376),fitnesses,(0.0,0.7952481574079614,435.93404886773766,)
	1729.0,1024.0,3422.0,0.128853,0.029263,54.0,40.0,89.0,78.0,fitness,(0.05771092367580856),fitnesses,(0.0,5.948442365336418,177.34999775556267,)
	865.0,4875.0,1119.0,0.074092,0.012159,124.0,142.0,155.0,79.0,fitness,(-0.0013671930110293275),fitnesses,(0.0,0.17536369649501987,312.0829975979526,)
	2638.0,1747.0,1531.0,0.093938,0.127846,163.0,152.0,33.0,80.0,fitness,(0.004647887079464317),fitnesses,(0.0,0.8471668446957802,382.3781367493485,)
	3926.0,1221.0,1942.0,0.15974,0.035364,83.0,62.0,172.0,81.0,fitness,(0.005190393712895248),fitnesses,(0.0,0.7244074015750761,205.36803028555138,)
	4432.0,4059.0,3745.0,0.116074,0.028332,140.0,24.0,175.0,82.0,fitness,(0.008656334420332683),fitnesses,(0.0,1.3580018225124897,492.36838047922134,)
	2444.0,1178.0,1387.0,0.234509,0.138204,176.0,173.0,64.0,83.0,fitness,(-0.002665193096540201),fitnesses,(0.0,0.8615663840202571,1128.085693674277,)
	1601.0,3107.0,777.0,0.205187,0.082834,131.0,39.0,69.0,84.0,fitness,(1.011724457019177),fitnesses,(1.0,1.3718749399705101,199.42923805279645,)
	4869.0,2529.0,1838.0,0.030815,0.062763,40.0,29.0,94.0,85.0,fitness,(0.009736878194018842),fitnesses,(0.0,1.0129614727415797,39.27365333969542,)
	4336.0,2731.0,4919.0,0.141602,0.242866,155.0,192.0,98.0,86.0,fitness,(-0.0015529904970708278),fitnesses,(0.0,1.031379051808706,1186.6781015157887,)
	4766.0,4658.0,2261.0,0.030199,0.003426,14.0,20.0,119.0,87.0,fitness,(0.006296874862104665),fitnesses,(0.0,0.6988698146497315,69.18232843926509,)
	2949.0,1671.0,822.0,0.203571,0.036406,82.0,66.0,71.0,88.0,fitness,(0.012423872810255702),fitnesses,(0.0,1.2422472773476956,-0.14000367787455614,)
	4924.0,2321.0,3180.0,0.016837,0.01553,147.0,115.0,165.0,89.0,fitness,(1.0011237546902025),fitnesses,(1.0,0.8028594627923646,690.4839937721184,)
	3067.0,3972.0,1576.0,0.195641,0.104714,31.0,38.0,107.0,90.0,fitness,(-0.002997745941018793),fitnesses,(0.0,-0.054118397390984854,245.6561967108944,)
	4795.0,4519.0,2352.0,0.173474,0.138671,94.0,93.0,160.0,91.0,fitness,(0.0003271751560756323),fitnesses,(0.0,0.8007919487905568,768.0744331829936,)
	65.0,716.0,413.0,0.227636,0.0527,11.0,136.0,147.0,92.0,fitness,(0.0022867737387967267),fitnesses,(0.0,0.3408930452582094,112.21567137853678,)
	4648.0,1358.0,1548.0,0.192626,0.015747,12.0,49.0,132.0,93.0,fitness,(0.004582961856623338),fitnesses,(0.0,0.8091303933696574,350.8342077073235,)
	376.0,114.0,1200.0,0.118911,0.100468,171.0,26.0,124.0,94.0,fitness,(1.027823221220459),fitnesses,(1.0,3.78883328478428,1006.511162738373,)
	3435.0,561.0,1850.0,0.00927,0.109348,162.0,125.0,192.0,95.0,fitness,(1.0052599679643157),fitnesses,(1.0,0.897818272754377,371.82147632278986,)
	4262.0,3711.0,203.0,0.013252,0.033398,108.0,97.0,116.0,96.0,fitness,(0.005237690503248711),fitnesses,(0.0,0.9173871231457799,393.6180728209088,)
	983.0,3268.0,4261.0,0.025095,0.058349,90.0,124.0,154.0,97.0,fitness,(-0.002423862964024158),fitnesses,(0.0,0.2766318389917503,519.018135394166,)
	3864.0,3909.0,4131.0,0.207675,0.039724,93.0,86.0,32.0,98.0,fitness,(0.0020614680911296072),fitnesses,(0.0,0.554961832039235,348.81502292627425,)
	1368.0,1084.0,1075.0,0.085787,0.108052,142.0,19.0,5.0,99.0,fitness,(0.9412231925518133),fitnesses,(1.0,3.66461247549551,9542.293220314172,)
	847.0,563.0,3412.0,0.204673,0.034315,67.0,39.0,82.0,22.0,fitness,(1.035278954085372),fitnesses,(1.0,4.429386882851696,901.4914743144983,)
	1109.0,1570.0,2943.0,0.052643,0.043789,47.0,74.0,102.0,42.0,fitness,(1.0282158724161614),fitnesses,(1.0,3.1010804347360366,279.4931931199035,)
	376.0,114.0,1200.0,0.118911,0.100468,171.0,26.0,124.0,94.0,fitness,(1.027823221220459),fitnesses,(1.0,3.78883328478428,1006.511162738373,)
	690.0,2336.0,3505.0,0.176261,0.048164,101.0,61.0,62.0,53.0,fitness,(1.026401138839657),fitnesses,(1.0,2.962905078453838,322.7911944881572,)
	923.0,2757.0,2056.0,0.204704,0.000724,31.0,7.0,118.0,60.0,fitness,(1.0174487452267407),fitnesses,(1.0,1.851404871193854,106.5303485198012,)
	2189.0,1743.0,1809.0,0.245842,0.141414,194.0,4.0,31.0,26.0,fitness,(1.0159306633529877),fitnesses,(1.0,5.352548455515471,3759.482120216702,)
	72.0,1812.0,4600.0,0.054096,0.039117,43.0,11.0,74.0,39.0,fitness,(1.0131314056960596),fitnesses,(1.0,4.164532664397714,2851.392094791754,)
	1090.0,2735.0,1518.0,0.045405,0.029844,76.0,28.0,187.0,43.0,fitness,(1.0128309993398161),fitnesses,(1.0,1.5589337911713723,275.8338571897652,)
	1601.0,3107.0,777.0,0.205187,0.082834,131.0,39.0,69.0,84.0,fitness,(1.011724457019177),fitnesses,(1.0,1.3718749399705101,199.42923805279645,)
	488.0,299.0,3487.0,0.19594,0.034989,69.0,42.0,169.0,38.0,fitness,(1.0114842039286847),fitnesses,(1.0,1.93434167474494,785.9212818764771,)
	3127.0,1613.0,793.0,0.097416,0.021083,196.0,142.0,44.0,68.0,fitness,(1.0070709463581478),fitnesses,(1.0,1.0298889254149042,322.7942896001405,)
	4432.0,4059.0,3745.0,0.116074,0.028332,200.0,24.0,175.0,82.0,fitness,(1.005819417294216),fitnesses,(1.0,1.3933510279391643,811.4092985175574,)
	3435.0,561.0,1850.0,0.00927,0.109348,162.0,125.0,192.0,95.0,fitness,(1.0052599679643157),fitnesses,(1.0,0.897818272754377,371.82147632278986,)
	4924.0,2321.0,3180.0,0.016837,0.01553,147.0,115.0,165.0,89.0,fitness,(1.0011237546902025),fitnesses,(1.0,0.8028594627923646,690.4839937721184,)
	4961.0,206.0,3516.0,0.190535,0.060061,137.0,14.0,74.0,76.0,fitness,(0.9963206030921937),fitnesses,(1.0,3.2492083042854834,3617.14799506611,)
	2795.0,4072.0,553.0,0.230945,0.00402,180.0,60.0,148.0,33.0,fitness,(0.9933115461984443),fitnesses,(1.0,-0.010213615775023138,658.6317643805435,)
	1793.0,3442.0,3559.0,0.006003,0.026667,166.0,165.0,113.0,54.0,fitness,(0.9891885896546332),fitnesses,(1.0,-0.40824656011970706,672.89447441697,)
	1568.0,3774.0,4895.0,0.004451,0.061831,27.0,7.0,71.0,25.0,fitness,(0.9885790606383983),fitnesses,(1.0,1.0291578706438491,2171.251806804028,)
	4736.0,3483.0,1809.0,0.245842,0.141414,194.0,4.0,31.0,26.0,fitness,(0.958487705796861),fitnesses,(1.0,3.110625249692838,7261.854670006727,)
	1368.0,1084.0,1075.0,0.085787,0.108052,142.0,19.0,5.0,99.0,fitness,(0.9412231925518133),fitnesses,(1.0,3.66461247549551,9542.293220314172,)
	1243.0,277.0,3728.0,0.06613,0.110647,113.0,58.0,3.0,28.0,fitness,(0.9190108552961995),fitnesses,(1.0,1.8104913708435977,9909.40584122364,)
	1729.0,1024.0,3422.0,0.128853,0.029263,54.0,40.0,89.0,78.0,fitness,(0.05771092367580856),fitnesses,(0.0,5.948442365336418,177.34999775556267,)
	4212.0,3141.0,2829.0,0.070106,0.03593,71.0,10.0,127.0,36.0,fitness,(0.017364010645632016),fitnesses,(0.0,1.951891890036533,215.4908254733315,)
	304.0,2848.0,2529.0,0.176998,0.107232,16.0,37.0,78.0,46.0,fitness,(0.015925544620543942),fitnesses,(0.0,1.5616010253516464,-30.953436702747698,)
	3311.0,2414.0,1368.0,0.140729,0.023495,29.0,0.0,97.0,45.0,fitness,(0.015059633743036437),fitnesses,(0.0,1.7930587454867342,287.0953711830906,)
	220.0,1880.0,2722.0,0.169626,0.023108,67.0,183.0,54.0,52.0,fitness,(0.01318883901212164),fitnesses,(0.0,2.281063237989784,962.1793367776199,)
	477.0,4036.0,1284.0,0.139969,0.040153,114.0,124.0,108.0,40.0,fitness,(0.012505067192528422),fitnesses,(0.0,1.3408076345808129,90.30091532797054,)
	2949.0,1671.0,822.0,0.203571,0.036406,82.0,66.0,71.0,88.0,fitness,(0.012423872810255702),fitnesses,(0.0,1.2422472773476956,-0.14000367787455614,)
	206.0,1731.0,1533.0,0.224033,0.085064,23.0,84.0,27.0,66.0,fitness,(0.012289305649734442),fitnesses,(0.0,2.0767357931095667,847.8052281361223,)
	2735.0,1181.0,2508.0,0.126606,0.172434,31.0,33.0,45.0,23.0,fitness,(0.011600133230169642),fitnesses,(0.0,1.656371712430882,496.35838941391785,)
	934.0,651.0,5000.0,0.19594,0.034989,69.0,42.0,169.0,38.0,fitness,(0.01089048017502196),fitnesses,(0.0,1.763361954642638,674.3139371404419,)
	4869.0,2529.0,1838.0,0.030815,0.062763,40.0,29.0,94.0,85.0,fitness,(0.009736878194018842),fitnesses,(0.0,1.0129614727415797,39.27365333969542,)
	2855.0,1259.0,4752.0,0.236808,0.128284,195.0,49.0,107.0,16.0,fitness,(0.009481429074089782),fitnesses,(0.0,0.9993557700248089,51.21286261583057,)
	4432.0,4059.0,3745.0,0.116074,0.028332,140.0,24.0,175.0,82.0,fitness,(0.008656334420332683),fitnesses,(0.0,1.3580018225124897,492.36838047922134,)
	401.0,1459.0,4132.0,0.06539,0.071388,13.0,114.0,112.0,27.0,fitness,(0.008578550999195411),fitnesses,(0.0,1.265567154103354,407.7120541838127,)
	5000.0,3406.0,2326.0,0.049466,0.128442,198.0,59.0,127.0,34.0,fitness,(0.007932896453636559),fitnesses,(0.0,0.96217283173792,168.88318637426408,)
	4784.0,4596.0,4823.0,0.128773,0.144393,30.0,56.0,30.0,70.0,fitness,(0.007531154513171479),fitnesses,(0.0,0.8841444783561815,131.02902703903356,)
	4481.0,3406.0,2326.0,0.049466,0.128442,198.0,59.0,127.0,34.0,fitness,(0.007471133432191325),fitnesses,(0.0,0.9236743529888138,176.5610097696814,)
	2576.0,867.0,1969.0,0.25,0.216906,67.0,19.0,146.0,9.0,fitness,(0.007430828817306185),fitnesses,(0.0,1.0161024105670735,273.019528836455,)
	2828.0,1315.0,4712.0,0.115246,0.207256,30.0,10.0,160.0,3.0,fitness,(0.006936994929135654),fitnesses,(0.0,1.4024591236547634,708.7596307411981,)
	171.0,4947.0,1567.0,0.128826,0.004207,13.0,110.0,137.0,75.0,fitness,(0.006518586978041385),fitnesses,(0.0,0.7626020399393558,110.74334213521732,)
