generation,0,mu,100,lambda,25
	3058.0,1353.0,3243.0,0.01681,0.18436,152.0,88.0,118.0,0.0,fitness,(0.00726894989,),fitnesses,(0.0, 1.0, 273.105011)
	1427.0,2876.0,2361.0,0.116007,0.051684,110.0,132.0,114.0,1.0,fitness,(-0.0029985101300000006,),fitnesses,(0.0, 0.0, 299.851013)
	4127.0,4176.0,2700.0,0.194446,0.222468,195.0,37.0,89.0,2.0,fitness,(-0.0023375599700000004,),fitnesses,(0.0, 0.0, 233.755997)
	2638.0,1481.0,3257.0,0.179948,0.027985,107.0,19.0,31.0,3.0,fitness,(0.02412640991,),fitnesses,(0.0, 3.0, 587.359009)
	2764.0,4631.0,1312.0,0.067087,0.215863,15.0,92.0,68.0,4.0,fitness,(-0.0032903299,),fitnesses,(0.0, 0.0, 329.03299)
	4992.0,858.0,1389.0,0.080782,0.182452,158.0,173.0,46.0,5.0,fitness,(-0.0003972802700000014,),fitnesses,(0.0, 1.0, 1039.728027)
	365.0,3504.0,2083.0,0.237297,0.211919,128.0,103.0,82.0,6.0,fitness,(-0.0010699600200000001,),fitnesses,(0.0, 0.0, 106.996002)
	331.0,143.0,1562.0,0.104012,0.155041,157.0,162.0,27.0,7.0,fitness,(0.00736960999,),fitnesses,(0.0, 1.0, 263.039001)
	4251.0,3708.0,620.0,0.067644,0.233617,9.0,29.0,99.0,8.0,fitness,(0.00815992996,),fitnesses,(0.0, 1.0, 184.007004)
	3212.0,686.0,2266.0,0.072157,0.049602,85.0,154.0,61.0,9.0,fitness,(0.0022358502199999993,),fitnesses,(0.0, 1.0, 776.414978)
	4053.0,890.0,202.0,0.082581,0.015253,156.0,9.0,107.0,10.0,fitness,(0.00954424,),fitnesses,(0.0, 1.0, 45.576)
	98.0,585.0,4745.0,0.183806,0.207399,195.0,102.0,12.0,11.0,fitness,(-0.00152936996,),fitnesses,(0.0, 0.0, 152.936996)
	2796.0,2923.0,4882.0,0.095432,0.051851,117.0,54.0,41.0,12.0,fitness,(-0.00238,),fitnesses,(0.0, 0.0, 238.0)
	3228.0,4832.0,520.0,0.206068,0.023437,127.0,75.0,147.0,13.0,fitness,(-0.0036775,),fitnesses,(0.0, 0.0, 367.75)
	3707.0,2595.0,2699.0,0.150322,0.026199,123.0,194.0,117.0,14.0,fitness,(-0.0017146899400000016,),fitnesses,(0.0, 1.0, 1171.468994)
	2785.0,585.0,455.0,0.144765,0.24298,5.0,162.0,142.0,15.0,fitness,(0.0037428900099999995,),fitnesses,(0.0, 1.0, 625.710999)
	4023.0,4597.0,1945.0,0.164552,0.141055,83.0,99.0,50.0,16.0,fitness,(-0.00500738007,),fitnesses,(0.0, 0.0, 500.738007)
	1238.0,2443.0,1051.0,0.152211,0.01658,21.0,61.0,71.0,17.0,fitness,(-0.0013929699700000002,),fitnesses,(0.0, 0.0, 139.296997)
	4046.0,4376.0,3827.0,0.163924,0.096631,10.0,116.0,191.0,18.0,fitness,(-0.00598062012,),fitnesses,(0.0, 0.0, 598.062012)
	2079.0,4281.0,2010.0,0.194639,0.022117,186.0,188.0,114.0,19.0,fitness,(-0.005972810060000001,),fitnesses,(0.0, 0.0, 597.281006)
	2556.0,2872.0,3293.0,0.111377,0.117404,120.0,122.0,183.0,20.0,fitness,(-0.004057189940000001,),fitnesses,(0.0, 0.0, 405.718994)
	3506.0,502.0,481.0,0.093402,0.05608,61.0,67.0,198.0,21.0,fitness,(0.00761136002,),fitnesses,(0.0, 1.0, 238.86399799999998)
	1201.0,2694.0,2031.0,0.233487,0.188822,143.0,8.0,147.0,22.0,fitness,(0.00789270004,),fitnesses,(0.0, 1.0, 210.729996)
	4148.0,1424.0,3532.0,0.228965,0.081656,171.0,20.0,46.0,23.0,fitness,(0.00783677994,),fitnesses,(0.0, 1.0, 216.322006)
	1949.0,4205.0,3356.0,0.165897,0.040277,149.0,126.0,196.0,24.0,fitness,(-0.00390399994,),fitnesses,(0.0, 0.0, 390.399994)
	1677.0,896.0,3598.0,0.004676,0.136735,20.0,111.0,107.0,25.0,fitness,(0.00824761002,),fitnesses,(0.0, 1.0, 175.238998)
	1267.0,2242.0,1746.0,0.101146,0.208581,112.0,125.0,94.0,26.0,fitness,(-0.0020921600300000003,),fitnesses,(0.0, 0.0, 209.21600300000003)
	368.0,4630.0,3196.0,0.170096,0.080717,29.0,22.0,147.0,27.0,fitness,(0.008323930050000001,),fitnesses,(0.0, 1.0, 167.606995)
	4209.0,2033.0,3757.0,0.093902,0.13888,25.0,23.0,37.0,28.0,fitness,(0.00863257004,),fitnesses,(0.0, 1.0, 136.742996)
	1189.0,4388.0,1855.0,0.20431,0.0923,185.0,13.0,70.0,29.0,fitness,(-0.030457099610000003,),fitnesses,(0.0, 1.0, 4045.709961)
	1275.0,1724.0,3389.0,0.005328,0.04964,95.0,32.0,155.0,30.0,fitness,(0.0065526001,),fitnesses,(0.0, 1.0, 344.73999)
	4599.0,4068.0,3960.0,0.070113,0.122198,23.0,114.0,4.0,31.0,fitness,(0.0039604101599999995,),fitnesses,(0.0, 1.0, 603.958984)
	3243.0,1523.0,683.0,0.220977,0.055409,173.0,103.0,20.0,32.0,fitness,(0.00393067993,),fitnesses,(0.0, 1.0, 606.932007)
	463.0,3653.0,1617.0,0.055273,0.027862,192.0,42.0,24.0,33.0,fitness,(-0.0072594702100000005,),fitnesses,(0.0, 2.0, 2725.947021)
	3555.0,1574.0,2784.0,0.234072,0.026028,102.0,123.0,65.0,34.0,fitness,(-0.0022209594700000005,),fitnesses,(0.0, 1.0, 1222.095947)
	4253.0,4822.0,2245.0,0.064783,0.074432,123.0,173.0,184.0,35.0,fitness,(-0.00827208984,),fitnesses,(0.0, 0.0, 827.2089839999999)
