Surrogate,generation,0,mu,100,lambda,25
	2481.0,1731.0,3566.0,0.1532,0.208669,186.0,35.0,2.0,0.0,fitness,(-0.12184137750912984),fitnesses,(0.0,1.1764273872490385,13360.565138162021,)
	2587.0,1287.0,3272.0,0.09691,0.212015,141.0,163.0,89.0,1.0,fitness,(0.00325167241325831),fitnesses,(0.0,0.8534184616968327,528.2512203710016,)
	4068.0,2702.0,2200.0,0.127133,0.057422,91.0,2.0,6.0,2.0,fitness,(0.9343807277307001),fitnesses,(1.0,3.6571866041790315,10219.113831109025,)
	4496.0,3454.0,1395.0,0.030524,0.021839,137.0,180.0,7.0,3.0,fitness,(0.0008953080744860068),fitnesses,(0.0,0.9129799038426999,823.4490963940991,)
	4136.0,61.0,105.0,0.007572,0.201397,9.0,15.0,111.0,4.0,fitness,(0.008563738503759872),fitnesses,(0.0,0.9699471021050349,113.5732517290477,)
	4477.0,1871.0,1300.0,0.182926,0.151455,176.0,157.0,29.0,5.0,fitness,(-7.746137840415786e-05),fitnesses,(0.0,0.7966520346535426,804.3981724939583,)
	3597.0,3584.0,2294.0,0.04665,0.197666,115.0,175.0,97.0,6.0,fitness,(-0.00410921823413854),fitnesses,(0.0,0.2906611520575766,701.5829754714306,)
	1099.0,3986.0,2714.0,0.205816,0.086468,121.0,170.0,61.0,7.0,fitness,(-0.0033638879575317937),fitnesses,(0.0,0.11946946727637037,455.85826302954973,)
	385.0,2022.0,2657.0,0.145276,0.027487,186.0,34.0,26.0,8.0,fitness,(0.9684018717707379),fitnesses,(1.0,1.9557612400553888,5115.574062981604,)
	1902.0,2891.0,3534.0,0.221534,0.081492,107.0,197.0,21.0,9.0,fitness,(-0.01777404030811868),fitnesses,(0.0,-0.24125190693064452,1536.1521238812236,)
	3003.0,2873.0,1671.0,0.04523,0.131782,188.0,53.0,111.0,10.0,fitness,(0.009415925216526658),fitnesses,(0.0,0.9877009907538284,46.10846910116271,)
	3879.0,1600.0,2659.0,0.183914,0.057696,22.0,151.0,10.0,11.0,fitness,(-0.004805975447714512),fitnesses,(0.0,0.9938664560862192,1474.4640008576703,)
	4758.0,4089.0,3404.0,0.111033,0.160481,133.0,25.0,102.0,12.0,fitness,(0.008783108327572979),fitnesses,(0.0,1.0354234064673888,157.11257371009086,)
	2157.0,4548.0,1012.0,0.239058,0.094012,32.0,17.0,130.0,13.0,fitness,(0.000624657930044327),fitnesses,(0.0,0.024562011046019752,-37.90378195841294,)
	1544.0,4818.0,3726.0,0.038204,0.051242,112.0,192.0,25.0,14.0,fitness,(-0.007838549742581382),fitnesses,(0.0,-0.03696337092792211,746.891603330216,)
	2673.0,2705.0,2393.0,0.094945,0.069101,40.0,74.0,58.0,15.0,fitness,(0.0046628802225128696),fitnesses,(0.0,0.682666789244307,216.3787669930201,)
	4464.0,3807.0,709.0,0.193515,0.016222,8.0,157.0,85.0,16.0,fitness,(0.00011361633521241032),fitnesses,(0.0,1.2166524476036784,1205.2908140824372,)
	1218.0,1367.0,1931.0,0.02216,0.248497,23.0,185.0,111.0,17.0,fitness,(-0.0033577898969110185),fitnesses,(0.0,0.10892270366944119,444.701693360543,)
	2477.0,1968.0,2959.0,0.094773,0.068561,60.0,88.0,108.0,18.0,fitness,(0.01086109242864554),fitnesses,(0.0,1.2152280197333136,129.11877686875974,)
	487.0,2330.0,1629.0,0.130454,0.227664,30.0,195.0,72.0,19.0,fitness,(-0.005026697325945063),fitnesses,(0.0,-0.06539949895199286,437.2702336425134,)
	4355.0,2961.0,434.0,0.224145,0.093224,67.0,186.0,190.0,20.0,fitness,(-0.0032310601880217744),fitnesses,(0.0,1.2359152314653772,1559.0212502675545,)
	4349.0,2883.0,2571.0,0.194916,0.079304,60.0,0.0,111.0,21.0,fitness,(0.011963987543619912),fitnesses,(0.0,1.7584138595616565,562.0151051996654,)
	1008.0,4102.0,4612.0,0.165957,0.033754,14.0,27.0,36.0,22.0,fitness,(1.0244715056202516),fitnesses,(1.0,4.223244528678511,1776.0939666533434,)
	1229.0,4504.0,830.0,0.166417,0.200459,42.0,5.0,165.0,23.0,fitness,(0.0029703673068635747),fitnesses,(0.0,0.5726793645685718,275.64263388221434,)
	4349.0,432.0,3358.0,0.01563,0.135038,56.0,94.0,150.0,24.0,fitness,(0.005829917876981691),fitnesses,(0.0,0.9491403975179967,366.1486098198275,)
	4623.0,3053.0,2407.0,0.118146,0.21371,143.0,198.0,25.0,25.0,fitness,(-0.001175037663545337),fitnesses,(0.0,0.822464286083019,939.9680524375527,)
	2967.0,4913.0,3558.0,0.177565,0.047343,104.0,64.0,59.0,26.0,fitness,(0.007675275686668759),fitnesses,(0.0,0.17790327444624815,-589.6242942206277,)
	4347.0,2986.0,3882.0,0.234013,0.223491,13.0,138.0,131.0,27.0,fitness,(0.0005753498160404689),fitnesses,(0.0,1.0325081212066054,974.9731396025584,)
	4207.0,2581.0,4927.0,0.06582,0.242623,105.0,73.0,193.0,28.0,fitness,(0.002345464645947706),fitnesses,(0.0,0.9019301247915229,667.3836601967522,)
	3547.0,2100.0,424.0,0.043974,0.013465,136.0,110.0,194.0,29.0,fitness,(1.0085681883435986),fitnesses,(1.0,1.1943408667644515,337.5220324045875,)
	2501.0,4561.0,4820.0,0.108359,0.008463,161.0,88.0,185.0,30.0,fitness,(0.0004277314695922442),fitnesses,(0.0,0.5274036431475869,484.63049618836243,)
	1893.0,3343.0,1502.0,0.248755,0.153988,99.0,122.0,123.0,31.0,fitness,(-0.0019632108283144387),fitnesses,(0.0,-0.029420258098469775,166.9008247329741,)
	688.0,4169.0,1458.0,0.045554,0.137095,71.0,174.0,170.0,32.0,fitness,(-0.0019439161631833151),fitnesses,(0.0,0.1546038293725322,348.9954456908637,)
