Surrogate,generation,0,mu,100,lambda,25
	2381.0,3263.0,2130.0,0.156981,0.056976,129.0,172.0,89.0,0.0,fitness,(-0.0059547745884348385),fitnesses,(0.0,-0.07038592142053389,525.09153742295,)
	2754.0,3735.0,4545.0,0.16418,0.243469,189.0,92.0,187.0,1.0,fitness,(-0.002907494884312579),fitnesses,(0.0,0.09212609022986258,382.8755786611204,)
	3849.0,4654.0,2056.0,0.077228,0.204188,126.0,149.0,50.0,2.0,fitness,(-0.004046876170963061),fitnesses,(0.0,0.0643133534460917,469.0009705423978,)
	1253.0,1439.0,1393.0,0.221168,0.214506,128.0,103.0,86.0,3.0,fitness,(-0.0028217919752155794),fitnesses,(0.0,0.1309475073385869,413.1267048601448,)
	4608.0,65.0,3837.0,0.021974,0.061028,110.0,138.0,73.0,4.0,fitness,(-0.0035508505463745926),fitnesses,(0.0,0.8749769068612318,1230.061961498691,)
	401.0,2280.0,981.0,0.171788,0.038721,135.0,13.0,192.0,5.0,fitness,(1.0167511330559977),fitnesses,(1.0,2.350217726418822,675.1044208190426,)
	3302.0,3225.0,4331.0,0.200173,0.206335,137.0,97.0,1.0,6.0,fitness,(-0.007242597103283186),fitnesses,(0.0,0.46783034161407955,1192.090051942398,)
	4066.0,655.0,3376.0,0.09875,0.043297,143.0,130.0,131.0,7.0,fitness,(-0.002520066962933585),fitnesses,(0.0,0.9402961655636067,1192.3028618569651,)
	4921.0,48.0,4782.0,0.112737,0.166834,132.0,109.0,63.0,8.0,fitness,(0.003876431314506005),fitnesses,(0.0,0.9081992363908206,520.55610494022,)
	3760.0,974.0,2296.0,0.023812,0.113657,76.0,106.0,39.0,9.0,fitness,(0.011850908462625008),fitnesses,(0.0,0.9328431095827523,-252.24773667974858,)
	584.0,3434.0,4594.0,0.067278,0.025624,87.0,40.0,198.0,10.0,fitness,(1.0204199097624025),fitnesses,(1.0,2.8387845100982037,796.7935338579489,)
	3828.0,2726.0,4909.0,0.216188,0.231568,181.0,73.0,96.0,11.0,fitness,(0.006500544697472162),fitnesses,(0.0,0.8509748190944407,200.92034934722454,)
	4695.0,4071.0,1071.0,0.054204,0.082223,95.0,3.0,62.0,12.0,fitness,(0.011332397836590968),fitnesses,(0.0,1.4791998603113317,345.9600766522348,)
	3697.0,749.0,1431.0,0.151955,0.184115,40.0,131.0,158.0,13.0,fitness,(0.003771854209167161),fitnesses,(0.0,1.0253614876796011,648.1760667628851,)
	4909.0,3656.0,3087.0,0.099476,0.215422,97.0,188.0,26.0,14.0,fitness,(-0.0010829990419324032),fitnesses,(0.0,0.9821731938015722,1090.4730979948124,)
	4274.0,1598.0,620.0,0.200809,0.160928,181.0,151.0,106.0,15.0,fitness,(0.0019359100439794458),fitnesses,(0.0,0.9430659441044059,749.4749397064613,)
	2608.0,4419.0,127.0,0.238197,0.084228,94.0,5.0,104.0,16.0,fitness,(-0.0048690854910854765),fitnesses,(0.0,-0.2956297129101131,191.2788361984345,)
	414.0,858.0,2162.0,0.034721,0.148038,140.0,188.0,25.0,17.0,fitness,(-0.006086259299044945),fitnesses,(0.0,0.8152662650925574,1423.8921949970518,)
	30.0,877.0,1352.0,0.177268,0.082816,160.0,59.0,19.0,18.0,fitness,(0.9970382833568185),fitnesses,(1.0,2.195521676509502,2491.6933408276354,)
	4042.0,3768.0,1889.0,0.038814,0.146135,2.0,179.0,131.0,19.0,fitness,(-0.0021074754365186504),fitnesses,(0.0,0.8533818188251496,1064.1293624770146,)
	837.0,4068.0,4137.0,0.049036,0.150295,67.0,55.0,185.0,20.0,fitness,(0.0004301615247867263),fitnesses,(0.0,0.5153383008991443,472.32214842047165,)
	834.0,4788.0,2809.0,0.142705,0.153055,114.0,1.0,111.0,21.0,fitness,(-0.0015372282971116511),fitnesses,(0.0,0.310378234742688,464.1010644538531,)
	1461.0,3389.0,2065.0,0.123323,0.232305,3.0,42.0,192.0,22.0,fitness,(0.0007544483305833927),fitnesses,(0.0,0.2539951507649214,178.55031770658215,)
	4651.0,1142.0,110.0,0.200149,0.199472,125.0,144.0,114.0,23.0,fitness,(0.00233028864554812),fitnesses,(0.0,1.0802528656603607,847.2240011055486,)
	501.0,2108.0,3782.0,0.037658,0.139785,139.0,125.0,113.0,24.0,fitness,(-0.0032118384863774156),fitnesses,(0.0,0.6496350343325262,970.8188829702677,)
	2623.0,3100.0,3945.0,0.248795,0.2488,36.0,63.0,144.0,25.0,fitness,(-0.0013992507910390477),fitnesses,(0.0,0.034911571167080005,174.83665027098476,)
	4781.0,4396.0,3737.0,0.013191,0.00492,71.0,182.0,161.0,26.0,fitness,(-0.0008184381572741324),fitnesses,(0.0,0.9842690765159107,1066.1128922433238,)
	4123.0,481.0,3845.0,0.02127,0.067875,30.0,52.0,58.0,27.0,fitness,(0.013646677729642332),fitnesses,(0.0,1.3883870073474807,23.719234383247528,)
	910.0,3947.0,3875.0,0.19045,0.079717,192.0,48.0,45.0,28.0,fitness,(0.9731112532008896),fitnesses,(1.0,0.6912472177994385,3380.1218977104686,)
	4320.0,1352.0,2921.0,0.015406,0.097162,135.0,94.0,125.0,29.0,fitness,(0.008057241391560933),fitnesses,(0.0,0.9938782418470358,188.15410269094255,)
	1761.0,2751.0,3195.0,0.248087,0.190142,21.0,140.0,130.0,30.0,fitness,(-0.0004710526449936181),fitnesses,(0.0,0.07458188163762804,121.68714613698984,)
	2099.0,4005.0,4012.0,0.205471,0.227059,188.0,40.0,77.0,31.0,fitness,(-0.02200970228822992),fitnesses,(0.0,-0.1357734401816113,2065.1967886413804,)
	2731.0,140.0,1990.0,0.243034,0.185418,68.0,161.0,109.0,32.0,fitness,(0.003636691317664629),fitnesses,(0.0,1.0140943477952202,650.4252160287574,)
	3192.0,2569.0,4322.0,0.11458,0.111928,13.0,136.0,100.0,33.0,fitness,(0.006586302072083672),fitnesses,(0.0,0.8875718085835449,228.94160137517773,)
	4174.0,1232.0,4619.0,0.189914,0.005036,26.0,191.0,52.0,34.0,fitness,(-0.013443498655454564),fitnesses,(0.0,0.9399614469684549,2284.311312513911,)
	3027.0,1394.0,1786.0,0.23588,0.1683,124.0,143.0,6.0,35.0,fitness,(-0.002525686428282206),fitnesses,(0.0,0.9049517131888116,1157.520356017032,)
	1878.0,1290.0,2592.0,0.155471,0.221914,27.0,157.0,53.0,36.0,fitness,(0.00630905229917451),fitnesses,(0.0,0.9342878439511741,303.3826140337232,)
