Surrogate,generation,0,mu,100,lambda,25
	1245.0,4015.0,336.0,0.233392,0.158303,174.0,136.0,199.0,0.0,fitness,(-0.005028435430733027),fitnesses,(0.0,-0.08143672254712359,421.40682052617905,)
	3694.0,4521.0,1610.0,0.121455,0.233613,70.0,63.0,50.0,1.0,fitness,(0.005357585484327346),fitnesses,(0.0,0.19332732799321495,-342.4312204395196,)
	1612.0,2345.0,4744.0,0.058814,0.008952,90.0,10.0,55.0,2.0,fitness,(0.9596884285586118),fitnesses,(1.0,1.5695329750319706,5600.6901191707975,)
	4556.0,4780.0,1164.0,0.043905,0.115246,143.0,42.0,52.0,3.0,fitness,(0.0067650223029957855),fitnesses,(0.0,0.28793070630696094,-388.57152399261764,)
	1212.0,3174.0,76.0,0.099848,0.138093,63.0,149.0,73.0,4.0,fitness,(-0.0027618160524618576),fitnesses,(0.0,-0.0416372367721541,234.54436847403164,)
	2177.0,640.0,19.0,0.222415,0.154778,3.0,168.0,110.0,5.0,fitness,(0.010828840283469927),fitnesses,(0.0,1.2635292223196468,180.645193972654,)
	3807.0,2774.0,4312.0,0.152137,0.179854,176.0,116.0,151.0,6.0,fitness,(0.0032117191852303493),fitnesses,(0.0,0.8827952779315578,561.6233594085228,)
	2177.0,2106.0,4091.0,0.204605,0.183585,87.0,171.0,14.0,7.0,fitness,(-0.001493640864914209),fitnesses,(0.0,0.650573474471669,799.9375609630898,)
	188.0,2545.0,1294.0,0.169371,0.144723,21.0,54.0,20.0,8.0,fitness,(-0.002841866776835589),fitnesses,(0.0,0.10965217731764676,393.8388550012057,)
	1990.0,1777.0,4850.0,0.225355,0.185351,60.0,66.0,167.0,9.0,fitness,(0.002489814527681356),fitnesses,(0.0,0.7557753957521304,506.7939429839948,)
	2290.0,1194.0,4719.0,0.144992,0.206983,79.0,107.0,13.0,10.0,fitness,(-0.0015001988643384735),fitnesses,(0.0,0.7707636279960458,920.7835144298931,)
	2696.0,2612.0,4509.0,0.038214,0.220084,176.0,90.0,16.0,11.0,fitness,(-0.04235121279922548),fitnesses,(0.0,0.5278348027584845,4762.956082681032,)
	2854.0,2813.0,803.0,0.121828,0.193484,84.0,195.0,181.0,12.0,fitness,(-0.005760145675477832),fitnesses,(0.0,0.6593642044296653,1235.3787719774484,)
	4356.0,1512.0,123.0,0.164359,0.027672,178.0,98.0,121.0,13.0,fitness,(1.0073135800498574),fitnesses,(1.0,1.3350015335094068,603.6435285236726,)
	2051.0,493.0,1077.0,0.019259,0.08419,65.0,199.0,136.0,14.0,fitness,(0.004794266702464987),fitnesses,(0.0,0.9160544715785585,436.62780133205973,)
	3889.0,587.0,1256.0,0.012458,0.23204,30.0,173.0,165.0,15.0,fitness,(-0.0031954133980630142),fitnesses,(0.0,0.8314235015500323,1150.9648413563336,)
	252.0,738.0,1302.0,0.105965,0.212688,29.0,40.0,157.0,16.0,fitness,(0.007625200165758869),fitnesses,(0.0,0.8115289354468366,49.00891887094971,)
	1173.0,4810.0,1412.0,0.053162,0.04242,105.0,22.0,68.0,17.0,fitness,(-0.0010844729814889374),fitnesses,(0.0,0.4339906799822577,542.4379781311515,)
	3783.0,1344.0,4886.0,0.044703,0.012975,32.0,90.0,180.0,18.0,fitness,(0.008865565221873872),fitnesses,(0.0,1.2583675083944603,371.81098620707303,)
	3763.0,2042.0,4185.0,0.1191,0.105973,35.0,155.0,44.0,19.0,fitness,(0.0036161276677619267),fitnesses,(0.0,0.9861459047971438,624.5331380209511,)
	4877.0,3489.0,1151.0,0.154479,0.119693,48.0,151.0,133.0,20.0,fitness,(-0.0018859743484224908),fitnesses,(0.0,1.0706823143760713,1259.2797492183204,)
	715.0,2850.0,3110.0,0.197097,0.154229,190.0,74.0,98.0,21.0,fitness,(0.0008660996253633821),fitnesses,(0.0,0.739833316365529,653.2233538291907,)
	2730.0,115.0,3264.0,0.158127,0.098317,6.0,29.0,68.0,22.0,fitness,(0.014983320662293676),fitnesses,(0.0,1.3759519655698502,-122.3801006595174,)
	2297.0,2717.0,3632.0,0.153715,0.12754,115.0,91.0,64.0,23.0,fitness,(-0.0015382103628414682),fitnesses,(0.0,-0.20145562282419976,-47.63458654005294,)
	1617.0,3125.0,1502.0,0.247728,0.237537,132.0,50.0,165.0,24.0,fitness,(0.0016607881603494048),fitnesses,(0.0,0.23740980790157318,71.33099186663269,)
	1773.0,803.0,3446.0,0.142808,0.072264,40.0,41.0,125.0,25.0,fitness,(0.009858354597351723),fitnesses,(0.0,1.1726282561906893,186.79279645551702,)
	59.0,4910.0,1914.0,0.195582,0.018214,2.0,69.0,196.0,26.0,fitness,(0.004080102034450485),fitnesses,(0.0,0.3406486318558207,-67.36157158922776,)
	1353.0,3160.0,2134.0,0.021006,0.015012,147.0,193.0,59.0,27.0,fitness,(-0.006565763428257962),fitnesses,(0.0,0.05706863171777947,713.6449745435756,)
	4190.0,3705.0,4347.0,0.222299,0.150695,113.0,101.0,145.0,28.0,fitness,(0.007234012934658983),fitnesses,(0.0,1.1986820918522845,475.2807983863862,)
	3419.0,1163.0,1539.0,0.033494,0.081819,117.0,174.0,36.0,29.0,fitness,(0.00646349078671668),fitnesses,(0.0,0.9431649602838859,296.8158816122178,)
	583.0,4288.0,762.0,0.048074,0.223438,148.0,143.0,104.0,30.0,fitness,(-0.0018431989555169046),fitnesses,(0.0,0.07154609040593761,255.86598595762806,)
	4535.0,1188.0,4591.0,0.194848,0.069447,155.0,69.0,196.0,31.0,fitness,(0.001534127162705956),fitnesses,(0.0,1.210471583444275,1057.0588671736793,)
	1598.0,2695.0,125.0,0.237916,0.044071,76.0,144.0,85.0,32.0,fitness,(-0.001916824704002268),fitnesses,(0.0,0.0643304387821086,256.01290918233536,)
	3297.0,1928.0,3930.0,0.038153,0.044898,152.0,104.0,162.0,33.0,fitness,(1.006832572400304),fitnesses,(1.0,1.1103386231778583,427.0813831474545,)
	4987.0,1293.0,2753.0,0.142178,0.165339,168.0,42.0,123.0,34.0,fitness,(0.0016112514913245116),fitnesses,(0.0,0.8105462365799566,649.4210874475054,)
	956.0,3325.0,1229.0,0.07873,0.016331,153.0,174.0,44.0,35.0,fitness,(-0.0018663666509567403),fitnesses,(0.0,0.4742608786010001,660.897543696674,)
	291.0,1242.0,1136.0,0.083241,0.19608,141.0,53.0,179.0,36.0,fitness,(0.009966777701607345),fitnesses,(0.0,1.1068493105477322,110.17154038699778,)
	2064.0,2301.0,2336.0,0.203395,0.056994,121.0,105.0,103.0,37.0,fitness,(-0.003756829423625575),fitnesses,(0.0,0.03156436090304705,407.2473032656045,)
	3361.0,1612.0,2841.0,0.203933,0.104412,54.0,75.0,39.0,38.0,fitness,(0.012583131688123052),fitnesses,(0.0,1.0984630241361673,-159.85014467613803,)
	3858.0,3842.0,1058.0,0.182465,0.192902,161.0,112.0,20.0,39.0,fitness,(0.002793819507413984),fitnesses,(0.0,0.5949822754310871,315.6003246896887,)
	638.0,4347.0,4615.0,0.030325,0.022327,52.0,116.0,121.0,40.0,fitness,(0.004122509141781758),fitnesses,(0.0,0.8878655552359505,475.6146410577746,)
	2399.0,2802.0,3101.0,0.076839,0.127444,35.0,146.0,78.0,41.0,fitness,(-0.002645801507003451),fitnesses,(0.0,-0.08953476657627345,175.04538412407163,)
	269.0,4853.0,3406.0,0.202089,0.057183,119.0,47.0,175.0,42.0,fitness,(0.01017483740809849),fitnesses,(0.0,1.48879187315054,471.3081323406911,)
	4908.0,4174.0,209.0,0.209138,0.01243,137.0,24.0,184.0,43.0,fitness,(0.008387387191721787),fitnesses,(0.0,1.3920920032000523,553.3532840278737,)
	3289.0,4275.0,453.0,0.017866,0.002132,14.0,34.0,40.0,44.0,fitness,(0.007600515078434707),fitnesses,(0.0,0.6136359160462898,-146.41559179718098,)
	3109.0,1197.0,3830.0,0.105511,0.084169,23.0,151.0,163.0,45.0,fitness,(0.0042537701013298235),fitnesses,(0.0,1.0030802872882485,577.7032771552662,)
	1071.0,800.0,3019.0,0.24353,0.124054,108.0,90.0,62.0,46.0,fitness,(0.008301144849008034),fitnesses,(0.0,0.6225692987708109,-207.54518612999243,)
	628.0,2205.0,863.0,0.055185,0.019511,21.0,157.0,77.0,47.0,fitness,(2.9628876464176702e-05),fitnesses,(0.0,0.15646713106681304,153.50424342039537,)
	4514.0,3970.0,2198.0,0.185997,0.133173,90.0,76.0,42.0,48.0,fitness,(0.0059160668725310025),fitnesses,(0.0,0.9463347440622799,354.72805680917963,)
	2850.0,3150.0,806.0,0.1462,0.201446,0.0,135.0,101.0,49.0,fitness,(-0.0008017822534829716),fitnesses,(0.0,0.45264756381173155,532.8257891600286,)
	2236.0,3223.0,4167.0,0.227718,0.233575,121.0,10.0,82.0,50.0,fitness,(-0.01900921196806974),fitnesses,(0.0,0.6316407858661179,2532.5619826730917,)
	1287.0,2933.0,3397.0,0.091508,0.249393,142.0,118.0,193.0,51.0,fitness,(-0.003991134031424637),fitnesses,(0.0,0.09696035921662237,496.07376235908595,)
	1942.0,1012.0,4909.0,0.2119,0.107563,61.0,178.0,179.0,52.0,fitness,(0.000955150248578911),fitnesses,(0.0,0.9577648186819948,862.2497938241036,)
	3387.0,1240.0,1164.0,0.086395,0.060404,94.0,154.0,104.0,53.0,fitness,(0.005836227349101833),fitnesses,(0.0,1.0337160143571686,450.09327944698543,)
	1163.0,217.0,404.0,0.097355,0.145235,76.0,162.0,83.0,54.0,fitness,(0.013334099471385249),fitnesses,(0.0,1.2461770736584032,-87.2328734801217,)
	944.0,4746.0,3115.0,0.173778,0.170994,120.0,142.0,84.0,55.0,fitness,(0.0005404611936112181),fitnesses,(0.0,0.15926898731137656,105.22286795025475,)
	4217.0,50.0,4492.0,0.041027,0.185417,133.0,186.0,69.0,56.0,fitness,(-0.0019167213262978617),fitnesses,(0.0,0.8906366696512122,1082.3088022809984,)
	2704.0,3708.0,3275.0,0.057595,0.235475,165.0,170.0,192.0,57.0,fitness,(-0.0061831220903786795),fitnesses,(0.0,-0.010069878156492781,608.2423308813751,)
