gen	nevals	avg      	std       	min        	max    	p-avg	p-std   	p-min	p-max	s-avg	s-std   	s-min	s-max	t-avg  	t-std  	t-min  	t-max  
37 	25    	0.620523 	0.475833  	0.0206911  	1.12882	0.6  	0.489898	0    	1    	3.91 	3.37074 	0    	16   	1857.69	1861.98	45.623 	8667.04
38 	25    	0.660357 	0.465673  	0.0236142  	1.12882	0.64 	0.48    	0    	1    	3.89 	3.38495 	0    	16   	1854.34	1860.52	45.623 	8667.04
39 	25    	0.710231 	0.447514  	0.0285159  	1.12882	0.69 	0.462493	0    	1    	3.95 	3.45652 	0    	16   	1926.94	1845.56	45.623 	8667.04
40 	25    	0.749627 	0.428489  	0.0324075  	1.12882	0.73 	0.443959	0    	1    	3.95 	3.49392 	0    	16   	1987.29	1867.82	273.161	8667.04
41 	25    	0.809622 	0.392163  	0.0356498  	1.13094	0.79 	0.407308	0    	1    	4.05 	3.85325 	0    	19   	2087.75	1899.27	203.241	8667.04
42 	25    	0.840337 	0.370202  	0.0369302  	1.1886 	0.82 	0.384187	0    	1    	4.13 	4.15369 	0    	19   	2096.31	1894.9 	140.057	8667.04
43 	25    	0.879083 	0.333114  	0.041335   	1.1886 	0.86 	0.346987	0    	1    	4.16 	4.20885 	0    	19   	2251.66	1995.88	140.057	8667.04
44 	25    	0.926711 	0.273183  	0.0520764  	1.1886 	0.91 	0.286182	0    	1    	4.01 	4.23673 	0    	19   	2338.91	2046.8 	140.057	8667.04
45 	25    	0.98364  	0.161389  	0.0615746  	1.1886 	0.97 	0.170587	0    	1    	3.75 	4.22936 	0    	19   	2386.04	2031.89	140.057	8667.04
46 	25    	1.01379  	0.0398541 	0.931334   	1.1886 	1    	0       	1    	1    	3.68 	3.9997  	0    	19   	2300.54	1933.03	140.057	8667.04
47 	25    	1.01411  	0.0393224 	0.940479   	1.1886 	1    	0       	1    	1    	3.69 	3.99173 	0    	19   	2279.07	1893.72	140.057	8667.04
48 	25    	1.01781  	0.0388017 	0.971455   	1.1886 	1    	0       	1    	1    	3.88 	4.14072 	0    	19   	2099.28	1717.49	140.057	8667.04
49 	25    	1.02112  	0.0377928 	0.980983   	1.1886 	1    	0       	1    	1    	4.13 	4.25125 	1    	19   	2018.45	1772.94	140.057	8667.04
50 	25    	1.02362  	0.0380655 	0.984404   	1.1886 	1    	0       	1    	1    	4.37 	4.39694 	1    	19   	2007.8 	1840.48	140.057	8667.04
